0	Index      	 *	Score 	Summary	Detail	
1	13282 32353	 * 	288.66	紫橙2易伤2伤害1矿等1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8矿等9金币生成
2	22341 34351	 * 	281.55	橙橙3易伤1平台	147易伤2掉矿3挖尘5金币生成6雷电89核a平台
3	22343 34351	   	281.45	橙橙3易伤1平台	147易伤2掉矿3挖尘5技能点6雷电89核a平台
4	13282 32813	 * 	277.44	紫橙2易伤2伤害2暴击	17等级28暴击3加一4a核57易伤67伤害7序列升级9低血量敌人
5	13282 32873	   	277.44	紫橙2易伤2伤害2暴击	17等级28暴击3加一4a核57易伤67伤害7序列升级9基地爆炸
6	13282 12373	   	277.38	紫橙2易伤1伤害2暴击1矿等	17等级27暴击3加一4a核57易伤6随机矿7序列升级8矿等9伤害
7	13284 42373	   	277.38	紫橙2易伤1伤害2暴击1矿等	17等级27暴击3加一4a核5随机矿67易伤7序列升级8矿等9伤害
8	22341 34352	   	271.89	橙橙3易伤	147易伤2掉矿3挖尘5金币生成6雷电89核a额外掉落
9	22341 34353	   	271.89	橙橙3易伤	147易伤2掉矿3挖尘5金币生成6雷电89核a最后敌人
10	21331 65263	 * 	271.80	橙橙1易伤1伤害1矿等1攻速	1易伤26低血量敌人3基地爆炸4最后敌人5伤害7a核8攻速9矿等
11	22343 34352	   	271.79	橙橙3易伤	147易伤2掉矿3挖尘5技能点6雷电89核a额外掉落
12	22343 34353	   	271.79	橙橙3易伤	147易伤2掉矿3挖尘5技能点6雷电89核a最后敌人
13	13282 32213	   	271.02	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8激光减费9低血量敌人
14	13282 32273	   	271.02	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8激光减费9基地爆炸
15	13282 32453	   	271.02	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8掉矿9金币生成
16	13282 32753	   	271.02	紫橙2易伤2伤害1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8技能点9金币生成
17	13282 14373	   	270.87	紫橙2易伤1伤害1矿等1暴击	1等级2暴击3加一4a核57易伤6随机矿8矿等9伤害
18	13282 34353	   	270.87	紫橙2易伤1伤害1矿等1暴击	1等级2暴击3加一4a核57易伤6伤害8矿等9金币生成
19	13284 44373	   	270.87	紫橙2易伤1伤害1矿等1暴击	1等级2暴击3加一4a核5随机矿67易伤8矿等9伤害
20	13288 22221	 * 	270.39	紫橙3易伤1攻速1暴击	1等级2暴击3加一46核5攻速78a易伤9雷电
21	13288 22261	   	270.29	紫橙3易伤1攻速1暴击	1等级2暴击3加一46核5攻速78a易伤9双倍秒伤
22	22261 25153	 * 	268.59	橙橙2易伤1伤害	18易伤2掉矿35最后敌人4伤害6技能7a核9立即金币
23	22363 25153	   	268.39	橙橙2易伤1伤害	18易伤2掉矿35挖尘4伤害6技能7a核9立即金币
24	13288 22247	   	266.99	紫橙2易伤1伤害1攻速1暴击	1等级2暴击3加一46核5攻速78易伤9金币生成a伤害
25	13288 22217	   	266.89	紫橙2易伤1伤害1暴击1攻速	1等级2暴击3加一46核5攻速78易伤9掉矿a伤害
26	35152 33134	   	266.88	紫橙2易伤1伤害1矿等1平台	1额外掉落2a核3敌人爆炸4平台57易伤6伤害8矿等9技能点
27	21361 15143	   	262.57	橙橙1易伤1伤害1攻速	1易伤2低血量敌人3基地爆炸4伤害5时间6敌人爆炸7a核8随机矿9攻速
28	21531 15143	   	262.57	橙橙1易伤1伤害1攻速	1易伤2低血量敌人3时间4最后敌人5伤害6敌人爆炸7a核8随机矿9攻速
29	23131 15143	   	262.57	橙橙1易伤1伤害1攻速	1易伤2时间3低血量敌人4最后敌人5伤害6敌人爆炸7a核8随机矿9攻速
30	23151 15143	   	262.57	橙橙1易伤1伤害1攻速	1易伤2时间3低血量敌人4基地爆炸5伤害6敌人爆炸7a核8随机矿9攻速
31	23321 15143	   	262.57	橙橙1易伤1伤害1攻速	1易伤2时间3最后敌人4低血量敌人5伤害6敌人爆炸7a核8随机矿9攻速
32	22311 34355	   	261.98	橙橙2易伤1暴击	17易伤24掉矿3挖尘5金币生成6雷电89核a暴击
33	22321 34355	   	261.98	橙橙2易伤1暴击	17易伤2掉矿34挖尘5金币生成6雷电89核a暴击
34	22341 31355	   	261.98	橙橙2易伤1暴击	14易伤2掉矿37挖尘5金币生成6雷电89核a暴击
35	22341 32355	   	261.98	橙橙2易伤1暴击	14易伤27掉矿3挖尘5金币生成6雷电89核a暴击
36	22313 34355	   	261.88	橙橙2易伤1暴击	17易伤24掉矿3挖尘5技能点6雷电89核a暴击
37	22323 34355	   	261.88	橙橙2易伤1暴击	17易伤2掉矿34挖尘5技能点6雷电89核a暴击
38	22343 31355	   	261.88	橙橙2易伤1暴击	14易伤2掉矿37挖尘5技能点6雷电89核a暴击
39	22343 32355	   	261.88	橙橙2易伤1暴击	14易伤27掉矿3挖尘5技能点6雷电89核a暴击
40	35121 23134	   	260.47	紫橙2易伤1矿等1攻速1平台	1额外掉落2a核3敌人爆炸45易伤6攻速7平台8矿等9技能点
41	13282 12473	   	259.75	紫橙2易伤1伤害2暴击	17等级27暴击3加一4a核57易伤6随机矿7序列升级8掉矿9伤害
42	13282 12773	   	259.75	紫橙2易伤1伤害2暴击	17等级27暴击3加一4a核57易伤6随机矿7序列升级8技能点9伤害
43	13284 42473	   	259.75	紫橙2易伤1伤害2暴击	17等级27暴击3加一4a核5随机矿67易伤7序列升级8掉矿9伤害
44	13284 42773	   	259.75	紫橙2易伤1伤害2暴击	17等级27暴击3加一4a核5随机矿67易伤7序列升级8技能点9伤害
45	13282 34813	   	259.65	紫橙2易伤1伤害2暴击	1等级28暴击3加一4a核57易伤6伤害9低血量敌人
