0	Index      	 *	Score 	Summary	Detail	
1	23521 11366	 * 	280.91	紫橙4易伤2时间1平台	1平台2579易伤3a核47时间67基地爆炸7序列升级8掉矿
2	26144 34628	 * 	280.76	橙橙2易伤1攻速1暴击1平台	1平台2加一37敌人爆炸45易伤6暴击8a核9攻速
3	26425 33418	   	277.28	橙橙1易伤1矿等2平台1攻速1暴击	16平台2加一3易伤4等级5攻速7a核8矿等9暴击
4	23521 13366	   	274.16	紫橙4易伤1平台	1平台2579易伤3a核4时间6基地爆炸8掉矿
5	23521 31366	   	274.06	紫橙4易伤1平台	1平台2569易伤3a核4时间7挖尘8掉矿
6	26442 43563	 * 	273.52	橙橙2易伤1伤害1平台	1平台2加一34易伤5立即金币6伤害79核8最后敌人a双倍矿
7	26442 43564	   	273.52	橙橙2易伤1伤害1平台	1平台2加一34易伤5立即金币6伤害79核8最后敌人a技能
8	21323 53415	   	273.42	橙橙2易伤1伤害1平台	1平台2双倍秒伤3技能点4赏金塔5伤害6a易伤78核9技能
9	21323 53435	   	273.42	橙橙2易伤1伤害1平台	1平台2双倍秒伤3技能点4赏金塔5伤害6a易伤78核9随机矿
10	26442 43561	   	273.42	橙橙2易伤1伤害1平台	1平台2加一34易伤5立即金币6伤害79核8最后敌人a技能点
11	26442 43562	   	273.42	橙橙2易伤1伤害1平台1挖怪	1平台2加一34易伤5立即金币6伤害79核8最后敌人a挖怪
12	26434 14436	   	267.01	橙橙2易伤1暴击1平台	1平台2加一36易伤4赏金塔5赏金邻近7a核8暴击9双倍秒伤
13	52111 45331	   	265.85	橙橙2易伤1暴击	1雷电29低血量敌人3额外掉落47易伤5时间68核a暴击
14	11353 42332	   	264.33	紫橙3易伤1攻速1暴击	1金币生成2赏金塔37a易伤49核5双倍秒伤6暴击8攻速
15	51216 33316	 * 	263.86	橙橙2易伤2暴击	1雷电2敌人爆炸39暴击47易伤5最后敌人6等级8a核
16	22232 62266	 * 	261.84	紫橙2伤害1易伤1矿等1平台	1平台27伤害3矿等48核5赏金邻近6双倍秒伤9时间a易伤
17	23415 23623	   	261.66	橙橙2易伤1平台	1平台25易伤3敌人爆炸4散射对甲6双倍秒伤7赏金塔8a核9时间
18	23521 11166	   	261.65	紫橙3易伤2时间1平台	1平台257易伤3a核47时间67基地爆炸7序列升级8激光减费9掉矿
19	23115 23623	   	261.56	橙橙2易伤1平台	1平台25易伤3挖尘4散射对甲6双倍秒伤7赏金塔8a核9时间
20	23615 23623	   	261.56	橙橙2易伤1平台	1平台25易伤3挖青4散射对甲6双倍秒伤7赏金塔8a核9时间
21	21323 53416	   	260.87	橙橙1易伤1伤害1暴击1平台	1平台2双倍秒伤3技能点4赏金塔5伤害6易伤78核9技能a暴击
22	21323 53436	   	260.87	橙橙1易伤1伤害1暴击1平台	1平台2双倍秒伤3技能点4赏金塔5伤害6易伤78核9随机矿a暴击
23	26425 33318	   	259.65	橙橙1易伤2平台1攻速1暴击	16平台2加一3易伤4等级5攻速7a核8掉矿9暴击
24	53112 64261	   	258.55	橙橙2易伤2时间	1雷电28时间3额外掉落4a易伤5激光对愈6加一79核
25	51216 33336	   	257.55	橙橙2易伤1暴击	1雷电2敌人爆炸3暴击47易伤5最后敌人6等级8a核9低血量敌人
26	23521 32356	   	255.00	紫橙3易伤1平台	1平台256易伤3a核4时间79低血量敌人8掉矿
27	23521 13166	   	254.90	紫橙3易伤1平台	1平台257易伤3a核4时间6基地爆炸8激光减费9掉矿
28	23521 21366	   	254.90	紫橙3易伤1平台	1平台259易伤3a核4时间6立即金币7挖尘8掉矿
29	23521 31166	   	254.80	紫橙3易伤1平台	1平台256易伤3a核4时间7挖尘8激光减费9掉矿
30	11353 42333	 * 	254.65	紫橙2易伤2攻速1暴击	1金币生成2赏金塔37易伤49核5双倍秒伤6暴击8a攻速
31	22232 23263	   	254.01	紫橙1易伤1伤害1矿等1全技能1平台	1平台2伤害3矿等48核5赏金邻近6易伤7时间9赏金塔a全技能
32	22232 62226	   	253.53	紫橙2伤害1易伤1矿等1平台	1平台27伤害3矿等48核5赏金邻近6双倍秒伤9基地爆炸a易伤
33	22232 62242	   	253.53	紫橙2伤害1易伤1矿等1平台	1平台27伤害3矿等48核5赏金邻近6双倍秒伤9立即金币a易伤
34	22132 21232	 * 	253.02	紫橙2易伤1伤害1平台	1平台2伤害39随机矿48核5赏金邻近6a易伤7时间
35	22232 62243	 * 	252.80	紫橙3伤害2矿等1平台	1平台27a伤害3a矿等48核5赏金邻近6双倍秒伤9立即金币a序列升级
36	52111 45321	   	252.20	橙橙2易伤	1雷电2低血量敌人3额外掉落47易伤5时间68核9随机矿a等级
37	52111 45323	   	252.20	橙橙2易伤	1雷电2低血量敌人3额外掉落47易伤5时间68核9随机矿a基地爆炸
38	52111 45332	   	252.20	橙橙2易伤	1雷电29低血量敌人3额外掉落47易伤5时间68核a基地爆炸
39	52111 43316	   	252.10	橙橙2易伤	17雷电2低血量敌人3额外掉落4a易伤5时间68核9挖尘
40	52111 45312	   	252.10	橙橙2易伤	1雷电2低血量敌人3额外掉落47易伤5时间68核9挖尘a技能
41	52111 45322	   	252.10	橙橙2易伤1挖怪	1雷电2低血量敌人3额外掉落47易伤5时间68核9随机矿a挖怪
42	52111 45333	   	252.10	橙橙2易伤	1雷电29低血量敌人3额外掉落47易伤5时间68核a掉矿
43	53112 64461	   	252.00	橙橙2易伤	18雷电2时间3额外掉落4a易伤5激光对愈6加一79核
44	53433 34331	   	252.00	橙橙2易伤	1雷电2时间3核弹46易伤5等级79核8额外掉落a加一
45	53433 34332	   	252.00	橙橙2易伤1卖塔	1雷电2时间3核弹46易伤5等级79核8额外掉落a卖塔
46	53433 34333	   	252.00	橙橙2易伤	1雷电2时间3核弹46易伤5等级79核8额外掉落a挖尘
47	52111 45311	   	252.00	橙橙2易伤	1雷电2低血量敌人3额外掉落47易伤5时间68核9a挖尘
