0	Index      	 *	Score 	Summary	Detail	
1	21177 52433	 * 	295.00	橙橙2易伤2伤害1暴击	18易伤2雷电3加一48挖尘58伤害6双倍秒伤7a核8序列升级9暴击
2	24353 12262	 * 	290.44	紫橙3易伤3伤害	18a易伤2技能3低血量敌人46核57a伤害9a掉矿a序列升级
3	21126 32443	 * 	279.34	橙橙3易伤1暴击1策反	169易伤2雷电3加一4赏金塔5策反7a核8暴击
4	21136 32443	 * 	279.34	橙橙3易伤1暴击1策反	169易伤2雷电3加一4赏金邻近5策反7a核8暴击
5	14253 11341	   	275.90	紫橙2易伤1伤害1矿等1暴击1全技能	1最后敌人2技能39易伤46核5伤害7暴击8全技能a矿等
6	24353 11341	   	275.90	紫橙2易伤1伤害1矿等1暴击1全技能	19易伤2技能3低血量敌人46核5伤害7暴击8全技能a矿等
7	41253 11336	   	275.65	紫橙2易伤1伤害1矿等1暴击1全技能1策反	1策反2低血量敌人3a易伤46核5伤害7暴击8全技能9矿等
8	41253 11341	   	275.65	紫橙2易伤1伤害1矿等1暴击1全技能1策反	1策反2低血量敌人39易伤46核5伤害7暴击8全技能a矿等
9	24353 13262	   	274.78	紫橙3易伤2伤害	18a易伤2技能37低血量敌人46核5a伤害9a掉矿a序列升级
10	14253 12212	   	270.61	紫橙2易伤2伤害1平台	1最后敌人2技能38易伤46核57伤害9时间a平台
11	24353 12212	   	270.61	紫橙2易伤2伤害1平台	18易伤2技能3低血量敌人46核57伤害9时间a平台
12	64253 12212	   	270.61	紫橙2易伤2伤害1平台	1低血量敌人2技能38易伤46核57伤害9时间a平台
13	41253 12212	   	270.37	紫橙2易伤2伤害1平台1策反	1策反2低血量敌人38易伤46核57伤害9时间a平台
14	41253 12225	   	269.83	紫橙2易伤2伤害1矿等1策反	1策反2低血量敌人38易伤46核57伤害9散射对绿a矿等
15	14253 12262	   	268.30	紫橙2易伤3伤害	1a最后敌人2技能38易伤46核57a伤害9a掉矿a序列升级
16	24353 12362	   	268.30	紫橙2易伤3伤害	1a易伤2技能38低血量敌人46核57a伤害9a掉矿a序列升级
17	24653 12211	   	267.40	紫橙2易伤2伤害2时间	18易伤2技能3挖尘46核57伤害9a时间
18	11612 13253	   	266.86	紫橙3易伤1伤害1平台	1最后敌人2雷电3a核468易伤5双倍矿7伤害9平台
19	11616 13253	   	266.86	紫橙3易伤1伤害1平台	1最后敌人25雷电3a核468易伤7伤害9平台
20	53612 13253	   	266.86	紫橙3易伤1伤害1平台	1雷电2低血量敌人3a核468易伤5双倍矿7伤害9平台
21	53613 13253	   	266.86	紫橙3易伤1伤害1平台	1雷电25低血量敌人3a核468易伤7伤害9平台
22	61612 13253	   	266.86	紫橙3易伤1伤害1平台	1低血量敌人2雷电3a核468易伤5双倍矿7伤害9平台
23	61613 13253	   	266.86	紫橙3易伤1伤害1平台	15低血量敌人2雷电3a核468易伤7伤害9平台
24	14253 12123	   	266.29	紫橙2易伤2伤害1攻速	1最后敌人2技能3a易伤46核57伤害8攻速9敌人爆炸
25	24353 12123	   	266.29	紫橙2易伤2伤害1攻速	1a易伤2技能3低血量敌人46核57伤害8攻速9敌人爆炸
26	64253 12123	   	266.29	紫橙2易伤2伤害1攻速	1低血量敌人2技能3a易伤46核57伤害8攻速9敌人爆炸
27	24653 12123	   	266.19	紫橙2易伤2伤害1攻速	1a易伤2技能3挖尘46核57伤害8攻速9敌人爆炸
28	14253 12221	   	266.19	紫橙2易伤2伤害1攻速	1最后敌人2技能38易伤46核57伤害9散射对绿a攻速
29	24353 12221	   	266.19	紫橙2易伤2伤害1攻速	18易伤2技能3低血量敌人46核57伤害9散射对绿a攻速
30	64253 12221	   	266.19	紫橙2易伤2伤害1攻速	1低血量敌人2技能38易伤46核57伤害9散射对绿a攻速
31	24653 12221	   	266.09	紫橙2易伤2伤害1攻速	18易伤2技能3挖尘46核57伤害9散射对绿a攻速
32	41253 12123	   	266.05	紫橙2易伤2伤害1攻速1策反	1策反2低血量敌人3a易伤46核57伤害8攻速9敌人爆炸
33	41253 12221	   	265.95	紫橙2易伤2伤害1攻速1策反	1策反2低血量敌人38易伤46核57伤害9散射对绿a攻速
