0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63312 32333	1	 * 	305.96	橙5易伤2等级2伤害	1456a易伤2掉矿3a等级7全技能8核9a伤害a序列升级
2	61142 43121	9	 * 	303.01	橙5易伤3等级3时间	1689a易伤29敌人爆炸389等级4双倍矿568时间689序列升级7核
3	61111 43121	9	   	303.01	橙5易伤3等级3时间	1689a易伤29敌人爆炸389等级468时间5立即金币689序列升级7核
4	61111 43136	9	   	302.91	橙5易伤2等级3时间	1689a易伤2敌人爆炸38等级468时间5立即金币68序列升级7核
5	63111 43121	9	   	302.81	橙5易伤3等级3时间	1689a易伤29挖尘389等级468时间5立即金币689序列升级7核
6	63111 43136	9	   	302.81	橙5易伤2等级3时间	1689a易伤2挖尘38等级468时间5立即金币68序列升级7核
7	63142 43121	9	   	302.81	橙5易伤3等级3时间	1689a易伤29挖尘389等级4双倍矿568时间689序列升级7核
8	61152 43121	10	   	298.31	橙4易伤3等级3时间1暴击	1689易伤249敌人爆炸389等级568时间689序列升级7核a暴击
9	61152 43123	9	   	298.31	橙4易伤3等级3时间1暴击	1689易伤249敌人爆炸389等级568时间689序列升级7核a暴击
10	63115 43121	10	   	298.01	橙4易伤3等级3时间1暴击	1689易伤259挖尘389等级468时间689序列升级7核a暴击
11	63115 43123	9	   	298.01	橙4易伤3等级3时间1暴击	1689易伤259挖尘389等级468时间689序列升级7核a暴击
12	61611 15122	10	 * 	297.90	橙3易伤3伤害3时间1等级	189易伤29敌人爆炸389伤害478时间5立即金币6核89序列升级a等级
13	63611 15122	10	   	297.70	橙3易伤3伤害3时间1等级	189易伤29挖尘389伤害478时间5立即金币6核89序列升级a等级
14	61111 43126	9	   	292.97	橙4易伤3等级3时间	1689易伤29敌人爆炸389等级468时间5立即金币689序列升级7核a攻速
15	61142 43133	9	   	292.87	橙4易伤2等级3时间	1689易伤2敌人爆炸38等级4双倍矿568时间68序列升级7核a雷电
16	61152 43133	9	   	292.87	橙4易伤2等级3时间	1689易伤24敌人爆炸38等级568时间68序列升级7核a雷电
17	61111 43133	9	   	292.87	橙4易伤2等级3时间	1689易伤2敌人爆炸38等级468时间5立即金币68序列升级7核a雷电
18	61111 43153	9	   	292.87	橙4易伤2等级3时间	168a易伤2敌人爆炸38等级468时间5立即金币68序列升级7核9雷电
19	63111 43126	9	   	292.77	橙4易伤3等级3时间	1689易伤29挖尘389等级468时间5立即金币689序列升级7核a攻速
20	63111 43133	9	   	292.77	橙4易伤2等级3时间	1689易伤2挖尘38等级468时间5立即金币68序列升级7核a雷电
21	63111 43153	9	   	292.77	橙4易伤2等级3时间	168a易伤2挖尘38等级468时间5立即金币68序列升级7核9雷电
22	63142 43133	9	   	292.77	橙4易伤2等级3时间	1689易伤2挖尘38等级4双倍矿568时间68序列升级7核a雷电
23	62116 43113	8	   	292.67	橙4易伤3等级3时间	1589易伤2挖青368等级468时间68序列升级7核a攻速
24	63115 43133	9	   	292.67	橙4易伤2等级3时间	1689易伤25挖尘38等级468时间68序列升级7核a雷电
25	61111 43152	10	   	291.88	橙3易伤2等级3时间1伤害	168易伤2敌人爆炸38等级468时间5立即金币68序列升级7核9雷电a伤害
26	63111 43152	10	   	291.78	橙3易伤2等级3时间1伤害	168易伤2挖尘38等级468时间5立即金币68序列升级7核9雷电a伤害
27	62123 43114	9	   	289.48	橙5易伤2等级2时间	1589a易伤2挖青38等级4立即金币68时间7核8序列升级
28	61111 43161	8	   	285.47	橙3易伤2等级3时间1暴击	168易伤2敌人爆炸38等级468时间5立即金币68序列升级7核9暴击a攻速
29	63111 43161	8	   	285.37	橙3易伤2等级3时间1暴击	168易伤2挖尘38等级468时间5立即金币68序列升级7核9暴击a攻速
30	61142 43121	10	   	284.66	橙4易伤3等级3时间	1689易伤29敌人爆炸389等级4双倍矿568时间689序列升级7核a最后敌人
31	61142 43123	9	   	284.66	橙4易伤3等级3时间	1689易伤29敌人爆炸389等级4双倍矿568时间689序列升级7核a立即金币
32	61152 43121	9	   	284.66	橙4易伤3等级3时间	1689易伤249敌人爆炸389等级568时间689序列升级7核a双倍矿
33	61152 43122	9	   	284.66	橙4易伤3等级3时间	1689易伤249敌人爆炸389等级568时间689序列升级7核a平台
34	61152 43122	10	   	284.66	橙4易伤3等级3时间	1689易伤249敌人爆炸389等级568时间689序列升级7核a平台
35	61152 43123	10	   	284.66	橙4易伤3等级3时间	1689易伤249敌人爆炸389等级568时间689序列升级7核a金币生成
36	61111 43121	10	   	284.66	橙4易伤3等级3时间	1689易伤29敌人爆炸389等级468时间5立即金币689序列升级7核a最后敌人
37	61111 43123	9	   	284.66	橙4易伤3等级3时间	1689易伤29敌人爆炸389等级468时间5a立即金币689序列升级7核
