0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33335 11135	9	 * 	307.89	橙5易伤3伤害1等级2雷电	1加一29雷电369伤害45679易伤69序列升级8核a等级
2	55334 11223	6	 * 	303.55	橙5易伤3时间2伤害	167时间2雷电37伤害4567a易伤67序列升级8核9掉矿
3	33337 13126	10	 * 	297.11	橙3易伤3伤害2等级1时间	1加一2雷电356伤害456易伤56序列升级79等级8时间a核
4	64324 11323	6	   	296.86	橙4易伤3时间2伤害3雷电	167雷电258a易伤37伤害467时间67序列升级9核
5	55334 11221	6	   	294.87	橙4易伤3时间2伤害	167时间2雷电37伤害4567易伤67序列升级8核9掉矿a全技能
6	33337 17382	9	   	294.52	橙3易伤3伤害2等级1暴击	1加一2雷电356伤害456易伤56序列升级7暴击89等级a核
7	33337 32267	6	 * 	293.34	橙3易伤2伤害2时间1等级2雷电	1加一29雷电35伤害459易伤59序列升级69时间7核8全技能a等级
8	55334 11233	6	   	291.75	橙4易伤3时间2伤害2雷电	167时间2a雷电37伤害4567易伤67序列升级8核9双倍物品
9	64324 11322	6	 * 	291.46	橙3易伤3伤害3时间3雷电	167雷电258易伤37a伤害467时间67序列升级9核
10	33337 14263	6	   	291.35	橙5易伤3伤害2雷电	1加一29雷电356伤害45679易伤569序列升级8全技能a核
11	33335 11138	9	   	290.00	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a攻速
12	33335 17346	10	   	289.45	橙4易伤3伤害1等级2雷电	1加一27雷电367伤害4567易伤67序列升级8挖尘9等级a核
13	33335 11235	6	   	289.26	橙4易伤3伤害1时间2雷电	1加一27雷电367伤害4567易伤67序列升级8全技能9核a时间
14	33335 17235	7	   	289.26	橙4易伤3伤害1时间2雷电	1加一27雷电367伤害4567易伤67序列升级8全技能9核a时间
15	53223 24611	5	 * 	288.32	橙2易伤3伤害2等级2时间1卖塔	1a时间2平台36等级4全技能56a伤害6a序列升级7卖塔8a易伤9核
16	33337 38462	9	   	288.11	橙3易伤2等级2伤害1时间2雷电	1加一2a雷电35伤害45a易伤5a序列升级6时间7金币生成8a等级9核
17	66334 11122	6	   	286.80	橙5易伤3伤害3雷电	167雷电2基地爆炸37a伤害45678易伤67序列升级9核
18	33335 11132	9	   	286.70	橙5易伤3伤害3雷电	1加一29a雷电369伤害45679易伤69序列升级8核
19	33335 11132	10	   	286.70	橙5易伤3伤害3雷电	1加一29a雷电369伤害45679易伤69序列升级8核
20	64335 11132	10	   	286.70	橙5易伤3伤害3雷电	19a雷电25679易伤369伤害4加一69序列升级8核
21	64335 11132	9	   	286.70	橙5易伤3伤害3雷电	19a雷电25679易伤369伤害4加一69序列升级8核
22	33335 11151	8	 * 	286.16	橙4易伤2等级2伤害	1加一2雷电36伤害4567易伤6序列升级8核9a等级
23	33335 11751	7	   	286.16	橙4易伤2等级2伤害	1加一2雷电36伤害4567易伤6序列升级8核9a等级
24	33335 11156	8	   	285.49	橙5易伤2伤害1等级	1加一2雷电36伤害4567a易伤6序列升级8核9等级
25	55334 11231	6	   	285.20	橙4易伤3时间2伤害	167时间2雷电37伤害4567易伤67序列升级8核9双倍物品a低血量敌人
26	55334 11232	6	   	285.10	橙4易伤3时间2伤害	167时间2雷电37伤害4567易伤67序列升级8核9双倍物品a赏金塔
27	55334 31223	6	   	285.10	橙4易伤3时间2伤害	167时间2雷电37伤害457a易伤7序列升级8核9掉矿
28	33335 11161	8	   	283.40	橙4易伤2伤害1等级1时间	1加一2雷电36伤害4567易伤6序列升级8核9时间a等级
29	33335 11761	7	   	283.40	橙4易伤2伤害1等级1时间	1加一2雷电36伤害4567易伤6序列升级8核9时间a等级
30	33337 11182	8	   	282.90	橙4易伤3伤害1等级	1加一2雷电356伤害4569易伤56序列升级7敌人爆炸8核a等级
31	33337 13436	10	   	282.90	橙4易伤3伤害1等级	1加一2雷电356伤害4568易伤56序列升级7等级9低血量敌人a核
32	33337 13476	10	   	282.90	橙4易伤3伤害1等级	1加一2雷电356伤害4568易伤56序列升级7等级9基地爆炸a核
33	33237 36173	8	 * 	282.89	橙4易伤3时间3攻速3雷电	1加一29a雷电357攻速459a易伤59a序列升级69a时间8核
34	33337 12143	10	   	282.80	橙4易伤3伤害1等级	1加一2雷电356伤害456a易伤56序列升级7挖尘8核9等级
35	64337 12143	10	   	282.80	橙4易伤3伤害1等级	1雷电256a易伤356伤害4加一56序列升级7挖尘8核9等级
36	33337 14235	6	   	282.61	橙4易伤3伤害1时间	1加一2雷电356伤害4567易伤56序列升级8全技能9核a时间
37	33337 17322	9	   	282.05	橙3易伤3伤害1等级2雷电1暴击	1加一29雷电356伤害456易伤56序列升级7暴击8等级a核
38	55234 11223	6	   	282.05	橙5易伤3时间2攻速	167时间2雷电37攻速4567a易伤67序列升级8核9掉矿
39	33337 17332	9	   	281.81	橙3易伤3伤害1等级2暴击	1加一2雷电356伤害456易伤56序列升级79暴击8等级a核
40	33337 17382	8	   	281.81	橙3易伤3伤害1等级2暴击	1加一2雷电356伤害456易伤56序列升级79暴击8等级a核
41	33337 11183	8	   	281.79	橙5易伤3伤害2雷电	1加一2a雷电356伤害4569a易伤56a序列升级7a敌人爆炸8核
42	33335 11131	9	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a低血量敌人
43	33335 11131	10	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a金币生成
44	33335 11133	10	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a策反
45	33335 11134	9	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a矿等
46	33335 11134	10	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a敌人爆炸
47	33335 11136	9	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a基地爆炸
48	33335 11137	9	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a敌人爆炸
49	33335 11138	10	   	281.69	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a基地爆炸
50	33335 17253	9	   	281.69	橙5易伤3伤害2雷电	1加一27雷电367伤害4567a易伤67序列升级8策反9核
51	64335 11131	10	   	281.69	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a金币生成
52	64335 11131	9	   	281.69	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a低血量敌人
53	64335 11133	10	   	281.69	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a策反
54	64335 11134	10	   	281.69	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a敌人爆炸
55	64335 11134	9	   	281.69	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a矿等
56	33335 11133	9	   	281.59	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a赏金邻近
57	33335 11136	10	   	281.59	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a掉矿
