0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13132 36254	7	 * 	293.11	橙3易伤3伤害1等级1时间1暴击1全技能	1全技能2等级369易伤456伤害6序列升级7暴击8时间a核
2	13132 36324	8	   	293.11	橙3易伤3伤害1等级1时间1暴击1全技能	1全技能2等级368易伤456伤害6序列升级7暴击9时间a核
3	13132 36214	7	 * 	287.43	橙2易伤3伤害2等级1时间1暴击1全技能	1全技能29等级36易伤456伤害6序列升级7暴击8时间a核
4	13132 36424	8	   	287.43	橙2易伤3伤害2等级1时间1暴击1全技能	1全技能28等级36易伤456伤害6序列升级7暴击9时间a核
5	16232 36324	8	   	287.43	橙2易伤3伤害2等级1时间1暴击1全技能	1全技能28易伤36等级456伤害6序列升级7暴击9时间a核
6	25233 14334	3	 * 	286.98	橙4易伤2伤害2时间1暴击1全技能	18伤害2平台3暴击468a易伤58时间7核8序列升级9全技能
7	26321 62332	6	 * 	284.38	橙3易伤3伤害2时间1等级	138伤害289易伤4加一5最后敌人6等级78时间8序列升级a核
8	26335 12332	5	   	284.09	橙3易伤3伤害2时间2攻速1全技能	134伤害268易伤58攻速78时间8序列升级9全技能a核
9	26336 12332	4	   	284.09	橙3易伤3伤害2时间2攻速1全技能	134伤害268易伤58攻速78时间8序列升级9全技能a核
10	13131 33322	6	 * 	282.42	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8矿等9策反a核
11	13131 33351	6	   	282.42	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8矿等9核a立即金币
12	13131 33352	6	   	282.42	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8矿等9核a最后敌人
13	13131 33353	6	   	282.42	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8矿等9核a敌人爆炸
14	13131 33354	6	   	282.42	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8矿等9核a低血量敌人
15	13131 33355	6	   	282.42	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8矿等9核a策反
16	13131 33451	6	   	282.32	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8掉矿9核a立即金币
17	13131 33452	6	   	282.32	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8掉矿9核a最后敌人
18	13131 33453	6	   	282.32	橙3易伤3伤害2等级1全技能	1全技能27等级367易伤467伤害5双倍矿67序列升级8掉矿9核a敌人爆炸
