0	Index      	 *	Score 	Summary	Detail	
1	36623 34331	 * 	318.62	橙橙2易伤1等级1伤害1攻速	1时间2a易伤3伤害4等级5双倍秒伤69核7攻速8随机矿
2	36623 31331	   	311.91	橙橙2易伤1等级1伤害	1时间2a易伤3伤害4等级5双倍秒伤69核7策反8随机矿
3	36623 31431	   	311.91	橙橙2易伤1等级1伤害	1时间2a易伤3伤害4等级5双倍秒伤69核7策反8技能点
4	36653 31131	   	311.81	橙橙2易伤1等级1伤害	1时间2a易伤3伤害4掉矿5双倍秒伤69核7策反8等级
5	36623 36331	   	304.97	橙橙2易伤1等级1伤害	1时间2a易伤3伤害4等级5双倍秒伤69核7技能8随机矿
6	36623 33631	   	304.87	橙橙2易伤1等级1伤害	1时间2a易伤3伤害4等级5双倍秒伤69核7掉矿8技能
7	24133 22414	 * 	303.95	紫橙1等级1易伤2攻速2时间1暴击	1掉矿25时间35攻速49核5序列升级6暴击7技能点8等级a易伤
8	36653 31133	 * 	299.54	橙橙1等级1易伤2伤害	1时间2易伤3a伤害4掉矿5双倍秒伤69核7策反8等级
9	33221 52641	 * 	299.24	橙2等级2易伤2攻速1烈焰减费2随机技能	1时间28攻速3矿等4烈焰减费58等级6a易伤78随机技能8序列升级9核
10	33121 52141	 * 	298.53	橙3易伤1等级1伤害1烈焰减费1攻速	1时间2攻速3伤害4烈焰减费5等级68a易伤7随机技能9核
11	36623 33633	   	292.60	橙橙1等级1易伤2伤害	1时间2易伤3a伤害4等级5双倍秒伤69核7掉矿8技能
12	32352 12158	   	291.85	橙橙2易伤1等级	1时间2基地爆炸34易伤5金币生成6随机技能7加一8a核9等级
13	32352 36238	   	291.85	橙橙2易伤1等级	1时间2基地爆炸34易伤5金币生成6等级7加一8随机技能9a核
14	33111 52141	 * 	290.92	橙3易伤1等级2攻速1伤害	1时间24攻速3伤害5等级68a易伤7随机技能9核
15	36623 34333	   	288.77	橙橙1等级1易伤1伤害1攻速	1时间2易伤3伤害4等级5双倍秒伤69核7攻速8随机矿a基地爆炸
16	33143 33431	   	288.67	橙橙1等级1易伤1伤害1攻速	1时间2攻速3伤害4基地爆炸5双倍秒伤69核7掉矿8等级a易伤
17	36623 34332	   	288.67	橙橙1等级1易伤1伤害1攻速	1时间2易伤3伤害4等级5双倍秒伤69核7攻速8随机矿a掉矿
