0	Index      	 *	Score 	Summary	Detail	
1	31335 51124	 * 	268.99	紫3攻速1基础对甲2伤害2基地爆炸	1核259策反37基地爆炸49伤害689攻速9序列升级a基础对甲
2	33173 83251	 * 	259.92	紫2基础对甲2伤害2攻速1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a易伤
3	33273 83251	   	259.92	紫2基础对甲2伤害2攻速1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a易伤
4	33127 74813	 * 	255.67	紫3伤害3攻速3基地爆炸	1核2加一37a攻速4a火球减费579基地爆炸67a伤害7a序列升级8技能
5	33173 83252	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a敌人爆炸
6	33173 83253	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a随机矿
7	33173 83254	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a最后敌人
8	33273 83252	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a敌人爆炸
9	33273 83253	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a随机矿
10	33273 83254	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a最后敌人
11	33273 83813	   	252.98	紫2基础对甲2伤害2攻速1全技能	1核2加一3a伤害4全技能5立即金币6策反7a基础对甲8额外掉落9a攻速a序列升级
12	45332 32212	 * 	250.82	紫2基础对甲2伤害2基地爆炸1攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸8攻速9易伤
13	45332 32123	 * 	249.01	紫2基础对甲2伤害1基础对冰2易伤1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸89易伤a基础对冰
14	45332 32126	 * 	249.01	紫2基础对甲2伤害2易伤1攻速1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸89易伤a攻速
15	45332 31136	   	246.63	紫2基础对甲2伤害2攻速1全技能1暴击	1金币生成24伤害34基础对甲4序列升级5核6全技能7a攻速8暴击9策反
16	45332 31333	   	246.63	紫2基础对甲2伤害2攻速1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9策反a基地爆炸
17	45332 31323	   	246.53	紫2基础对甲2伤害2攻速1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9掉矿a基地爆炸
18	33133 36245	 * 	244.67	紫3伤害1基础对甲1攻速1基地爆炸	1核2加一3攻速469伤害56低血量敌人6序列升级7基地爆炸8技能a基础对甲
19	33137 36245	   	244.67	紫3伤害1基础对甲1攻速1基地爆炸	1核2加一3攻速469伤害56最后敌人6序列升级7基地爆炸8技能a基础对甲
20	33133 66245	   	244.57	紫3伤害1基础对甲1攻速1基地爆炸	1核2加一3攻速469伤害5低血量敌人7基地爆炸8技能a基础对甲
21	33136 71245	   	244.57	紫3伤害1基础对甲1攻速1基地爆炸	1核2加一3攻速469伤害5技能7基地爆炸8低血量敌人a基础对甲
22	45332 32232	   	243.88	紫2基础对甲2伤害2基地爆炸1攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸8攻速9敌人爆炸
23	45332 32242	   	243.88	紫2基础对甲2伤害2基地爆炸1攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸8攻速9最后敌人
24	45332 32125	 * 	243.78	紫2基础对甲2伤害2基地爆炸2易伤1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸89易伤
25	45332 32262	   	243.78	紫2基础对甲2伤害2基地爆炸1攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸8攻速9挖尘
26	45332 31134	   	242.69	紫2基础对甲2伤害1攻速1全技能1基地爆炸1暴击	1金币生成24伤害34基础对甲4序列升级5核6全技能7攻速8暴击9策反a基地爆炸
27	45332 31315	   	241.29	紫2基础对甲2伤害2攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9最后敌人a技能
28	45332 31336	   	241.29	紫2基础对甲2伤害2攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9策反a技能
29	33754 33252	 * 	241.23	紫2基础对甲2攻速2全技能1基地爆炸	1核2加一39磁铁减费46全技能5时间79基础对甲89攻速9序列升级a基地爆炸
30	45332 31362	   	241.19	紫2基础对甲2伤害2攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9加一a技能
31	45332 33326	   	241.19	紫2基础对甲2伤害2攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7掉矿8a攻速9技能
32	33137 34763	 * 	240.40	紫3伤害1基础对甲2攻速	1核2加一37攻速467伤害567最后敌人67序列升级8金币生成9掉矿a基础对甲
33	33324 14413	   	240.02	紫3攻速3基地爆炸2伤害	1核2加一3双倍矿4技能57a攻速679基地爆炸7a序列升级8a伤害
34	33371 74413	   	240.02	紫3伤害3基地爆炸2攻速	1核2加一3双倍矿479基地爆炸5技能67a伤害7a序列升级8a攻速
35	33237 35813	   	239.92	紫3伤害3基地爆炸2攻速	1核2加一34a伤害569基地爆炸7a攻速8技能a序列升级
