0	Index      	 *	Score 	Summary	Detail	
1	34123 34316	 * 	200.62	DCR|4VULN|3DMG|1AART	19FEWX|2569VULN|389DMG|4BELT|7AART|9BPWR|aRCR
2	22323 35341	 * 	194.51	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	18MLV|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9ZMB|aAART
3	52323 35341	   	194.31	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	18ERES|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9ZMB|aAART
4	63224 38431	 * 	192.48	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1MBVNT|2AART|39TLV|4DUR|589VULN|6RCR|79CDMG|9BPWR|aDMG
5	63113 81317	 * 	192.02	DCR|3DMG|2VULN|1AART|1CDMG	1MBVNT|2AART|39VULN|469DMG|59TLV|7BELT|8RCR|9BPWR|aCDMG
6	63113 83162	   	189.12	DCR|3VULN|3DMG|1AART	1MBVNT|2AART|389VULN|467DMG|5TLV|aRCR
7	63652 24131	 * 	187.90	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|3RCR|48CDMG|5FEWX|67VULN|9aDMG
8	22323 35344	 * 	186.96	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18MLV|28ASPD|3DUR|47aVULN|58DMG|6RCR|8BPWR|9ZMB
9	63641 22146	 * 	186.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1MBVNT|2aAART|3RCR|4CANHEL|5CDMG|6ZMB|7DMG|89VULN
10	21551 23531	   	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MLV|26VULN|3CDMG|4FEWX|5ZMB|7RCR|8AART|9aDMG
11	63113 81311	   	185.31	DCR|3DMG|2VULN|1AART|1DUR	1MBVNT|2AART|39VULN|469DMG|59TLV|7BELT|8RCR|9BPWR|aDUR
12	63115 81311	   	185.31	DCR|3DMG|2VULN|1AART|1DUR	1MBVNT|2AART|39VULN|469DMG|59ERES|7BELT|8RCR|9BPWR|aDUR
13	22323 35346	 * 	184.95	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	18MLV|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9ZMB|aCDMG
14	63118 11711	   	184.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1MBVNT|2AART|3VULN|4aDMG|5RCVC|6RCR|7ASPD|8CDMG|9ZMB
15	22323 35315	   	183.50	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	18MLV|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9FEWX|aAART
16	22323 35325	   	183.50	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	18MLV|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9LHND|aAART
17	63652 24231	   	183.49	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4CDMG|5FEWX|67VULN|8RCVC|9aDMG
18	52323 35315	   	183.30	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	18ERES|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9FEWX|aAART
19	52323 35325	   	183.30	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	18ERES|28ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9LHND|aAART
20	63114 15522	 * 	183.23	DCR|3AART|2DMG|2VULN	1MBVNT|289AART|3aVULN|4aDMG|5DMSP|6RCR|7LEGI|aBPWR
21	63633 64431	   	182.74	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1MBVNT|2AART|3RCR|49DUR|58VULN|69CGEN|79CDMG|9BPWR|aDMG
22	63632 84331	   	182.54	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1MBVNT|2AART|3RCR|49DUR|58ERES|69VULN|79CDMG|9BPWR|aDMG
23	63641 73222	   	182.28	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1MBVNT|27AART|3RCR|4CANHEL|5CDMG|6DUR|8DMG|9aVULN
24	22323 35355	 * 	182.27	DCR|3DMG|2VULN|3ASPD|1DUR	18MLV|289ASPD|3DUR|47VULN|58aDMG|6RCR|8BPWR
25	63224 38131	   	182.12	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1MBVNT|2AART|39TLV|48DUR|59VULN|6RCR|79CDMG|9BPWR|aDMG
26	63224 38461	 * 	181.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1MBVNT|29AART|3TLV|4DUR|58VULN|6RCR|7CDMG|aDMG
27	63641 22147	   	181.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6ZMB|7DMG|89VULN|aDUR
28	63652 34131	 * 	181.76	ACR|2AART|2DMG|1VULN|2CDMG	1MBVNT|26AART|3RCR|48CDMG|5FEWX|7VULN|9aDMG
29	63151 63422	 * 	181.62	DCR|3VULN|2AART|1CDMG|1ZMB	1MBVNT|27AART|39aVULN|4LSRICY|5CDMG|6RCR|8ZMB
30	63171 63422	   	181.62	DCR|3VULN|2AART|1CDMG|1ZMB	1MBVNT|27AART|39aVULN|4MGNLIT|5CDMG|6RCR|8ZMB
31	63674 41431	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4aDMG|5DMSP|6CDMG|79VULN|8LWND
32	63114 11711	   	181.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1MBVNT|2AART|3VULN|4aDMG|5DMSP|6RCR|7ASPD|8CDMG|9ZMB
33	21143 33213	 * 	181.43	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	1MLV|2aVULN|3BASICY|4ERES|5RCR|6aZMB|7DUR|8AART|9aDMG|aBPWR
34	51113 33213	   	181.43	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	1ERES|2aVULN|3BASICY|4CGEN|5RCR|6aZMB|7DUR|8AART|9aDMG|aBPWR
35	63641 36322	   	181.38	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6DUST|78DMG|9aVULN
36	61154 17243	   	181.37	DCR|3DMG|2VULN|1AART	1MBVNT|2LHND|34aDMG|5AART|6RCR|7LIT|89VULN
37	63652 24111	   	181.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1MBVNT|2AART|3RCR|48CDMG|5FEWX|67VULN|9ZMB|aDMG
