0	Index      	 *	Score 	Summary	Detail	
1	53223 51432	 * 	219.08	ACR|4VULN|3DMG|3DUR|2ZMB	178DUR|278DMG|3aZMB|4ASPD|5RCR|678aVULN|78aBPWR|9aBEXP
2	53223 51133	   	209.01	ACR|4VULN|2DMG|1CDMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678aVULN|7BPWR|9CDMG
3	53223 51125	 * 	206.37	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9AART|aRCVC
4	53223 51121	   	205.06	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9AART|aRMIN
5	53223 51123	   	205.06	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9AART|aLHND
6	53223 51126	   	205.06	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9AART|aLIT
7	53223 51122	   	204.96	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9AART|aDUST
8	53223 51411	   	204.78	ACR|3VULN|3DMG|3DUR|2ZMB	178DUR|278DMG|39ZMB|4ASPD|5RCR|678VULN|78BPWR|aFEWX
9	53223 51412	   	204.78	ACR|3VULN|3DMG|3DUR|2ZMB	178DUR|278DMG|39ZMB|4ASPD|5RCR|678VULN|78BPWR|aLIT
10	53223 51115	   	201.52	ACR|3VULN|2DMG|2ASPD|1CDMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|49ASPD|5RCR|678VULN|7BPWR|aCDMG
11	53223 51431	   	200.93	ACR|3VULN|3DMG|3DUR|1ZMB	178DUR|278DMG|3ZMB|4ASPD|5RCR|678VULN|78BPWR|9BEXP|aCGEN
12	53223 51421	   	200.83	ACR|3VULN|3DMG|3DUR|1ZMB	178DUR|278DMG|3ZMB|4ASPD|5RCR|678VULN|78BPWR|9ERES|aLIT
13	53223 51422	   	200.83	ACR|3VULN|3DMG|3DUR|1ZMB	178DUR|278DMG|3ZMB|4ASPD|5RCR|678VULN|78BPWR|9ERES|aMLV
14	53223 51433	   	200.83	ACR|3VULN|3DMG|3DUR|1ZMB	178DUR|278DMG|3ZMB|4ASPD|5RCR|678VULN|78BPWR|9BEXP|aERES
15	53223 51423	   	200.73	ACR|3VULN|3DMG|3DUR|1ZMB	178DUR|278DMG|3ZMB|4ASPD|5RCR|678VULN|78BPWR|9ERES|aDUST
16	53223 51134	   	198.73	ACR|3VULN|2DMG|3DUR|1CDMG|1ZMB	17aDUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9CDMG
17	23266 31313	 * 	197.02	DCR|3DMG|2VULN|1AART|2ZMB	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|89VULN|aLIT
18	23266 31314	   	197.02	DCR|3DMG|2VULN|1AART|2ZMB	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|89VULN|aRPLT
19	23266 31315	   	197.02	DCR|3DMG|2VULN|1AART|2ZMB	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|89VULN|aLWND
20	23266 31316	   	197.02	DCR|3DMG|2VULN|1AART|2ZMB	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|89VULN|aCGEN
21	23266 31312	   	196.92	DCR|3DMG|2VULN|1AART|2ZMB	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|89VULN|aNUKE
22	23266 31344	   	196.92	DCR|3DMG|2VULN|1AART|2ZMB	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|8aVULN|9MBVNT
23	53223 51343	   	196.91	ACR|3VULN|3DMG|2DUR|1ZMB	17DUR|279DMG|3ZMB|4ASPD|5RCR|67aVULN|7BPWR|8RPLT
24	53223 51221	   	196.02	ACR|2VULN|2DMG|1AART|2ASPD|2DUR|1ZMB	17DUR|27DMG|3ZMB|4aASPD|5RCR|67VULN|7BPWR|8RMIN|9AART
25	53223 51142	   	195.26	ACR|4VULN|2DMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678aVULN|7BPWR|9CANHEL
26	23266 32632	   	194.92	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1LHND|25DMG|35ZMB|4AART|5BPWR|6RCR|7ERES|8CDMG|9aVULN
27	53223 51131	   	194.91	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9CDMG|aLWND
28	53223 51135	   	194.91	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9CDMG|aFEWX
29	53223 51136	   	194.91	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9CDMG|aBEXP
30	53223 51132	   	194.81	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|678VULN|7BPWR|9CDMG|aDUST
31	23263 53342	   	193.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LHND|27DMG|3ZMB|4AART|5aVULN|6CDMG|8RCR|9ASPD
32	23266 31351	   	193.09	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|8VULN|9FEWX|aCDMG
33	23266 31362	   	193.09	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|8VULN|9LIT|aCDMG
34	23266 31116	   	192.99	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|8CDMG|9ERES|aVULN
35	23266 31341	   	192.99	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG	1LHND|257DMG|35ZMB|4AART|5BPWR|6RCR|8VULN|9MBVNT|aCDMG
36	23266 31322	 * 	192.97	DCR|3DMG|3ZMB|1AART|1VULN	1LHND|257DMG|35aZMB|4AART|5BPWR|6RCR|8VULN|9MLV
37	23266 31353	   	192.97	DCR|3DMG|3ZMB|1AART|1VULN	1LHND|257DMG|35aZMB|4AART|5BPWR|6RCR|8VULN|9FEWX
38	53223 51534	 * 	192.52	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	179DUR|27DMG|3ZMB|4ASPD|5RCR|67VULN|7BPWR|8MBVNT|aAART
39	23266 31225	 * 	190.88	DCR|3DMG|2AART|1VULN|2ZMB	1LHND|257DMG|35ZMB|48AART|5BPWR|6RCR|9BELT|aVULN
40	23266 31243	   	190.88	DCR|3DMG|2AART|1VULN|2ZMB	1LHND|257DMG|35ZMB|48AART|5BPWR|6RCR|9VULN|aLIT
41	23266 31242	   	190.78	DCR|3DMG|2AART|1VULN|2ZMB	1LHND|257DMG|35ZMB|48AART|5BPWR|6RCR|9VULN|aNUKE
42	53223 51223	   	189.41	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|67VULN|7BPWR|8RMIN|9AART|aLHND
43	53223 51224	   	189.41	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|67VULN|7BPWR|8RMIN|9AART|aLWND
44	53223 51222	   	189.31	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|67VULN|7BPWR|8RMIN|9AART|aDUST
45	53223 51226	   	189.31	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	17DUR|27DMG|3ZMB|4ASPD|5RCR|67VULN|7BPWR|8RMIN|9AART|aLEGI
