0	Index      	 *	Score 	Summary	Detail	
1	53111 28712	 * 	199.24	ACR|3VULN|2DMG|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7CDMG|8aDMG|9aBEXP|aBPWR
2	53152 51132	 * 	197.92	ACR|3DMG|2VULN|1AART|2DUR	1RCVC|2RCR|3AART|46aDMG|5RPLT|7aVULN|8aDUR|9DMSP|aBPWR
3	53162 16112	 * 	196.89	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG|1SELL	1RCVC|2RCR|3AART|4aASPD|5aVULN|6SELL|7TLV|8CDMG|9aDMG|aBPWR
4	53162 23343	 * 	194.83	ACR|2AART|2VULN|2DMG|2ASPD	1RCVC|2RCR|39AART|46ASPD|5aVULN|78DMG
5	53442 14544	 * 	192.15	ACR|4VULN|2DMG|3ASPD	1RCVC|2RCR|3MBVNT|469ASPD|579aVULN|89DMG|9BPWR
6	21144 36212	 * 	191.58	DCR|3VULN|2DMG|3ASPD|3DUR	138ASPD|2aDMG|48aDUR|58aVULN|6RCR|79RMIN|8aBPWR
7	21144 36222	   	191.58	DCR|3VULN|2DMG|3ASPD|3DUR	138ASPD|2aDMG|48aDUR|58aVULN|6RCR|7RMIN|8aBPWR|9RCVC
8	51631 64112	 * 	190.27	DCR|4VULN|2DMG|1AART	1RCVC|237aVULN|4MBVNT|5aMLV|6AART|8RCR|9aDMG|aBPWR
9	51634 64112	   	190.07	DCR|4VULN|2DMG|1AART	1RCVC|237aVULN|4MBVNT|5aTLV|6AART|8RCR|9aDMG|aBPWR
10	53161 63212	 * 	189.80	ACR|2VULN|2DMG|1AART|3ASPD	1RCVC|2RCR|3AART|45aASPD|6ERES|7RMIN|8aVULN|9aDMG|aBPWR
11	53162 33343	   	188.22	ACR|2AART|2VULN|2DMG|1ASPD	1RCVC|2RCR|39AART|4ASPD|5aVULN|6DMSP|78DMG
12	53111 24212	   	185.39	ACR|3VULN|2DMG|1AART	18RCVC|2RCR|3AART|4MBVNT|56aVULN|7aTLV|9aDMG|aBPWR
13	53111 84212	   	185.39	ACR|3VULN|2DMG|1AART	18RCVC|2RCR|3AART|4MBVNT|56aVULN|6aBPWR|7aTLV|9aDMG
14	53131 64312	   	183.48	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2RCR|3AART|4aMLV|57ASPD|6aVULN|8aDMG|9NUKE|aBPWR
15	53111 28711	   	183.38	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8aDMG|9BEXP
16	53116 41342	   	183.38	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|5aERES|6CDMG|7aVULN|8aDMG|9RMIN|aBPWR
17	53162 23323	   	183.38	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2RCR|3AART|46ASPD|5aVULN|78DMG|9CGEN
18	53162 23334	   	183.28	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2RCR|3AART|46ASPD|5aVULN|78DMG|9MBVNT
19	53162 23363	   	183.28	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2RCR|3AART|46ASPD|5aVULN|78DMG|9ERES
20	53111 28262	 * 	182.43	ACR|4VULN|1AART|1CDMG|1ASPD	1RCVC|2RCR|3AART|4MBVNT|5689VULN|7CDMG|aASPD
21	14236 52231	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1FEWX|2RCR|3DUST|4CDMG|5AART|69VULN|7aDMG|8RPLT
22	14236 63231	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1FEWX|2RCR|3DUST|4CDMG|5AART|6aDMG|79VULN|8RPLT
23	53153 11132	   	182.02	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1RCVC|2RCR|3AART|4aDMG|5FEWX|6SELL|7aVULN|8aDUR|9DMSP|aBPWR
24	53111 28264	 * 	181.80	ACR|4VULN|1AART|2CDMG	1RCVC|2RCR|3AART|4MBVNT|5689VULN|7aCDMG
25	53111 28253	   	181.45	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3AART|4MBVNT|568VULN|7CDMG|9LWND|aDMG
26	53111 28114	   	181.20	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7CDMG|8SELL|9DMG
27	53111 88114	   	181.20	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1RCVC|2RCR|3AART|4MBVNT|56aVULN|6BPWR|7CDMG|8SELL|9DMG
28	53134 42212	   	181.04	ACR|2VULN|2DMG|1AART|1ZMB	17RCVC|2RCR|3AART|4aMLV|5ZMB|6RMIN|8aVULN|9aDMG|aBPWR
29	53142 21533	 * 	180.24	ACR|2AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR	1RCVC|2RCR|3aAART|4CDMG|5DUR|6TLV|7VULN|8FLTHEA|9DMG
30	21623 42134	 * 	180.06	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2aDMG|38VULN|4AART|5RCVC|6RCR|7BASHEA|9aLIT|aBPWR
31	21623 45312	   	180.06	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|28DMG|3aVULN|4AART|5RCVC|6RCR|7aMLV|9NUKE|aBPWR
32	53155 13122	   	180.03	ACR|3DMG|1AART|1VULN|2DUR	1RCVC|2RCR|3AART|479DMG|578ERES|67DUR|7BPWR|aVULN
33	21623 44323	   	179.96	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|28DMG|3aVULN|4AART|5RCVC|6RCR|9CGEN
34	21623 46113	   	179.96	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|28DMG|3aVULN|4AART|5RCVC|6RCR|7aDUST|9BELT|aBPWR
35	26323 44323	   	179.96	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2aVULN|38DMG|4AART|5RCVC|6RCR|9CGEN
36	21623 44334	   	179.86	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|28DMG|3aVULN|4AART|5RCVC|6RCR|9MBVNT
37	26323 44334	   	179.86	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2aVULN|38DMG|4AART|5RCVC|6RCR|9MBVNT
38	53111 28222	 * 	179.77	ACR|3VULN|2AART|1CDMG|1ASPD	1RCVC|2RCR|39AART|4MBVNT|568VULN|7CDMG|aASPD
39	53111 88222	   	179.77	ACR|3VULN|2AART|1CDMG|1ASPD	1RCVC|2RCR|39AART|4MBVNT|568VULN|6BPWR|7CDMG|aASPD
40	53145 31123	   	179.77	ACR|3VULN|2AART|1CDMG|1ASPD	1RCVC|2RCR|39AART|4CDMG|57aVULN|6ASPD|8ERES
41	52623 63313	   	179.67	DCR|3VULN|2DMG|1AART	15RCVC|2BEXP|36aVULN|4AART|7RCR|89DMG
42	33134 64132	 * 	179.52	DCR|3DMG|2VULN|1AART|1SELL	1SELL|2aFEWX|3DUST|45aDMG|6RCR|7aVULN|8AART|9DMSP|aBPWR
43	53143 21533	 * 	179.45	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCVC|2RCR|3AART|4CDMG|5LHND|6TLV|7aVULN|8FLTHEA|9DMG
44	53131 66332	 * 	179.40	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1SELL	1RCVC|2RCR|3AART|4aMLV|5aASPD|6VULN|7CDMG|8aDMG|9SELL|aBPWR
45	53612 23236	   	179.38	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2RCR|39DMG|4LHND|59VULN|6LWND|7BEXP|89ASPD|9BPWR|aAART
46	21626 23262	 * 	179.28	DCR|2VULN|2DMG|1AART|3ASPD	168ASPD|27DMG|38VULN|4AART|58CGEN|8BPWR|9RCR|aFEWX
