0	Index      	 *	Score 	Summary	Detail	
1	51111 33433	 * 	186.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19DUR|28VULN|39BEXP|4CDMG|5DUST|69DMG|7RCR|9BPWR|aAART
2	11112 32663	 * 	183.09	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|28VULN|3FEWX|4CDMG|5RCR|69DMG|7ZMB|aAART
3	25423 34313	 * 	180.77	ACR|2AART|2DMG|1VULN|1ZMB|1DUR|1ASPD	1LHND|29DMG|3ZMB|48AART|5RCR|6DUR|7ASPD|aVULN
4	51112 32623	   	179.38	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|28VULN|3BEXP|4CDMG|5RCR|6DMG|7ZMB|9ASPD|aAART
5	55131 33316	 * 	179.32	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	13DUR|238DMG|3BPWR|4TLV|5RPLT|6AART|7ZMB|9RCR|aVULN
6	51312 32623	   	179.28	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|28VULN|3DUST|4CDMG|5RCR|6DMG|7ZMB|9ASPD|aAART
7	15423 35211	 * 	176.84	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1BEXP|2DMG|3ZMB|48AART|5RCR|6DUR|7VULN|9ASPD|aCDMG
8	51113 31263	 * 	176.77	DCR|3VULN|2AART|2CDMG|1DUR	1DUR|279VULN|3BEXP|45CDMG|6aAART|8RCR
9	15423 25213	 * 	175.94	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1BEXP|29DMG|3ZMB|4AART|5RCR|67ASPD|8DUR|aVULN
10	11621 33663	 * 	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|29aVULN|3DMSP|4AART|5CGEN|6CDMG|7RCR|8DMG
11	25142 22225	 * 	175.53	DCR|3DMG|2AART|1VULN	13LHND|23aDMG|3BPWR|4RCVC|5RMIN|69AART|7RCR|8VULN
12	35142 22225	   	175.53	DCR|3DMG|2AART|1VULN	13LWND|23aDMG|3BPWR|4RCVC|5RMIN|69AART|7RCR|8VULN
13	13123 46626	 * 	175.15	ACR|3VULN|2AART|1DMG	1BEXP|2RCVC|3MBVNT|49AART|5RCR|678VULN|aDMG
14	23123 46626	   	175.15	ACR|3VULN|2AART|1DMG	1LHND|2RCVC|3MBVNT|49AART|5RCR|678VULN|aDMG
15	15423 34313	   	174.62	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1BEXP|29DMG|3ZMB|4AART|5RCR|68DUR|7ASPD|aVULN
16	55423 23313	   	174.62	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	18DUR|29DMG|3ZMB|4AART|5RCR|6ASPD|7BEXP|aVULN
17	55423 22313	   	174.52	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	18DUR|29DMG|3ZMB|4AART|5RCR|6ASPD|7DUST|aVULN
18	25423 51311	 * 	174.17	ACR|3AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DMG|3ZMB|478AART|5RCR|6VULN|9CDMG|aDUR
19	55112 22236	 * 	173.93	DCR|3DMG|1AART|3DUR|2ZMB	13aDUR|23aDMG|3aBPWR|45RMIN|6AART|7RCR|8RCVC|9aZMB
20	25423 23313	   	173.83	ACR|2AART|2DMG|1VULN|1ZMB|1ASPD	1LHND|29DMG|3ZMB|48AART|5RCR|6ASPD|7BEXP|aVULN
21	25423 24313	   	173.83	ACR|2AART|2DMG|1VULN|1ZMB|1ASPD	1LHND|29DMG|3ZMB|48AART|5RCR|6ASPD|7FEWX|aVULN
22	25423 22313	   	173.73	ACR|2AART|2DMG|1VULN|1ZMB|1ASPD	1LHND|29DMG|3ZMB|48AART|5RCR|6ASPD|7DUST|aVULN
23	25423 51313	 * 	173.54	ACR|3AART|1VULN|2CDMG|1DMG|1ZMB	1LHND|2DMG|3ZMB|478AART|5RCR|6VULN|9aCDMG
24	33161 61214	   	173.42	DCR|2VULN|2DMG|1AART|1ZMB	1aLWND|2RCVC|3MBVNT|4aVULN|5AART|6ZMB|7LIT|8aDMG|9RCR|aBPWR
25	51112 32653	   	172.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|28VULN|39BEXP|4CDMG|5RCR|6DMG|7ZMB|aAART
26	25112 22225	   	172.43	DCR|3DMG|2AART|1VULN	13LHND|23aDMG|3BPWR|45RMIN|69AART|7RCR|8VULN
27	35112 22225	   	172.43	DCR|3DMG|2AART|1VULN	13LWND|23aDMG|3BPWR|45RMIN|69AART|7RCR|8VULN
28	11312 32623	   	172.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|28VULN|3DUST|4CDMG|5RCR|6DMG|7ZMB|9ASPD|aAART
29	11111 33334	 * 	172.23	DCR|3DMG|1AART|1VULN|1CDMG	19BEXP|2VULN|39FEWX|4CDMG|5DUST|689DMG|7RCR|9BPWR|aAART
30	11112 35663	   	172.08	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|28VULN|3FEWX|4CDMG|5RCR|69DMG|7CGEN|aAART
31	61231 53333	 * 	172.05	DCR|3VULN|3CDMG|1AART|2DUR	1RPLT|257CDMG|3BELT|457VULN|57BPWR|6AART|89DUR|aRCR
32	31666 33311	 * 	172.02	DCR|2AART|2VULN|1DMG|1CDMG	1LWND|28VULN|36AART|4TLV|5CDMG|7RCR|9FEWX|aDMG
33	55112 22336	   	172.02	DCR|3DMG|1AART|3DUR|2ZMB	13aDUR|23aDMG|3aBPWR|45RMIN|6AART|7RCR|8DMSP|9aZMB
34	15323 35511	   	171.87	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2DMG|3ERES|4AART|5RCR|6DUR|78VULN|9ASPD|aCDMG
35	25423 51333	 * 	171.17	ACR|3AART|2VULN|1DMG|1ZMB	1LHND|2DMG|3ZMB|478AART|5RCR|6aVULN|9BEXP
36	25423 35211	   	170.68	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1LHND|2DMG|3ZMB|4AART|5RCR|68DUR|7VULN|9ASPD|aCDMG
37	15423 23216	 * 	170.41	ACR|3DMG|1AART|2DUR|1ZMB|1ASPD	17aBEXP|29aDMG|3ZMB|4AART|5RCR|6ASPD|8aDUR|aBPWR
38	11312 14625	 * 	170.25	ACR|3VULN|1AART|1DMG|1CDMG	18BEXP|278VULN|3DUST|4CDMG|5RCR|68MGNSTR|8BPWR|9DMG|aAART
39	55323 35231	   	170.23	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	16DUR|2aDMG|3ERES|4AART|5RCR|7CDMG|8RMIN|9VULN
40	11312 14425	   	170.05	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|278VULN|3DUST|4CDMG|5RCR|6MGNSTR|9DMG|aAART
41	15423 35231	   	169.90	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DMG|3ZMB|48AART|5RCR|6DUR|7VULN|9CGEN|aCDMG
42	31113 31263	   	169.83	DCR|3VULN|2AART|2CDMG	1LWND|279VULN|3BEXP|45CDMG|6aAART|8RCR
43	51113 31211	 * 	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|27VULN|3BEXP|45CDMG|6AART|8RCR|9RMIN|aDMG
44	51113 31241	   	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|27VULN|3BEXP|45CDMG|6AART|8RCR|9LIT|aDMG
45	15323 35216	   	169.67	ACR|2AART|2DMG|1VULN|1DUR|1ASPD	1BEXP|2aDMG|3ERES|48AART|5RCR|6DUR|7VULN|9ASPD
46	51313 31211	   	169.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|27VULN|3DUST|45CDMG|6AART|8RCR|9RMIN|aDMG
47	51313 31241	   	169.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|27VULN|3DUST|45CDMG|6AART|8RCR|9LIT|aDMG
48	51111 33413	   	169.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|28VULN|3BEXP|49CDMG|5DUST|6DMG|7RCR|aAART
49	51113 31231	   	169.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|27VULN|3BEXP|45CDMG|6AART|8RCR|9ERES|aDMG
50	25423 23316	 * 	169.63	ACR|3DMG|2AART|1ZMB|1ASPD	1aLHND|29aDMG|3ZMB|48AART|5RCR|6ASPD|7aBEXP|aBPWR
51	35141 62333	   	169.62	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	13LWND|23DMG|3BPWR|4RCVC|5DMSP|6RCR|7ASPD|8CDMG|9AART|aVULN
52	25423 22316	   	169.43	ACR|3DMG|2AART|1ZMB|1ASPD	1aLHND|29aDMG|3ZMB|48AART|5RCR|6ASPD|7aDUST|aBPWR
53	52421 32243	   	169.40	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|25CGEN|3ZMB|46AART|7RCR|8aVULN|9CDMG
54	52421 32633	   	169.40	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|25CGEN|3ZMB|46AART|7RCR|8CDMG|9aVULN
55	23161 21214	   	169.36	DCR|2VULN|2DMG|1AART|1ASPD	1aLHND|2RCVC|3MBVNT|4aVULN|5AART|6ASPD|7LIT|8aDMG|9RCR|aBPWR
56	33161 21214	   	169.36	DCR|2VULN|2DMG|1AART|1ASPD	1aLWND|2RCVC|3MBVNT|4aVULN|5AART|6ASPD|7LIT|8aDMG|9RCR|aBPWR
57	15423 23213	   	169.33	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	17BEXP|29DMG|3ZMB|4AART|5RCR|6ASPD|8DUR|aVULN
58	13123 46627	 * 	169.19	ACR|4VULN|2AART	1BEXP|2RCVC|3MBVNT|49AART|5RCR|678aVULN
59	23123 46627	   	169.19	ACR|4VULN|2AART	1LHND|2RCVC|3MBVNT|49AART|5RCR|678aVULN
60	55142 22231	   	169.03	DCR|3DMG|1AART|2DUR|1ZMB	13DUR|23aDMG|3BPWR|48RCVC|5RMIN|6AART|7RCR|9ZMB
61	51115 33631	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2VULN|39BEXP|4CDMG|5LWND|69DMG|7RCR|8LEGI|9BPWR|aAART
62	13123 46471	   	168.64	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2RCVC|3MBVNT|4AART|5RCR|67VULN|8DMG|9DUR|aCDMG
63	51315 33631	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2VULN|39DUST|4CDMG|5LWND|69DMG|7RCR|8LEGI|9BPWR|aAART
64	13521 32215	   	168.52	DCR|2AART|2VULN|1DMG|1DUR	13BEXP|2RCVC|46AART|58VULN|7RCR|9DUR|aDMG
65	55131 32316	   	168.31	DCR|3DMG|1AART|1VULN|2DUR	13DUR|238DMG|3BPWR|4TLV|5RPLT|6AART|7MLV|9RCR|aVULN
66	55233 33231	 * 	168.20	DCR|2DMG|2AART|1CDMG|1ZMB|1DUR	1DUR|2aDMG|3FEWX|4MLV|5CDMG|69AART|7RCR|8ZMB
67	31626 21233	 * 	167.97	DCR|4VULN|1AART|1CDMG	1LWND|279aVULN|3AART|4CGEN|5CDMG|6RMIN|8RCR
68	31626 11263	   	167.87	DCR|4VULN|1AART|1CDMG	1LWND|279aVULN|3AART|4CGEN|5CDMG|6TLV|8RCR
69	25423 35231	   	167.68	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LHND|2DMG|3ZMB|4AART|5RCR|68DUR|79VULN|aMLV
70	25423 35233	   	167.68	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1aLHND|2DMG|3ZMB|4AART|5RCR|68DUR|79VULN
71	31666 33332	   	167.61	DCR|3VULN|2AART|1CDMG	1LWND|289VULN|36AART|4TLV|5CDMG|7RCR|aBEXP
72	25423 35232	   	167.58	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LHND|2DMG|3ZMB|4AART|5RCR|68DUR|79VULN|aDUST
73	51613 13363	   	167.57	DCR|3VULN|1AART|1DMG|1DUR|1SELL	1DUR|29aVULN|3DMSP|4SELL|5CGEN|6AART|7RCR|8DMG
74	31666 33333	   	167.51	DCR|3VULN|2AART|1CDMG	1LWND|289VULN|36AART|4TLV|5CDMG|7RCR|aERES
