0	Index      	 *	Score 	Summary	Detail	
1	31412 42123	 * 	193.02	ACR|4VULN|1AART|1CDMG|2DUR|1ZMB	156aVULN|2aDUR|3RCR|4CDMG|7ZMB|8aLIT|9AART|aBPWR
2	31415 24123	 * 	192.98	ACR|4VULN|1AART|3DUR|1CDMG|1ASPD	178aVULN|28aDUR|3RCR|4CDMG|5ASPD|68aLIT|8aBPWR|9AART
3	31412 42331	 * 	190.10	ACR|4VULN|1DMG|2CDMG|1ZMB|1DUR	156aVULN|2DUR|3RCR|49CDMG|7ZMB|8DMG
4	31415 24121	   	188.96	ACR|4VULN|1AART|1CDMG|2DUR|1ASPD	178aVULN|28DUR|3RCR|4CDMG|5ASPD|68LIT|8BPWR|9AART
5	31412 42121	   	187.53	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	156aVULN|2DUR|3RCR|4CDMG|7ZMB|8LIT|9AART
6	31412 42361	   	183.79	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	156aVULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9RPLT
7	36412 42331	   	183.06	ACR|4VULN|1DMG|2CDMG|1ZMB	156aVULN|2DUST|3RCR|49CDMG|7ZMB|8DMG
8	31412 42335	   	182.94	ACR|3VULN|1DMG|2CDMG|1ZMB|1ASPD|1DUR	156VULN|2DUR|3RCR|49CDMG|7ZMB|8DMG|aASPD
9	21413 14252	 * 	181.67	ACR|3VULN|2DMG|1CDMG|2DUR	1LWND|29DUR|3RCR|4CDMG|5LIT|69aVULN|7DUST|89DMG|9BPWR
10	31415 24223	 * 	181.47	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	17aVULN|2aDUR|3RCR|4CDMG|58ASPD|6aLIT|9AART|aBPWR
11	52223 25252	 * 	181.25	DCR|3VULN|2DMG|1CDMG|2DUR	19DUR|2CDMG|39aVULN|4FEWX|5LEGI|6RCR|7LIT|89DMG|9BPWR
12	36412 42123	   	180.59	ACR|4VULN|1AART|1CDMG|1ZMB	156aVULN|2aDUST|3RCR|4CDMG|7ZMB|8aLIT|9AART|aBPWR
13	36412 42121	   	180.49	ACR|4VULN|1AART|1CDMG|1ZMB	156aVULN|2DUST|3RCR|4CDMG|7ZMB|8LIT|9AART
14	31433 24343	 * 	179.95	ACR|3VULN|1AART|3ASPD|3DUR	18aVULN|28aDUR|3RCR|4LHND|5CGEN|6AART|78aASPD|8aBPWR|9RCVC
