0	Index      	 *	Score 	Summary	Detail	
1	62235 31326	 * 	206.32	ACR|5VULN|2DMG|3CDMG	1267aVULN|37aVENICY|4RCR|578CDMG|7aBPWR|9aDMG
2	63325 11352	 * 	202.48	DCR|3DMG|2VULN|1AART|2ZMB|1CDMG	17VULN|2RPLT|3CDMG|47ZMB|567DMG|7BPWR|8AART|9RCR|aRCVC
3	63325 11351	   	201.17	DCR|3DMG|2VULN|1AART|2ZMB|1CDMG	17VULN|2RPLT|3CDMG|47ZMB|567DMG|7BPWR|8AART|9RCR|aLWND
4	63325 11353	   	201.17	DCR|3DMG|2VULN|1AART|2ZMB|1CDMG	17VULN|2RPLT|3CDMG|47ZMB|567DMG|7BPWR|8AART|9RCR|aBELT
5	62234 62314	 * 	194.24	ACR|4VULN|3DMG|1ZMB	1289VULN|3VENICY|4RCR|5MBVNT|689DMG|789CGEN|89BPWR|aZMB
6	62235 31325	   	193.39	ACR|4VULN|2DMG|3CDMG	1267VULN|37VENICY|4RCR|578CDMG|7BPWR|9aDMG
7	62253 33143	 * 	192.82	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1289VULN|3VENICY|4DUR|5ZMB|6RCR|7DMG|aAART
8	22623 42132	   	192.70	DCR|3DMG|2VULN|1AART|2DUR	19BEXP|28VULN|3AART|49DUR|5RMIN|69aDMG|7RCR|9BPWR
9	62223 31265	 * 	192.50	DCR|3VULN|2DMG|1AART|2DUR	129VULN|39VENICY|4CGEN|5aDUR|6RCR|7AART|89DMG|9BPWR
10	22125 11636	 * 	191.92	DCR|3VULN|3DMG|1AART	19aBEXP|29aVULN|3MBVNT|4RMIN|579DMG|6AART|8RCR|9aBPWR
11	22125 11634	   	191.82	DCR|3VULN|3DMG|1AART	19BEXP|29aVULN|3MBVNT|4RMIN|579DMG|6AART|8RCR|9BPWR
12	12125 11634	   	191.62	DCR|3VULN|3DMG|1AART	19DUST|29aVULN|3MBVNT|4RMIN|579DMG|6AART|8RCR|9BPWR
13	12125 11636	   	191.62	DCR|3VULN|3DMG|1AART	19aDUST|29aVULN|3MBVNT|4RMIN|579DMG|6AART|8RCR|9aBPWR
14	62333 11433	   	190.64	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	128VULN|3RPLT|48DMG|5ASPD|6LIT|78DUR|8BPWR|9RCR|aAART
