0	Index      	 *	Score 	Summary	Detail	
1	33173 74821	 * 	180.73	DCR|3VULN|2DMG|2FLTHEA|1ZMB	1RCVC|2MBVNT|38DMG|478VULN|5BELT|68FLTHEA|8BPWR|9ZMB|aRCR
2	33125 84622	 * 	179.50	DCR|3VULN|3DMG|1ZMB|2RCVC	14RCVC|2MBVNT|368DMG|568VULN|68BPWR|78LIT|9ZMB|aRCR
3	26131 23143	 * 	178.74	ACR|4VULN|2DMG|1CDMG	19MLV|2DUST|3BELT|4689VULN|5RCR|79DMG|9BPWR|aCDMG
4	66131 23143	   	178.54	ACR|4VULN|2DMG|1CDMG	19TLV|2DUST|3BELT|4689VULN|5RCR|79DMG|9BPWR|aCDMG
5	24153 13631	 * 	177.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MLV|25VULN|3FEWX|4AART|6DUR|7aDMG|8ZMB|9RCR
6	33145 84622	   	176.53	DCR|3VULN|3DMG|1ZMB	1RCVC|2MBVNT|368DMG|4DMSP|568VULN|68BPWR|78LIT|9ZMB|aRCR
7	33177 81134	 * 	174.32	DCR|3DMG|2VULN|1FLTHEA|1ZMB	1RCVC|2MBVNT|356DMG|46VULN|6BPWR|7ZMB|8FLTHEA|9BEXP|aRCR
8	33132 88422	 * 	174.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2MBVNT|3DMG|4CANHEL|5AART|6ZMB|7RCR|8aVULN|9CDMG
9	21343 22163	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	1MLV|2aERES|3AART|4DUR|5FEWX|6RCR|7aVULN|8LWND|9aDMG|aBPWR
10	21343 22463	   	173.85	DCR|2VULN|2DMG|1AART|1DUR	1MLV|2aERES|3AART|4DUR|5FEWX|6RCR|7aVULN|8DUST|9aDMG|aBPWR
11	61343 22163	   	173.85	DCR|2VULN|2DMG|1AART|1DUR	1TLV|2aERES|3AART|4DUR|5FEWX|6RCR|7aVULN|8LWND|9aDMG|aBPWR
12	15611 11121	   	173.83	ACR|3VULN|2DMG|1ZMB|1ASPD	1aLSRICY|2BELT|3RCR|4ASPD|58aVULN|6ZMB|7LWND|9aDMG|aBPWR
13	15611 11361	 * 	173.83	ACR|3DMG|2VULN|1ZMB|1ASPD	1aLSRICY|2BELT|3RCR|4ASPD|5aVULN|6ZMB|7LWND|89aDMG|aBPWR
14	33177 17422	 * 	172.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2MBVNT|35DMG|4VULN|6CDMG|7AART|8ZMB|9DUR|aRCR
15	26131 23141	   	172.02	ACR|4VULN|2DMG|1DUR	19MLV|2DUST|3BELT|4689VULN|5RCR|79DMG|9BPWR|aDUR
16	33125 83415	   	171.93	DCR|2VULN|2DMG|1AART|2RCVC|1ASPD	14RCVC|2MBVNT|36DMG|56VULN|6BPWR|7FEWX|8RCR|9ASPD|aAART
17	66131 23141	   	171.82	ACR|4VULN|2DMG|1DUR	19TLV|2DUST|3BELT|4689VULN|5RCR|79DMG|9BPWR|aDUR
18	41121 21134	   	171.67	ACR|3VULN|2DMG|1CDMG|1ASPD	19LWND|2ASPD|3BELT|469VULN|5RCR|7RPLT|89DMG|9BPWR|aCDMG
19	33125 83442	 * 	171.54	DCR|4VULN|2DMG|2RCVC	14RCVC|2MBVNT|36DMG|569aVULN|6BPWR|7FEWX|8RCR
20	33446 21733	 * 	171.43	ACR|2VULN|2DMG|3DUR|1CDMG	1RCVC|2MBVNT|368DUR|4RCR|58DMG|78VULN|8BPWR|9BEXP|aCDMG
21	33446 21746	   	171.43	ACR|2VULN|2DMG|3DUR|1CDMG	1RCVC|2MBVNT|368DUR|4RCR|58DMG|78VULN|8BPWR|9RMIN|aCDMG
22	33446 21728	   	171.33	ACR|2VULN|2DMG|3DUR|1CDMG	1RCVC|2MBVNT|368DUR|4RCR|58DMG|78VULN|8BPWR|9DUST|aCDMG
23	33131 36348	   	171.16	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2MBVNT|39DMG|49CANHEL|5DUR|6AIRHEL|7RCR|89VULN|9BPWR|aAART
24	33166 31131	 * 	171.12	DCR|3DMG|1AART|1VULN|2DUR	1RCVC|2MBVNT|35aDMG|45DUR|5BPWR|6LHND|7VULN|8AART|9RCR
25	33166 61131	   	171.12	DCR|3DMG|1AART|1VULN|2DUR	1RCVC|2MBVNT|35aDMG|45DUR|5BPWR|6LWND|7VULN|8AART|9RCR
