0	Index      	 *	Score 	Summary	Detail	
1	44324 13121	 * 	195.38	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1FLTHEA|1ZMB	1AART|2ZMB|3DMSP|46ASPD|56DMG|6BPWR|7FLTHEA|8CDMG|9RCR|aVULN
2	43324 11522	 * 	195.29	DCR|3DMG|2AART|3ASPD|1VULN	13AART|2CGEN|46aASPD|568DMG|6BPWR|7RCR|9VULN
3	15225 22633	 * 	191.32	DCR|3DMG|2VULN|1AART|1CDMG	1RCVC|258DMG|3CDMG|4aVULN|6AART|7RPLT|9RCR
4	43324 11521	   	188.98	DCR|3DMG|2AART|1VULN|2ASPD	13AART|2CGEN|46ASPD|568DMG|6BPWR|7RCR|9VULN|aBELT
5	43324 11523	   	188.98	DCR|3DMG|2AART|1VULN|2ASPD	13AART|2CGEN|46ASPD|568DMG|6BPWR|7RCR|9VULN|aMLV
6	43324 11533	   	188.88	DCR|3DMG|2AART|1VULN|2ASPD	13AART|2CGEN|46ASPD|568DMG|6BPWR|7RCR|9MBVNT|aVULN
7	15236 36232	 * 	187.12	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1RCVC|29DMG|39CDMG|4DUR|5AART|6MBVNT|7ERES|89VULN|9BPWR|aRCR
8	43324 11142	 * 	186.97	DCR|2AART|2DMG|1VULN|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8FEWX|9CDMG|aVULN
9	15225 25322	   	180.47	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|25DMG|3CDMG|4aVULN|6AART|7RCR|8BELT|9RPLT
10	15132 21562	 * 	180.43	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1RCVC|29DMG|3LWND|49ZMB|59VULN|6SELL|7RCR|8AART|9BPWR|aRMIN
11	15132 21563	 * 	180.43	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1RCVC|29DMG|3LWND|49ZMB|59VULN|6SELL|7RCR|8AART|9BPWR|aFEWX
12	15332 21562	 * 	180.43	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1RCVC|29DMG|3LHND|49ZMB|59VULN|6SELL|7RCR|8AART|9BPWR|aRMIN
13	15332 21563	 * 	180.43	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1RCVC|29DMG|3LHND|49ZMB|59VULN|6SELL|7RCR|8AART|9BPWR|aFEWX
14	15132 21561	 * 	180.33	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1RCVC|29DMG|3LWND|49ZMB|59VULN|6SELL|7RCR|8AART|9BPWR|aBASICY
