0	Index      	 *	Score 	Summary	Detail	
1	22611 21515	 * 	216.94	DCR|5VULN|3DMG|3ZMB	138DMG|258ZMB|45678VULN|58BPWR|9CGEN|aRCR
2	22211 61463	 * 	209.96	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9DUR|aAART
3	23611 21515	 * 	208.41	DCR|5VULN|3DMG|3ASPD	138DMG|258ASPD|45678VULN|58BPWR|9CGEN|aRCR
4	22211 61422	   	204.92	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9AART|aRCVC
5	22211 61431	 * 	203.92	DCR|3VULN|2DMG|3ZMB|2CDMG	1aDMG|235ZMB|457VULN|5aBPWR|6RCR|8aCDMG|9aCGEN
6	22211 61411	   	203.72	DCR|3VULN|2DMG|3ZMB|2CDMG	1aDMG|235ZMB|457VULN|5aBPWR|6RCR|8aCDMG|9aERES
7	22211 61421	   	203.62	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9AART|aLHND
8	22211 61423	   	203.62	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9AART|aBEXP
9	22211 61425	   	203.62	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9AART|aRPLT
10	22211 61426	   	203.62	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9AART|aLWND
11	22211 61424	   	203.52	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8CDMG|9AART|aBASICY
12	23616 61322	 * 	200.96	DCR|3DMG|2VULN|1AART|1CDMG	135DMG|2ASPD|47VULN|6RCR|8CDMG|9AART|aRCVC
13	23616 61321	   	199.66	DCR|3DMG|2VULN|1AART|1CDMG	135DMG|2ASPD|47VULN|6RCR|8CDMG|9AART|aLHND
14	23616 61323	   	199.66	DCR|3DMG|2VULN|1AART|1CDMG	135DMG|2ASPD|47VULN|6RCR|8CDMG|9AART|aBEXP
15	22211 61331	   	197.81	DCR|4VULN|2DMG|3ZMB|1SELL	1aDMG|235ZMB|457aVULN|5aBPWR|6RCR|8SELL|9aCGEN
16	22211 61631	   	197.81	DCR|4VULN|2DMG|3ZMB|1SELL	1aDMG|235ZMB|457aVULN|5aBPWR|6RCR|8aCGEN|9SELL
17	22211 61311	   	197.61	DCR|4VULN|2DMG|3ZMB|1SELL	1aDMG|235ZMB|457aVULN|5aBPWR|6RCR|8SELL|9aERES
18	22211 61363	   	196.06	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9DUR|aAART
19	23226 21356	   	193.91	DCR|3DMG|2VULN|1AART|1ZMB	159DMG|2ASPD|3ZMB|4ERES|68VULN|7RCR|aAART
20	22211 66133	 * 	191.30	DCR|2VULN|2DMG|3ZMB|1AART	19DMG|235ZMB|45VULN|5BPWR|6RCR|7RPLT|8DMSP|aAART
21	22211 61322	   	191.03	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9AART|aRCVC
22	22211 61163	   	190.97	DCR|3VULN|3ZMB|1AART|1DMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8LIT|9RCVC|aAART
23	22211 61252	   	190.69	DCR|3VULN|2DMG|3ZMB	1aDMG|235ZMB|457VULN|5BPWR|6RCR|8BEXP|9DUR
24	22211 61552	   	190.59	DCR|3VULN|2DMG|3ZMB	1aDMG|235ZMB|457VULN|5BPWR|6RCR|8DUST|9DUR
25	22211 63213	   	189.97	DCR|3VULN|3ZMB|1AART|1DMG	1DMG|235ZMB|45aVULN|5BPWR|6RCR|7CGEN|8FEWX|9AART
26	22211 63313	   	189.87	DCR|3VULN|3ZMB|1AART|1DMG	1DMG|235ZMB|45aVULN|5BPWR|6RCR|7CGEN|8DUST|9AART
27	22211 64213	   	189.87	DCR|3VULN|3ZMB|1AART|1DMG	1DMG|235ZMB|45aVULN|5BPWR|6RCR|7ERES|8FEWX|9AART
28	22211 64313	   	189.77	DCR|3VULN|3ZMB|1AART|1DMG	1DMG|235ZMB|45aVULN|5BPWR|6RCR|7ERES|8DUST|9AART
29	22211 61321	   	189.72	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9AART|aLHND
30	22211 61323	   	189.72	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9AART|aBEXP
31	22211 61325	   	189.72	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9AART|aRPLT
32	22211 61326	   	189.72	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9AART|aLWND
