0	Index      	 *	Score 	Summary	Detail	
1	46213 31522	 * 	196.34	ACR|3VULN|2DMG|1AART|2ZMB	19LHND|2AART|39DMG|4RCR|57ZMB|6LIT|89aVULN|9BPWR
2	35115 12224	 * 	193.42	DCR|3DMG|2VULN|1AART|2ASPD	1aASPD|2CGEN|35aDMG|4RMIN|6RCR|7aVULN|8AART|9RPLT|aBPWR
3	11232 66115	 * 	192.12	DCR|3VULN|2DMG|1AART|2ASPD	1RCVC|2aDMG|3aASPD|4FEWX|5DUST|6AART|7RCR|89aVULN|aBPWR
4	46213 62132	 * 	190.20	ACR|3VULN|2AART|1DMG|2ZMB	1aLHND|27AART|3DMG|4RCR|5aZMB|68aVULN|9BELT|aBPWR
5	35114 32224	 * 	189.04	ACR|3DMG|2VULN|1AART|2ASPD	1aASPD|2CGEN|36aDMG|4RMIN|5RCR|7aVULN|8AART|9RPLT|aBPWR
6	46213 22162	 * 	188.28	ACR|2AART|2DMG|2VULN|1ZMB	19LHND|27AART|39DMG|4RCR|5ZMB|6LWND|89VULN|9BPWR|aRPLT
7	46213 22163	   	188.28	ACR|2AART|2DMG|2VULN|1ZMB	19LHND|27AART|39DMG|4RCR|5ZMB|6LWND|89VULN|9BPWR|aFEWX
8	46213 22161	   	188.18	ACR|2AART|2DMG|2VULN|1ZMB	19LHND|27AART|39DMG|4RCR|5ZMB|6LWND|89VULN|9BPWR|aLEGI
9	64153 21112	   	187.21	DCR|3VULN|2DMG|1AART|1DUR	1CGEN|28aVULN|3BEXP|45DMG|6RCR|7AART|9DUR
10	11354 31215	   	186.99	ACR|3VULN|2DMG|1AART|1ZMB	1RCVC|2aDMG|39aVULN|4ZMB|5RCR|6DUST|7AART|8aBEXP|aBPWR
11	11235 13365	   	185.63	DCR|3DMG|1AART|1VULN|2ASPD|1ZMB	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8VULN|9ZMB|aAART
12	11216 52224	   	184.39	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1RCVC|2aDMG|3aASPD|4CGEN|5RCR|6ZMB|7aVULN|8AART|9RPLT|aBPWR
13	46213 62131	 * 	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LHND|27AART|3DMG|4RCR|5ZMB|68VULN|9BELT|aCDMG
14	34523 31523	 * 	184.07	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	18ASPD|278VULN|36DMG|4ZMB|58LHND|8BPWR|9CDMG|aRCR
15	11225 13512	   	182.77	DCR|3DMG|1AART|1VULN|2ASPD|1DUR	1RCVC|257DMG|37ASPD|47LWND|6RCR|7BPWR|8AART|9VULN|aDUR
16	11235 13511	   	182.77	DCR|3DMG|1AART|1VULN|2ASPD|1DUR	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8AART|9VULN|aDUR
17	46213 62112	   	182.73	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	1LHND|27AART|3DMG|4RCR|5ZMB|68VULN|9aDUR
18	46211 12112	   	182.73	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	1LHND|27AART|3DMG|4RCR|5aDUR|6ZMB|89VULN
19	11313 21412	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2aDMG|39VULN|4RMIN|5DUR|6RCR|7AART|8ZMB
