0	Index      	 *	Score 	Summary	Detail	
1	31536 63232	 * 	192.70	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCVC|2ZMB|3VULN|48aDMG|5RCR|6CDMG|7ASPD|9AART
2	11224 13528	 * 	191.56	DCR|2VULN|3ZMB|1AART|1DMG|1CDMG	1aCGEN|25aZMB|3AART|4CDMG|6RCR|7DMG|8MBVNT|9aVULN|aBPWR
3	34235 42123	 * 	185.35	DCR|3DMG|2VULN|1CDMG|2DUR	1RCVC|29VULN|39DUR|4MLV|5CDMG|6RCR|79aDMG|8RMIN|9BPWR
4	34215 42123	   	185.25	DCR|3DMG|2VULN|1CDMG|2DUR	1RCVC|29VULN|39DUR|4ERES|5CDMG|6RCR|79aDMG|8RMIN|9BPWR
5	31532 41121	 * 	183.36	DCR|3VULN|3DMG|1ZMB|1DUR	1RCVC|2ZMB|356VULN|469DMG|6BPWR|7LIT|8DUR|aRCR
6	31536 63132	 * 	183.35	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	1RCVC|2ZMB|3VULN|4aDMG|5RCR|68CDMG|7ASPD|9AART
7	51532 41121	 * 	183.21	DCR|3VULN|3DMG|2ZMB|1DUR	12ZMB|356VULN|469DMG|6BPWR|7LIT|8DUR|aRCR
8	53532 41121	   	183.06	DCR|3VULN|3DMG|1ZMB|1DUR	1ZMB|2RCVC|356VULN|469DMG|6BPWR|7LIT|8DUR|aRCR
9	61431 21523	   	181.19	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1VENICY|2CDMG|3AART|4ASPD|5RCR|68aDMG|7VULN|9RMIN
10	61431 21533	   	181.19	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1VENICY|2CDMG|3AART|4ASPD|5RCR|68aDMG|7VULN|9CGEN
11	51533 32325	 * 	180.41	DCR|2DMG|3ZMB|1VULN|2CDMG|2DUR	129ZMB|3VULN|49DMG|5CGEN|6aDUR|7RCR|89CDMG|9BPWR
