0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12317 67412	1	 * 	293.61	橙4易伤3伤害2等级	156a易伤2赏金邻近35a伤害4加一5a序列升级7核8a等级9平台
2	12135 32122	10	   	292.91	橙4易伤2等级2伤害2雷电	128a易伤39雷电4a伤害5额外掉落6a等级7核a序列升级
3	12642 22711	10	 * 	291.20	橙4易伤2等级2时间1伤害	129a易伤3伤害4加一5a时间6立即金币7核8a等级a序列升级
4	12642 42711	10	   	291.20	橙4易伤2等级2时间1伤害	129a易伤3伤害4加一5a时间6双倍矿7核8a等级a序列升级
5	12643 32711	10	   	291.20	橙4易伤2等级2时间1伤害	129a易伤3伤害4加一5双倍矿6a时间7核8a等级a序列升级
6	11413 22483	1	 * 	287.65	橙3易伤3伤害3时间2攻速	16a易伤2a攻速35a时间469伤害6a序列升级7核8加一
7	14113 22483	1	   	287.65	橙3易伤3伤害3时间2攻速	16a易伤25a时间3a攻速469伤害6a序列升级7核8加一
8	12135 32162	10	   	286.36	橙4易伤2等级2伤害	128a易伤3雷电4a伤害5额外掉落6a等级7核9双倍矿a序列升级
9	12212 82883	10	   	283.70	橙3易伤2等级2时间1伤害1暴击	127易伤3掉矿4加一57时间67等级7序列升级8伤害9暴击a核
10	12517 32811	10	 * 	281.91	橙5易伤2伤害2时间	1259a易伤3矿等4加一6a时间7核8a伤害a序列升级
11	12212 82661	9	   	280.70	橙4易伤2等级2时间1全技能	1278易伤3掉矿4加一57时间67等级7序列升级9全技能a核
12	12615 22161	10	 * 	279.43	橙4易伤3伤害2时间	1258易伤358伤害4平台58序列升级68时间79立即金币a核
13	12614 22141	10	   	279.33	橙4易伤3伤害2时间	1289易伤368伤害4平台58时间7立即金币8序列升级a核
14	12661 23141	10	   	279.33	橙4易伤3伤害2时间	1289易伤378伤害4立即金币5平台68时间8序列升级a核
15	12265 21252	7	 * 	278.51	橙5易伤2等级3雷电	12459易伤3掉矿69等级79a雷电8核9序列升级
16	12266 11252	5	   	278.51	橙5易伤2等级3雷电	12479易伤3掉矿59等级69a雷电8核9序列升级
17	12266 31252	6	   	278.51	橙5易伤2等级3雷电	12479易伤3掉矿59等级69a雷电8核9序列升级
18	12223 32348	2	   	278.05	橙4易伤2等级2伤害	125a易伤3平台45伤害5a序列升级6a敌人爆炸7加一8a等级9核
19	12613 32348	4	   	278.05	橙4易伤2等级2伤害	125a易伤35伤害4平台5a序列升级6a敌人爆炸7加一8a等级9核
20	12615 32348	5	   	278.05	橙4易伤2等级2伤害	125a易伤35伤害4平台5a序列升级6a敌人爆炸7加一8a等级9核
21	12317 67432	1	   	277.95	橙4易伤2等级2伤害	156a易伤2赏金邻近35伤害4加一5a序列升级7核8a等级9a最后敌人
22	12513 24771	10	   	277.95	橙4易伤2等级2伤害	128a易伤3矿等4加一5双倍矿68等级78伤害8序列升级9核
23	14313 22473	1	 * 	277.91	橙3易伤3时间1等级1伤害1暴击	136易伤256时间4加一6序列升级7暴击8伤害9等级a核
24	12511 42252	2	   	277.88	橙5易伤2时间1伤害1暴击	12345易伤4序列升级6伤害7核89时间a暴击
25	12141 21325	6	 * 	276.74	橙4易伤3时间3雷电2全技能	129a易伤39a雷电49a时间5立即金币6核78全技能9a序列升级
26	12163 21325	6	   	276.74	橙4易伤3时间3雷电2全技能	129a易伤39a雷电4立即金币59a时间6核78全技能9a序列升级
27	12511 42231	2	   	275.54	橙5易伤2伤害1时间	12345易伤4序列升级6a伤害7核8时间9攻速
28	12615 32121	8	 * 	275.24	橙5易伤3伤害	12568易伤358伤害4平台58序列升级78最后敌人9雷电a核
29	12615 34121	8	   	275.24	橙5易伤3伤害	12568易伤358伤害4平台58序列升级78基地爆炸9雷电a核
30	12615 35121	8	   	275.24	橙5易伤3伤害	12568易伤358伤害4平台58序列升级78低血量敌人9雷电a核
31	12615 33121	8	   	275.04	橙5易伤3伤害	12568易伤358伤害4平台58序列升级78挖尘9雷电a核
32	12615 16233	6	   	274.59	橙4易伤3伤害1等级	125a易伤357伤害4平台5序列升级6等级8额外掉落9核
33	12265 21251	7	   	273.50	橙5易伤2等级2雷电	12459易伤3掉矿69等级79雷电8核9序列升级a最后敌人
34	12266 11251	5	   	273.50	橙5易伤2等级2雷电	12479易伤3掉矿59等级69雷电8核9序列升级a最后敌人
