0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33142 32463	6	 * 	297.70	橙3易伤3伤害3时间1等级	178伤害2最后敌人348时间58a易伤6核8序列升级9等级
2	34213 42613	7	   	295.01	橙3易伤3伤害3时间1暴击	19a伤害2随机矿39a易伤4全技能5敌人爆炸6暴击7核89a时间9a序列升级
3	34313 42613	7	   	295.01	橙3易伤3伤害3时间1暴击	19a伤害2随机矿3全技能49a易伤5敌人爆炸6暴击7核89a时间9a序列升级
4	33142 33432	7	 * 	292.55	橙4易伤3伤害3时间	189伤害2最后敌人348时间578a易伤6核8序列升级
5	33142 33436	7	   	285.15	橙3易伤3伤害3时间1暴击	189伤害2最后敌人348时间578易伤6核8序列升级a暴击
6	33142 32413	6	   	279.81	橙3易伤3伤害3时间	178伤害2最后敌人348时间58a易伤6核8序列升级9攻速
7	33142 33462	7	   	276.90	橙4易伤3时间2伤害	18伤害2最后敌人348时间578a易伤6核8序列升级9双倍矿
8	43142 33432	7	   	276.90	橙4易伤3时间2伤害	18最后敌人29伤害348时间578a易伤6核8序列升级
9	33133 31445	7	   	276.40	橙2易伤3伤害2时间1等级	158伤害2最后敌人38时间4攻速6等级78易伤8序列升级9雷电a核
10	33142 32461	6	   	273.01	橙2易伤3伤害3时间1等级	178伤害2a最后敌人348时间58易伤6核8序列升级9等级
11	33142 32462	6	   	273.01	橙2易伤3伤害3时间1等级	178伤害2最后敌人348时间58易伤6核8序列升级9等级a低血量敌人
12	33142 32433	6	   	271.50	橙3易伤3伤害3时间	178伤害2最后敌人348时间58a易伤6核8序列升级9策反
13	33142 33416	7	   	271.50	橙3易伤3伤害3时间	18a伤害2最后敌人348时间578易伤6核8序列升级9低血量敌人
14	33142 33426	7	   	271.50	橙3易伤3伤害3时间	18a伤害2最后敌人348时间578易伤6核8序列升级9基地爆炸
15	33142 33433	7	   	271.50	橙3易伤3伤害3时间	189伤害2最后敌人348时间578易伤6核8序列升级a金币生成
16	33142 35432	6	   	271.50	橙3易伤3伤害3时间	189伤害27最后敌人348时间58a易伤6核8序列升级
17	43142 32432	6	   	271.50	橙3易伤3伤害3时间	18最后敌人279伤害348时间58a易伤6核8序列升级
18	33142 33434	7	   	271.40	橙3易伤3伤害3时间	189伤害2最后敌人348时间578易伤6核8序列升级a挖尘
19	33142 33412	7	   	269.50	橙3易伤3时间2伤害1暴击	18伤害2最后敌人348时间578易伤6核8序列升级9低血量敌人a暴击
20	33142 33441	7	   	269.50	橙3易伤3时间2伤害1暴击	18伤害2最后敌人348时间578易伤6核8序列升级9平台a暴击
21	13244 24331	1	 * 	268.05	橙3易伤2等级2时间	1随机矿2全技能3赏金塔47时间579易伤67等级7序列升级8核a雷电
