0	Index      	 *	Score 	Summary	Detail	
1	24315 51213	 * 	299.14	橙橙3易伤2矿等1伤害	12a易伤38矿等4激光对愈5基地爆炸69核7伤害
2	33351 51413	 * 	297.35	橙橙3易伤1等级1伤害	1金币生成2电塔对甲38a易伤4技能点5等级69核7伤害
3	61413 41213	 * 	284.17	紫橙3易伤2伤害1矿等1时间	19核2时间36a易伤4基础对冰57伤害8矿等
4	63612 14213	 * 	278.87	紫橙3易伤2矿等1伤害1时间	19核28矿等3伤害46a易伤5散射对绿7时间
5	63613 14213	   	278.87	紫橙3易伤2矿等1伤害1时间	19核28矿等3伤害46a易伤5导弹对绿7时间
6	24315 51211	   	277.00	橙橙2易伤2矿等1伤害	12易伤38矿等4激光对愈5基地爆炸69核7伤害a随机技能
7	24315 51212	   	276.90	橙橙2易伤2矿等1伤害	12易伤38矿等4激光对愈5基地爆炸69核7伤害a火球减费
8	33351 51313	   	275.21	橙橙2易伤1等级1伤害	18金币生成2电塔对甲3a易伤4技能点5等级69核7伤害
9	33351 51411	   	275.21	橙橙2易伤1等级1伤害	1金币生成2电塔对甲38易伤4技能点5等级69核7伤害a随机技能
10	33351 51412	   	275.11	橙橙2易伤1等级1伤害	1金币生成2电塔对甲38易伤4技能点5等级69核7伤害a暴雪减费
11	63612 13313	 * 	272.09	紫橙4易伤1伤害1矿等	19核2矿等3伤害467a易伤5散射对绿8低血量敌人
12	63612 13413	   	272.09	紫橙4易伤1伤害1矿等	19核2矿等3伤害467a易伤5散射对绿8最后敌人
13	63613 13313	   	272.09	紫橙4易伤1伤害1矿等	19核2矿等3伤害467a易伤5导弹对绿8低血量敌人
14	63613 13413	   	272.09	紫橙4易伤1伤害1矿等	19核2矿等3伤害467a易伤5导弹对绿8最后敌人
15	64512 13313	   	272.09	紫橙4易伤1伤害1矿等	19核2伤害3矿等467a易伤5散射对绿8低血量敌人
16	64513 13313	   	272.09	紫橙4易伤1伤害1矿等	19核2伤害3矿等467a易伤5导弹对绿8低血量敌人
17	63612 13213	   	271.99	紫橙4易伤1伤害1矿等	19核2矿等3伤害467a易伤5散射对绿8挖尘
18	63613 13213	   	271.99	紫橙4易伤1伤害1矿等	19核2矿等3伤害467a易伤5导弹对绿8挖尘
19	64512 13213	   	271.99	紫橙4易伤1伤害1矿等	19核2伤害3矿等467a易伤5散射对绿8挖尘
20	64513 13213	   	271.99	紫橙4易伤1伤害1矿等	19核2伤害3矿等467a易伤5导弹对绿8挖尘
21	23115 51413	   	271.04	橙橙3易伤1伤害	18a易伤2技能点3烈焰减费4激光对愈5基地爆炸69核7伤害
22	21621 65213	   	270.59	橙橙2易伤2矿等1时间1技能	1a易伤2时间38矿等4立即金币5技能69核7喷火对黄
23	61252 12413	 * 	269.57	紫橙3易伤2时间1等级1技能	19核27时间3等级4技能5加农对甲68a易伤
24	61253 12413	   	269.57	紫橙3易伤2时间1等级1技能	19核27时间3等级4技能5机枪对头目68a易伤
25	63612 62213	 * 	269.28	紫橙2易伤2矿等1等级1伤害	19核28矿等3伤害4a易伤5散射对绿6等级7随机矿
26	63613 62213	   	269.28	紫橙2易伤2矿等1等级1伤害	19核28矿等3伤害4a易伤5导弹对绿6等级7随机矿
27	63662 12213	 * 	269.18	紫橙2易伤2矿等2时间1伤害	19核28矿等3伤害47时间5加农对甲6a易伤
28	63663 12213	   	269.18	紫橙2易伤2矿等2时间1伤害	19核28矿等3伤害47时间5机枪对头目6a易伤
