0	Index      	 *	Score 	Summary	Detail	
1	14135 15211	 * 	258.19	橙橙1易伤2时间1矿等1暴击	1矿等2金币生成3风暴减费45时间6低血量敌人7a核8暴击9易伤
2	14223 65211	 * 	258.19	橙橙1易伤1等级1矿等1暴击	1矿等2金币生成3掉矿4最后敌人5毒气减费6等级7a核8暴击9易伤
3	32322 71255	 * 	258.09	橙橙2易伤1矿等1时间	1挖尘2基地爆炸3加一4时间59易伤6矿等7爆破对冰8a核
4	13231 52313	 * 	252.15	橙橙1易伤1伤害1矿等1时间	1矿等2随机技能3掉矿4伤害5头目6a核7时间8易伤9基地爆炸
5	13231 52333	   	252.15	橙橙1易伤1伤害1矿等1时间	1矿等2随机技能3掉矿4伤害5头目6a核7时间8易伤9最后敌人
6	13231 52363	   	252.15	橙橙1易伤1伤害1矿等1时间	1矿等2随机技能3掉矿4伤害5头目6a核7时间8易伤9低血量敌人
7	13236 52313	   	252.15	橙橙1易伤1伤害1矿等1时间	1矿等2随机技能3掉矿4伤害5雷电6a核7时间8易伤9基地爆炸
8	13236 52333	   	252.15	橙橙1易伤1伤害1矿等1时间	1矿等2随机技能3掉矿4伤害5雷电6a核7时间8易伤9最后敌人
9	13236 52363	   	252.15	橙橙1易伤1伤害1矿等1时间	1矿等2随机技能3掉矿4伤害5雷电6a核7时间8易伤9低血量敌人
10	13151 55313	   	251.68	橙橙1易伤1等级1矿等	1矿等2随机技能3等级4攻速5头目6a核7基地爆炸8易伤9敌人爆炸
11	13151 55333	   	251.68	橙橙1易伤1等级1矿等	1矿等2随机技能3等级4攻速5头目6a核7基地爆炸8易伤9最后敌人
12	63211 52313	   	249.63	橙橙1易伤1等级1时间	1攻速2随机技能3掉矿4等级5头目6a核7时间8易伤9基地爆炸
13	63211 52333	   	249.63	橙橙1易伤1等级1时间	1攻速2随机技能3掉矿4等级5头目6a核7时间8易伤9最后敌人
14	63211 52363	   	249.63	橙橙1易伤1等级1时间	1攻速2随机技能3掉矿4等级5头目6a核7时间8易伤9低血量敌人
15	63216 52313	   	249.63	橙橙1易伤1等级1时间	1攻速2随机技能3掉矿4等级5雷电6a核7时间8易伤9基地爆炸
16	63216 52333	   	249.63	橙橙1易伤1等级1时间	1攻速2随机技能3掉矿4等级5雷电6a核7时间8易伤9最后敌人
17	14132 35211	   	245.74	橙橙1易伤1矿等1时间1暴击	1矿等2金币生成3风暴减费4时间56低血量敌人7a核8暴击9易伤
18	23364 43648	   	244.64	橙橙2易伤1矿等	1最后敌人2立即金币3加一4随机技能57易伤6低血量敌人89核a矿等
19	14344 64512	   	244.64	橙橙1易伤1等级1矿等	1矿等2金币生成3加一4雷电5易伤69核7基地爆炸8低血量敌人a等级
20	32362 16345	   	244.44	橙橙2易伤1矿等	1挖尘2基地爆炸3加一4基础对甲5矿等6敌人爆炸7a核89易伤
21	33322 16444	   	244.44	橙橙1易伤1等级1矿等	15挖尘2立即金币3加一4等级6随机技能79核8易伤a矿等
22	32322 71215	   	244.34	橙橙1易伤2时间1矿等	1挖尘2基地爆炸3加一49时间5易伤6矿等7爆破对冰8a核
23	12134 64313	 * 	244.26	橙2易伤2矿等2时间1等级2暴击1技能	17矿等2技能3暴雪减费47时间57暴击6核7序列升级89易伤a等级
24	14151 15211	 * 	244.18	橙橙1易伤2矿等1暴击	15矿等2金币生成34风暴减费6挖青7a核8暴击9易伤
