0	Index      	 *	Score 	Summary	Detail	
1	41251 51313	 * 	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1BBNT|2DMG|3RPLT|4VULN|5MLV|6aRCR|7AME|8MBVNT|9BELT
2	41631 53442	 * 	262.90	ACR|DCR|3VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|56RCR|7LHND|89aVULN
3	41224 53222	   	255.22	DCR|DCR|1VULN|1DMG|2RPLT|1SELL	1BBNT|2DMG|37RPLT|4CGEN|5FEWX|6aRCR|8VULN|9SELL
4	41234 53222	   	255.22	DCR|DCR|1VULN|1DMG|2RPLT|1SELL	1BBNT|2DMG|37RPLT|4TLV|5FEWX|6aRCR|8VULN|9SELL
5	64131 52311	 * 	253.06	ACR|DCR|1VULN|2MLV|1DMG	18RCR|2DUST|3DMG|4AAC|59MLV|6TLV|7DUR|aVULN
6	64131 62311	   	252.96	ACR|DCR|1VULN|2MLV|1DMG	18RCR|2DUST|3DMG|4AAC|59MLV|6AME|7DUR|aVULN
7	51125 41112	 * 	251.24	ACR|DCR|2VULN|1ASPD|1AART	1AART|2LHND|37RCR|4LWND|5DUR|6LEGI|8ASPD|9aVULN
8	51125 61112	   	251.24	ACR|DCR|2VULN|1ASPD|1AART	1AART|2LHND|37RCR|4LWND|5DUR|6DUST|8ASPD|9aVULN
9	51126 11112	   	251.24	ACR|DCR|2VULN|1ASPD|1AART	1AART|2LHND|37RCR|4LWND|5DUST|6DUR|8ASPD|9aVULN
10	51156 11112	   	251.24	ACR|DCR|2VULN|1ASPD|1AART	1AART|2LHND|37RCR|4FEWX|5DUST|6DUR|8ASPD|9aVULN
11	61122 52236	   	250.90	ACR|DCR|2VULN|1MLV|1CDMG	1aRCR|2FLTARM|35VULN|4LHND|6BELT|7CGEN|8CDMG|9MLV
12	41224 52222	   	250.03	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1BBNT|2DMG|3RPLT|4CGEN|5FEWX|6aRCR|7RCVC|8VULN|9SELL
13	41234 52222	   	250.03	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1BBNT|2DMG|3RPLT|4TLV|5FEWX|6aRCR|7RCVC|8VULN|9SELL
14	36216 32133	 * 	249.65	ACR|3VULN|3MLV|2DMG|1AART	129LWND|3RCR|49aVULN|5BASHEA|6AART|7aDMG|89aMLV|9aBPWR
15	61151 33214	 * 	247.99	ACR|DCR|2VULN|1DMG	1aRCR|2FLTARM|39VULN|4DUR|5BEXP|6DMG|7ERES|8LIT
16	61152 12134	   	247.99	ACR|DCR|2VULN|1DMG	1aRCR|2FLTARM|35VULN|4DUR|6DMG|7FEWX|8ERES|9LIT
17	61152 12234	   	247.99	ACR|DCR|2VULN|1DMG	1aRCR|2FLTARM|35VULN|4DUR|6DMG|7FEWX|8AME|9LIT
18	61222 34215	   	247.35	ACR|DCR|2VULN|1AART|1RPLT	1aRCR|2FLTARM|3RPLT|4BBNT|5DUR|69VULN|7AART|8CGEN
19	42251 51313	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1BBNT|2ZMB|3RPLT|4VULN|5MLV|6aRCR|7AME|8MBVNT|9BELT
20	41437 21113	 * 	247.16	ACR|DCR|2DMG|1VULN|1RPLT	1BBNT|23DMG|3BPWR|4MBVNT|5aRCR|6RPLT|7DUR|8VULN|9BELT
21	61133 53235	   	246.73	ACR|DCR|2DMG|1VULN|1MLV	18RCR|2FLTARM|3VULN|4BBNT|5AAC|6VENICY|79DMG|aMLV
22	53115 14211	   	245.07	DCR|DCR|1VULN|2DUR|1AART	1AART|2LIT|3AAC|4BBNT|5aDUR|6RMIN|7VULN|89RCR
23	34461 23311	   	244.65	ACR|DCR|1VULN|2MLV|1DMG	1LWND|2NUKE|38RCR|4AME|59MLV|6LHND|7DMG|aVULN
24	64151 23311	   	244.55	ACR|DCR|1VULN|2MLV|1DMG	18RCR|2DUST|3DMG|4ERES|59MLV|6LHND|7NUKE|aVULN
25	51125 61313	   	244.10	ACR|DCR|2VULN|2DUR|1AART|1ZMB	1AART|2aLHND|37RCR|4LWND|5aDUR|6DUST|8ZMB|9aVULN|aBPWR
26	61133 52224	 * 	243.09	ACR|DCR|3VULN	18RCR|2FLTARM|37aVULN|4BBNT|5AAC|6VENICY|9LWND
27	61134 13611	   	243.09	ACR|DCR|3VULN	18RCR|2FLTARM|359VULN|4BBNT|6ERES|7BELT|aTLV
28	61134 13613	   	243.09	ACR|DCR|3VULN	18RCR|2FLTARM|359VULN|4BBNT|6ERES|7BELT|aBEXP
29	61133 52231	   	242.99	ACR|DCR|3VULN	18RCR|2FLTARM|37aVULN|4BBNT|5AAC|6VENICY|9BASARM
30	61134 13612	   	242.99	ACR|DCR|3VULN	18RCR|2FLTARM|359VULN|4BBNT|6ERES|7BELT|aMDPS
31	64412 23323	   	242.98	ACR|DCR|1VULN|1DMG|1CDMG|1RPLT|1ZMB	18RCR|2DUST|3FEWX|4VULN|5ZMB|6DMG|7CDMG|9RPLT|aDUR
32	51156 31112	   	242.93	ACR|DCR|2VULN|1ASPD|1AART	1AART|2LHND|37RCR|4FEWX|5DUST|6BEXP|8ASPD|9aVULN
33	61221 12323	   	242.93	ACR|DCR|2VULN|1ASPD|1RPLT	19RCR|2FLTARM|3RPLT|4BBNT|58VULN|6SNITOX|7CGEN|aASPD
34	61221 16323	   	242.93	ACR|DCR|2VULN|1CDMG|1RPLT	19RCR|2FLTARM|3RPLT|4BBNT|58VULN|6SNITOX|7TLV|aCDMG
35	61133 53231	   	242.85	ACR|DCR|2DMG|1VULN|1ASPD	18RCR|2FLTARM|3VULN|4BBNT|5AAC|6VENICY|79DMG|aASPD
36	51126 41112	   	242.83	ACR|DCR|2VULN|1ASPD|1AART	1AART|2LHND|37RCR|4LWND|5DUST|6LEGI|8ASPD|9aVULN
