0	Index      	 *	Score 	Summary	Detail	
1	33161 24325	 * 	295.45	DCR|DCR|2VULN|2DMG|1RPLT|2ZMB	1RPLT|28ZMB|3ERES|4BBNT|58DMG|68VULN|7aRCR|8BPWR|9AME
2	64225 23233	 * 	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1MDPS|25VULN|3BBNT|4MLV|6ASPD|7BEXP|89RCR|aCGEN
3	64225 23231	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1MDPS|25VULN|3BBNT|4MLV|6ASPD|7BEXP|89RCR|aAELOIC
4	64225 23232	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1MDPS|25VULN|3BBNT|4MLV|6ASPD|7BEXP|89RCR|aMBVNT
5	35126 22413	 * 	278.25	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|24VULN|3AIRHEA|5BEXP|6LIT|7TBNT|89RCR|aDMG
6	24535 23121	 * 	271.75	DCR|DCR|2DMG|1VULN|1ASPD	1VENICY|2ASPD|39DMG|48CGEN|5VULN|6LHND|7aRCR
7	24535 23321	   	271.75	DCR|DCR|2DMG|1VULN|1ASPD	1VENICY|2ASPD|39DMG|4CGEN|5VULN|68LHND|7aRCR
8	64224 23233	 * 	267.24	DCR|DCR|1VULN|2MLV|1ASPD	1MDPS|2VULN|3BBNT|46MLV|5BEXP|7ASPD|89RCR|aCGEN
9	64224 23231	   	267.14	DCR|DCR|1VULN|2MLV|1ASPD	1MDPS|2VULN|3BBNT|46MLV|5BEXP|7ASPD|89RCR|aAELOIC
10	64224 23232	   	267.14	DCR|DCR|1VULN|2MLV|1ASPD	1MDPS|2VULN|3BBNT|46MLV|5BEXP|7ASPD|89RCR|aMBVNT
11	31225 36323	 * 	266.71	DCR|4VULN|3DMG|1RPLT|1SELL	1RPLT|256DMG|369aVULN|4SELL|69aBPWR|7TBNT|8RCR
12	64221 43233	   	265.96	DCR|DCR|2VULN|1MLV	1MDPS|26VULN|3BBNT|4MLV|5NUKE|7BEXP|89RCR|aCGEN
13	64221 43231	   	265.86	DCR|DCR|2VULN|1MLV	1MDPS|26VULN|3BBNT|4MLV|5NUKE|7BEXP|89RCR|aAELOIC
14	64221 43232	   	265.86	DCR|DCR|2VULN|1MLV	1MDPS|26VULN|3BBNT|4MLV|5NUKE|7BEXP|89RCR|aMBVNT
