0	Index      	 *	Score 	Summary	Detail	
1	34323 36363	 * 	270.00	DCR|DCR|2VULN|2ASPD	15LHND|26ASPD|36VULN|4MDPS|6BPWR|7CGEN|8BEXP|9aRCR
2	11353 33663	 * 	266.04	DCR|DCR|3VULN	1AAC|236VULN|4MDPS|56LHND|6BPWR|7BEXP|8TLV|9aRCR
3	11323 56363	   	265.94	DCR|DCR|3VULN	1AAC|234VULN|5CGEN|6MDPS|7BEXP|8LWND|9aRCR
4	11353 36363	   	265.94	DCR|DCR|3VULN	1AAC|236VULN|4MDPS|56LHND|6BPWR|7AME|8BEXP|9aRCR
5	11323 56163	   	265.84	DCR|DCR|3VULN	1AAC|234VULN|5CGEN|6MDPS|7BEXP|8DUST|9aRCR
6	12533 31278	 * 	263.76	DCR|DCR|2VULN|1DMG	1AAC|2LHND|3MBVNT|4DMG|5MDPS|6FEWX|79RCR|8aVULN
7	34333 31615	 * 	261.79	DCR|4VULN|3ASPD|1MLV|1RPLT	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9RPLT|aMLV
8	11541 43331	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	14AAC|2VULN|3MBVNT|5AME|6DMG|7aRCR|8RPLT|9CDMG
9	11538 43331	   	260.77	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1AAC|2VULN|3MBVNT|4DMG|56ERES|7aRCR|8RPLT|9CDMG
10	13222 34663	   	258.75	DCR|DCR|2VULN|2DUR	1AAC|2BEXP|3DMSP|46VULN|56DUR|6BPWR|7MDPS|8TLV|9aRCR
11	13322 34663	   	258.75	DCR|DCR|2VULN|2DUR	1AAC|2BEXP|3RCVC|46VULN|56DUR|6BPWR|7MDPS|8TLV|9aRCR
12	31612 22626	   	258.65	DCR|DCR|2VULN|2DUR	1LHND|2LIT|3DUST|46VULN|59DUR|7FEWX|8aRCR
13	43323 36363	   	257.55	DCR|DCR|2VULN|1ASPD	1ASPD|256LHND|36VULN|4MDPS|6BPWR|7CGEN|8BEXP|9aRCR
14	11222 15611	 * 	257.48	DCR|3VULN|2DMG|1MLV|2DUR|1AART	1AAC|27aVULN|3AART|46DMG|56DUR|6BPWR|8MLV|9RCR
15	42342 21263	   	255.90	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1ASPD|2MDPS|3FEWX|4RPLT|5DUR|6SELL|79RCR|8VULN|aNUKE
16	66222 21263	   	255.90	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1BEXP|2MDPS|3RPLT|4ASPD|5DUR|6SELL|79RCR|8VULN|aNUKE
17	12533 31277	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1AAC|2LHND|3MBVNT|4DMG|5MDPS|6FEWX|79RCR|8VULN|aMLV
18	34333 31363	 * 	253.03	DCR|3VULN|3ASPD|1DMG|1MLV	16LHND|245ASPD|346VULN|46BPWR|7RCR|8CGEN|9DMG|aMLV
