0	Index      	 *	Score 	Summary	Detail	
1	23534 21122	 * 	280.00	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CANTOX|2DUR|3RCVC|4CDMG|5DMG|6MLV|7CGEN|8aRCR|9VULN
2	65134 13122	 * 	268.58	DCR|DCR|1VULN|1DMG|2CDMG	1AME|2ERES|3TSLFST|47CDMG|5DMG|6DUR|8aRCR|9VULN
3	23534 41122	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1CANTOX|2DUR|3RCVC|4CDMG|5DMG|6ERES|7CGEN|8aRCR|9VULN
4	23534 61122	   	262.37	DCR|DCR|1VULN|1DMG|1CDMG	1CANTOX|2DUR|3RCVC|4CDMG|5DMG|6AME|7CGEN|8aRCR|9VULN
5	24536 13122	   	262.27	DCR|DCR|1VULN|2CDMG|1ASPD	1CANTOX|2ASPD|3ERES|47CDMG|5CGEN|6DUR|8aRCR|9VULN
6	11215 21114	 * 	262.18	DCR|DCR|2VULN|1CDMG	16VULN|2LWND|3BBNT|4BELT|5CDMG|7BEXP|8aRCR|9MDPS
7	11215 22114	   	262.18	DCR|DCR|2VULN|1CDMG	16VULN|2LWND|3BBNT|4BELT|5CDMG|7FEWX|8aRCR|9MDPS
8	65134 11122	   	262.17	DCR|DCR|1VULN|1DMG|1CDMG	1AME|27ERES|3TSLFST|4CDMG|5DMG|6DUR|8aRCR|9VULN
9	11215 23114	   	262.08	DCR|DCR|2VULN|1CDMG	16VULN|2LWND|3BBNT|4BELT|5CDMG|7DUST|8aRCR|9MDPS
10	13232 26611	 * 	260.55	DCR|3VULN|3DMG|3ZMB|1RPLT	19aVULN|2FEWX|3BBNT|4TBNT|59aDMG|6RPLT|7RCR|89aZMB|9aBPWR
11	13532 26611	   	260.55	DCR|3VULN|3DMG|3ZMB|1RPLT	19aVULN|2FEWX|3TBNT|4BBNT|59aDMG|6RPLT|7RCR|89aZMB|9aBPWR
12	23536 21122	   	259.69	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1CANTOX|2DUR|3RCVC|4CDMG|5ZMB|6MLV|7CGEN|8aRCR|9VULN
13	15423 35232	 * 	258.85	DCR|2VULN|2MLV|1DMG|1ASPD|1CDMG|1RPLT	13VULN|23MLV|3BPWR|4DMG|5LHND|6ASPD|7RPLT|8RCR|9DUR|aCDMG
14	63134 41122	   	257.60	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1AME|2MLV|3TSLFST|4SELL|5DMG|6ERES|7CGEN|8aRCR|9VULN
15	24536 32122	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1CANTOX|2ASPD|3ERES|4CDMG|56CGEN|7DUR|8aRCR|9VULN
16	24536 11122	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1CANTOX|2ASPD|37ERES|4CDMG|5CGEN|6DUR|8aRCR|9VULN
17	41134 41122	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	12LWND|3BLASTR|4CDMG|5DMG|6ERES|7CGEN|8aRCR|9VULN
18	41134 61122	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	12LWND|3BLASTR|4CDMG|5DMG|6AME|7CGEN|8aRCR|9VULN
19	21434 41122	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	12CANTOX|2BPWR|3LWND|4CDMG|5DMG|6ERES|7CGEN|8aRCR|9VULN
20	21434 61122	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	12CANTOX|2BPWR|3LWND|4CDMG|5DMG|6AME|7CGEN|8aRCR|9VULN
21	21634 41122	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	12CANTOX|2BPWR|3FEWX|4CDMG|5DMG|6ERES|7CGEN|8aRCR|9VULN
22	21634 61122	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	12CANTOX|2BPWR|3FEWX|4CDMG|5DMG|6AME|7CGEN|8aRCR|9VULN
23	15422 61123	 * 	253.02	DCR|2VULN|2DMG|2MLV|1ASPD	13VULN|23MLV|3BPWR|4aDMG|5TBNT|6ASPD|7DUR|8BASICY|9RCR
24	15322 16412	 * 	252.49	DCR|3VULN|2MLV|1ASPD|1CDMG	178VULN|26MLV|3ASPD|4DUR|5BBNT|9CDMG|aRCR
25	25136 22432	   	252.47	DCR|3VULN|2DMG|1MLV|1ASPD	17CANTOX|247VULN|3MDPS|5BBNT|67DMG|7BPWR|8ASPD|9RCR|aMLV
26	11215 61114	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2LWND|3BBNT|4BELT|5CDMG|6CGEN|7MLV|8aRCR|9MDPS
27	21131 35122	   	251.29	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	12CANTOX|2BPWR|3MLV|4SELL|5LHND|6CGEN|7ASPD|8aRCR|9VULN
28	21131 45122	   	251.19	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	12CANTOX|2BPWR|3MLV|4SELL|5LHND|6ERES|7ASPD|8aRCR|9VULN
29	15412 23262	 * 	250.78	DCR|4VULN|2MLV|1CDMG	1358VULN|23MLV|3BPWR|4LHND|6RMIN|7CDMG|9AAC|aRCR
