0	Index      	 *	Score 	Summary	Detail	
1	51311 61325	 * 	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1FRZICY|25VULN|3RMIN|4FEWX|6CDMG|7CGEN|8aRCR|9RPLT
2	62421 35323	 * 	263.99	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	19DMG|2MLV|3MDPS|4TLV|5LHND|6aRCR|7ASPD|8RPLT
3	24235 33315	 * 	263.29	DCR|DCR|1VULN|1DMG|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9MLV|aDMG
4	24235 33343	   	259.41	DCR|DCR|1VULN|1DMG|1CDMG	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9DMG|aCDMG
5	24235 33314	 * 	258.84	DCR|DCR|2MLV|1VULN	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9aMLV
6	24235 33313	   	256.88	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9MLV|aCDMG
7	24235 34313	   	256.88	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7DUST|9MLV|aCDMG
8	12363 34315	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2ERES|3LWND|4LHND|5VULN|68RCR|7DUST|9MLV|aDMG
9	24231 34315	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1AME|2RCVC|3MDPS|4VULN|5LHND|68RCR|7DUST|9MLV|aDMG
10	12363 34343	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2ERES|3LWND|4LHND|5VULN|68RCR|7DUST|9DMG|aCDMG
11	24231 34343	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1AME|2RCVC|3MDPS|4VULN|5LHND|68RCR|7DUST|9DMG|aCDMG
12	12363 34314	   	250.63	DCR|DCR|2MLV|1VULN	1BEXP|2ERES|3LWND|4LHND|5VULN|68RCR|7DUST|9aMLV
13	24231 34314	   	250.53	DCR|DCR|2MLV|1VULN	1AME|2RCVC|3MDPS|4VULN|5LHND|68RCR|7DUST|9aMLV
14	22441 34313	   	250.43	DCR|DCR|2MLV|1VULN	1AME|29MLV|3MDPS|4ERES|5LHND|68RCR|7DUST|aVULN
15	22446 33313	   	250.43	DCR|DCR|2MLV|1VULN	1AME|29MLV|3MDPS|4ERES|5BEXP|68RCR|7LEGI|aVULN
16	62421 36323	   	250.10	DCR|DCR|2DMG|1MLV|1RPLT|1ZMB	19DMG|2MLV|3MDPS|4TLV|5LHND|6aRCR|7ZMB|8RPLT
17	63212 63313	 * 	249.09	DCR|2VULN|2DMG|1MLV|2DUR|1ASPD|1RPLT	1aDMG|2CGEN|3RPLT|4RMIN|5aVULN|6ASPD|7MLV|8aDUR|9RCR|aBPWR
18	61212 63313	   	248.99	DCR|2VULN|2DMG|1MLV|2DUR|1ASPD|1RPLT	1aDMG|2ERES|3RPLT|4RMIN|5aVULN|6ASPD|7MLV|8aDUR|9RCR|aBPWR
19	62212 63313	   	248.99	DCR|2VULN|2DMG|1MLV|2DUR|1ASPD|1RPLT	1aDMG|2MLV|3RPLT|4RMIN|5aVULN|6ASPD|7AME|8aDUR|9RCR|aBPWR
20	12363 34313	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2ERES|3LWND|4LHND|5VULN|68RCR|7DUST|9MLV|aCDMG
21	24231 34313	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2RCVC|3MDPS|4VULN|5LHND|68RCR|7DUST|9MLV|aCDMG
22	24263 34313	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2RCVC|3MDPS|4LHND|5VULN|68RCR|7DUST|9MLV|aCDMG
