0	Index      	 *	Score 	Summary	Detail	
1	12316 33144	 * 	272.53	ACR|DCR|3VULN|1MLV|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aMLV
2	13132 16144	 * 	271.09	DCR|DCR|2VULN|1MLV|1RPLT	1LIT|25CGEN|38VULN|4RPLT|69RCR|7LHND|aMLV
3	11136 13144	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	1LIT|25ERES|38VULN|4RPLT|69RCR|7FEWX|aMLV
4	37482 32442	 * 	268.49	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aCDMG
5	37348 32425	   	266.91	DCR|DCR|2VULN|1ASPD|1RPLT	1MBVNT|2MDPS|3ERES|4TBNT|5ASPD|67RCR|8aVULN|9RPLT
6	12316 33145	   	264.66	ACR|DCR|3VULN|1RPLT|1AART	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aAART
7	37482 32448	 * 	264.50	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aRPLT
8	31547 32532	 * 	263.31	DCR|DCR|2DMG|1VULN|1SELL	1MBVNT|2BELT|34DMG|5SELL|6aRCR|7DUR|8VULN|9TBNT
9	11136 13145	   	263.02	DCR|DCR|2VULN|1RPLT|1AART	1LIT|25ERES|38VULN|4RPLT|69RCR|7FEWX|aAART
10	13132 16145	   	261.86	DCR|DCR|2VULN|1RPLT	1LIT|25CGEN|38VULN|4RPLT|69RCR|7LHND|aDUR
11	12423 14421	 * 	261.22	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	1LIT|28RCR|37MLV|4MDPS|5VULN|6AART|9RPLT|aDMG
12	37482 32418	   	260.88	DCR|DCR|2VULN|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8aVULN|9DUST
13	35332 38742	 * 	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2FEWX|3VULN|4AAC|5BEXP|6aRCR|7DMG|8DUR|9ASPD
14	35332 38842	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2FEWX|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9DUR
15	33532 38742	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DUST|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9DUR
16	35343 38842	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2FEWX|3VULN|4DUST|5DUR|6aRCR|7DMG|8AAC|9ASPD
17	33832 35842	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DUST|3DUR|4AAC|5BEXP|6aRCR|7VULN|8ASPD|9DMG
18	33832 38142	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DUST|3DUR|4AAC|5BEXP|6aRCR|7DMG|8VULN|9ASPD
19	35872 42314	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2FEWX|3DUR|4AART|5RPLT|6CDMG|79RCR|8CGEN|aVULN
20	32583 82414	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3LHND|4DUR|5AART|6RPLT|7CDMG|89RCR|aVULN
21	32683 82414	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3LWND|4DUR|5AART|6RPLT|7CDMG|89RCR|aVULN
22	12423 14431	 * 	257.70	ACR|DCR|2VULN|2MLV|1AART	1LIT|28RCR|37MLV|4MDPS|5aVULN|6AART|9CGEN
23	12413 15141	   	257.70	ACR|DCR|2VULN|2MLV|1RPLT	1LIT|29RCR|37MLV|48VULN|5DUST|6RPLT|aBBNT
24	12413 15142	   	257.70	ACR|DCR|2VULN|2MLV|1RPLT	1LIT|29RCR|37MLV|48VULN|5DUST|6RPLT|aBEXP
25	12413 15143	   	257.70	ACR|DCR|2VULN|2MLV|1RPLT	1LIT|29RCR|37MLV|48VULN|5DUST|6RPLT|aLHND
26	33818 73432	 * 	257.46	DCR|DCR|2DMG|2ASPD	1MBVNT|29DUST|3DUR|4MDPS|5AAC|69DMG|7aRCR|89ASPD|9BPWR
27	31447 61136	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2BELT|3TLV|4DMG|5BEXP|6MLV|7RMIN|89RCR|aVULN
28	31524 61136	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2BELT|3DMG|4CGEN|5BEXP|6MLV|7RMIN|89RCR|aVULN
29	12316 33141	   	255.00	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aTBNT
30	12316 33143	   	255.00	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aLHND
31	12316 33146	   	255.00	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aFRZICY
32	12316 33142	   	254.90	ACR|DCR|3VULN|1RPLT|1MSE	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aMSE
33	37482 32441	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aRCVC
34	37482 32443	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aFEWX
35	37482 32445	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aRMIN
36	37482 32446	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aLIT
37	12423 14422	   	254.80	ACR|DCR|2MLV|1VULN|1CDMG|1AART|1RPLT	1LIT|28RCR|37MLV|4MDPS|5VULN|6AART|9RPLT|aCDMG
38	37482 32437	   	254.74	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9ERES|aDMG
39	37482 32444	   	254.74	DCR|DCR|1VULN|1DMG|1MLV|1ZMB|1MSE	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aMSE
40	37482 32447	   	254.74	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DMG|aERES
41	13132 16141	   	253.56	DCR|DCR|2VULN|1RPLT	1LIT|25CGEN|38VULN|4RPLT|69RCR|7LHND|aTBNT
42	13132 16143	   	253.56	DCR|DCR|2VULN|1RPLT	1LIT|25CGEN|38VULN|4RPLT|69RCR|7aLHND
43	13132 16142	   	253.46	DCR|DCR|2VULN|1RPLT|1MSE	1LIT|25CGEN|38VULN|4RPLT|69RCR|7LHND|aMSE
44	13132 16146	   	253.46	DCR|DCR|2VULN|1RPLT	1LIT|25CGEN|38VULN|4RPLT|69RCR|7LHND|aDUST
45	11136 13141	   	253.36	DCR|DCR|2VULN|1RPLT	1LIT|25ERES|38VULN|4RPLT|69RCR|7FEWX|aTBNT
46	11136 13143	   	253.36	DCR|DCR|2VULN|1RPLT	1LIT|25ERES|38VULN|4RPLT|69RCR|7FEWX|aLHND
47	11136 13146	   	253.36	DCR|DCR|2VULN|1RPLT	1LIT|25ERES|38VULN|4RPLT|69RCR|7FEWX|aFRZICY
48	11136 13142	   	253.26	DCR|DCR|2VULN|1RPLT|1MSE	1LIT|25ERES|38VULN|4RPLT|69RCR|7FEWX|aMSE
49	37347 32425	   	253.26	DCR|DCR|2VULN|1RPLT	1MBVNT|2MDPS|3ERES|4TBNT|5AAC|67RCR|8aVULN|9RPLT
50	37422 32245	   	253.11	DCR|DCR|2VULN|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8RPLT|9aVULN
