0	Index      	 *	Score 	Summary	Detail	
1	52133 15612	 * 	296.51	DCR|DCR|3VULN|2DUR	1BEXP|2AME|38DUR|45aVULN|6AART|79RCR
2	31446 61141	   	295.20	DCR|DCR|3VULN|1ASPD	1AART|279VULN|3MBVNT|4BLAICY|5ASPD|6BBNT|8aRCR
3	42226 33363	 * 	294.48	DCR|DCR|2VULN|2DMG	1LIT|2DUR|3TBNT|49VULN|5DUST|6aRCR|78DMG
4	52133 15312	   	289.86	DCR|DCR|3VULN	1BEXP|28AME|3DUR|45aVULN|6AART|79RCR
5	52133 15611	   	286.69	DCR|DCR|2VULN|2DUR|1CDMG	1BEXP|2AME|38DUR|45VULN|6AART|79RCR|aCDMG
6	52133 15315	   	286.46	DCR|DCR|2VULN|1DMG	1BEXP|28AME|3DUR|45VULN|6AART|79RCR|aDMG
7	35452 34363	   	285.40	DCR|DCR|3VULN|1CDMG|1SELL	1AART|2MBVNT|38TLV|478VULN|5SELL|6aRCR|8BPWR|9CDMG
8	31216 15512	   	281.65	DCR|DCR|3VULN	1AART|24aVULN|38LWND|5AME|6LHND|79RCR
9	31216 15612	   	281.65	DCR|DCR|3VULN	1AART|24aVULN|3LWND|5AME|68LHND|79RCR
10	55233 15112	   	281.65	DCR|DCR|3VULN	1BEXP|28FEWX|3ERES|45aVULN|6AART|79RCR
11	31216 15312	   	281.55	DCR|DCR|3VULN	1AART|24aVULN|3LWND|58AME|6LHND|79RCR
12	31216 55312	   	281.55	DCR|DCR|3VULN	1AART|24aVULN|3LWND|58AME|6BEXP|79RCR
13	31342 51131	   	281.50	DCR|DCR|2VULN|1CDMG	1AART|27VULN|3RPLT|4LSRREG|5CDMG|6BBNT|8aRCR|9RCVC
14	31516 35312	   	281.45	DCR|DCR|3VULN	1AART|24aVULN|3LHND|58AME|6DUST|79RCR
15	31342 51141	   	281.40	DCR|DCR|2VULN|1CDMG	1AART|27VULN|3RPLT|4LSRREG|5CDMG|6BBNT|8aRCR|9AELOIC
16	52133 15311	   	280.04	DCR|DCR|2VULN|1CDMG	1BEXP|28AME|3DUR|45VULN|6AART|79RCR|aCDMG
17	34233 15612	   	272.94	DCR|DCR|2VULN|2DUR	1AART|2AELOIC|38DUR|4ERES|5aVULN|6LHND|79RCR
18	52133 15613	   	272.94	DCR|DCR|2VULN|2DUR	1BEXP|2AME|38DUR|45VULN|6AART|79RCR|aFLTFST
19	35113 32671	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG	1AART|2MBVNT|3CDMG|4LWND|5TLV|69RCR|7DUR|8VULN|aDMG
20	31216 15511	   	271.84	DCR|DCR|2VULN|1CDMG	1AART|24VULN|38LWND|5AME|6LHND|79RCR|aCDMG
21	31216 15611	   	271.84	DCR|DCR|2VULN|1CDMG	1AART|24VULN|3LWND|5AME|68LHND|79RCR|aCDMG
22	55233 15111	   	271.84	DCR|DCR|2VULN|1CDMG	1BEXP|28FEWX|3ERES|45VULN|6AART|79RCR|aCDMG
23	31216 15311	   	271.74	DCR|DCR|2VULN|1CDMG	1AART|24VULN|3LWND|58AME|6LHND|79RCR|aCDMG
24	31216 55311	   	271.74	DCR|DCR|2VULN|1CDMG	1AART|24VULN|3LWND|58AME|6BEXP|79RCR|aCDMG
25	31516 35311	   	271.64	DCR|DCR|2VULN|1CDMG	1AART|24VULN|3LHND|58AME|6DUST|79RCR|aCDMG
26	31131 31112	 * 	268.92	ACR|DCR|3VULN|2AART	15AART|27aVULN|3RMIN|49RCR|6DUR|8LHND
27	31131 31412	   	268.92	ACR|DCR|3VULN|2AART	15AART|27aVULN|3RMIN|49RCR|6DUR|8BEXP
28	31631 31112	   	268.92	ACR|DCR|3VULN|2AART	15AART|27aVULN|3CGEN|49RCR|6DUR|8LHND
29	31631 31412	   	268.92	ACR|DCR|3VULN|2AART	15AART|27aVULN|3CGEN|49RCR|6DUR|8BEXP
30	43325 16212	 * 	268.59	DCR|DCR|2VULN|2CDMG	17LIT|27VULN|3FEWX|4BEXP|57CDMG|6MDPS|7BPWR|8ERES|9aRCR
31	42224 33363	   	266.51	DCR|DCR|2DMG|1VULN	19LIT|2DUR|3TBNT|4VULN|5FEWX|6aRCR|78DMG
