0	Index      	 *	Score 	Summary	Detail	
1	11384 44163	 * 	311.90	ACR|ACR|3DMG|3MLV|3ASPD|1VULN|1CDMG	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9CDMG|aVULN
2	11384 44171	   	298.25	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aLHND
3	11384 44172	   	298.25	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aTLV
4	11384 44175	   	298.25	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aFEWX
5	11384 44178	   	298.25	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aRMIN
6	11384 44121	   	298.15	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9AELOIC|aVULN
7	11384 44154	   	298.15	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9ERES|aVULN
8	11384 44173	   	298.15	ACR|ACR|3DMG|3MLV|3ASPD|1VULN|1MSE	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aMSE
9	11384 44174	   	298.15	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aAME
10	11384 44176	   	298.15	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aFRZFST
11	11384 44177	   	298.15	ACR|ACR|3DMG|3MLV|3ASPD|1VULN	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9VULN|aMDPS
12	11384 44144	   	298.00	ACR|ACR|3DMG|3MLV|3ASPD|1VULN|1ZMB	1MBVNT|25RCR|378ASPD|478MLV|678DMG|78BPWR|9ZMB|aVULN
13	15223 41774	 * 	287.89	DCR|DCR|3VULN|1ASPD	1MBVNT|2DUR|3CGEN|47aVULN|5BEXP|69RCR|8ASPD
14	17222 41774	   	287.89	DCR|DCR|3VULN|1ASPD	1MBVNT|2BEXP|3CGEN|47aVULN|5DUR|69RCR|8ASPD
15	15223 41772	   	283.29	DCR|DCR|2VULN|1MLV|1ASPD	1MBVNT|2DUR|3CGEN|47VULN|5BEXP|69RCR|8ASPD|aMLV
16	17222 41772	   	283.29	DCR|DCR|2VULN|1MLV|1ASPD	1MBVNT|2BEXP|3CGEN|47VULN|5DUR|69RCR|8ASPD|aMLV
17	11384 44242	 * 	283.08	ACR|ACR|2VULN|2DMG|2MLV|2ASPD	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aLWND
18	11384 44246	   	283.08	ACR|ACR|2VULN|2DMG|2MLV|2ASPD	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aRCVC
19	11384 44223	   	282.98	ACR|ACR|2VULN|2DMG|2MLV|2ASPD	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|8aVULN|9AME
20	11384 44241	   	282.98	ACR|ACR|2VULN|2DMG|2MLV|2ASPD	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aAME
21	11384 44243	   	282.98	ACR|ACR|2VULN|2DMG|2MLV|2ASPD|1MSE	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aMSE
22	11384 44244	   	282.98	ACR|ACR|2VULN|2DMG|2MLV|2ASPD	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aDUST
23	11384 44247	   	282.98	ACR|ACR|2VULN|2DMG|2MLV|2ASPD	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aERES
24	11384 44248	   	282.98	ACR|ACR|2VULN|2DMG|2MLV|2ASPD|1ZMB	1MBVNT|25RCR|37ASPD|47MLV|67DMG|7BPWR|89VULN|aZMB
25	15215 42472	   	282.16	DCR|DCR|2VULN|2DUR|1CDMG	1MBVNT|28DUR|3CGEN|48FEWX|58VULN|69RCR|7RPLT|8BPWR|aCDMG
