0	Index      	 *	Score 	Summary	Detail	
1	33353 17348	 * 	281.26	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT	1LHND|2DUST|3MLV|4MBVNT|5VULN|6ASPD|7RPLT|8aRCR|9DMG
2	51513 18341	 * 	274.77	DCR|DCR|3DMG|2ASPD|1RPLT	157DMG|27LHND|37ASPD|4MBVNT|6RPLT|7BPWR|8LWND|9aRCR
3	51112 43188	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6VULN|7ASPD|8aRCR|9DUR
4	51112 43378	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6VULN|7ASPD|8DUR|9aRCR
5	51112 61328	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6DUR|7VULN|8aRCR|9ASPD
6	51113 37328	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5VULN|6DUR|7RPLT|8aRCR|9ASPD
7	41212 17128	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1CGEN|2LHND|3ASPD|4MBVNT|5RPLT|6LWND|7DMG|8aRCR|9VULN
8	41212 47118	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1CGEN|2LHND|3ASPD|4MBVNT|5RPLT|6VULN|7DMG|8aRCR|9LWND
9	43232 17128	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1CGEN|2MBVNT|3ASPD|4BEXP|5RPLT|6LWND|7DMG|8aRCR|9VULN
10	43232 47118	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1CGEN|2MBVNT|3ASPD|4BEXP|5RPLT|6VULN|7DMG|8aRCR|9LWND
11	51112 31328	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6FEWX|7VULN|8aRCR|9ASPD
12	51112 43118	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6VULN|7ASPD|8aRCR|9LWND
13	51112 43278	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6VULN|7ASPD|8FEWX|9aRCR
14	51112 43478	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6VULN|7ASPD|8BEXP|9aRCR
15	51112 46328	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5RPLT|6VULN|7BEXP|8aRCR|9ASPD
16	51113 47328	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3CGEN|4MBVNT|5VULN|6BEXP|7RPLT|8aRCR|9ASPD
17	51216 43118	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3RMIN|4MBVNT|5RPLT|6VULN|7ASPD|8aRCR|9LWND
18	56112 11328	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2BEXP|3CGEN|4MBVNT|5RPLT|6LWND|7VULN|8aRCR|9ASPD
19	56112 43118	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2BEXP|3CGEN|4MBVNT|5RPLT|6VULN|7ASPD|8aRCR|9LWND
20	56112 44328	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2BEXP|3CGEN|4MBVNT|5RPLT|6VULN|7LHND|8aRCR|9ASPD
21	43242 17128	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1CGEN|2MBVNT|3ASPD|4DUST|5RPLT|6LWND|7DMG|8aRCR|9VULN
22	43242 47118	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1CGEN|2MBVNT|3ASPD|4DUST|5RPLT|6VULN|7DMG|8aRCR|9LWND
23	51316 31328	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3AME|4MBVNT|5RPLT|6FEWX|7VULN|8aRCR|9ASPD
24	51316 43118	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DMG|2LHND|3AME|4MBVNT|5RPLT|6VULN|7ASPD|8aRCR|9LWND
25	51513 44341	   	262.02	DCR|DCR|3DMG|1ASPD|1RPLT	156DMG|2LHND|3ASPD|4MBVNT|7DUST|8RPLT|9aRCR
26	51313 22644	 * 	257.90	DCR|DCR|2DMG|1VULN	15DMG|2LHND|3AME|4MBVNT|6ERES|79RCR|8LIT|aVULN
