0	Index      	 *	Score 	Summary	Detail	
1	12156 12241	 * 	317.56	DCR|DCR|2VULN|2DMG|1MLV|1ASPD	124CGEN|24BPWR|34DMG|59VULN|68RCR|7MLV|aASPD
2	12156 12211	 * 	305.09	DCR|DCR|2DMG|1VULN|2MLV|1ASPD	124CGEN|24BPWR|34DMG|5VULN|68RCR|79MLV|aASPD
3	12156 12251	   	303.91	DCR|DCR|2VULN|2DMG|1MLV	124CGEN|24BPWR|34DMG|5aVULN|68RCR|7MLV|9LWND
4	12156 12231	   	303.81	DCR|DCR|2VULN|2DMG|1MLV	124CGEN|24BPWR|34DMG|5aVULN|68RCR|7MLV|9DUST
5	12156 12242	   	303.81	DCR|DCR|2VULN|2DMG|1MLV	124CGEN|24BPWR|34DMG|59VULN|68RCR|7MLV|aAELOIC
6	12156 12243	   	303.81	DCR|DCR|2VULN|2DMG|1MLV	124CGEN|24BPWR|34DMG|59VULN|68RCR|7MLV|aERES
7	12116 12241	   	299.87	DCR|DCR|2VULN|1DMG|1MLV|1ASPD	12CGEN|2BPWR|3DMG|4RCVC|59VULN|68RCR|7MLV|aASPD
8	12116 12264	   	299.87	DCR|DCR|2VULN|1DMG|1MLV|1ASPD	12CGEN|2BPWR|3DMG|4RCVC|5aVULN|68RCR|7MLV|9ASPD
9	12156 12263	   	299.14	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	124CGEN|24BPWR|34DMG|5VULN|68RCR|7MLV|9ASPD|aRPLT
10	12156 12253	 * 	291.49	DCR|DCR|3DMG|1VULN|1MLV	124CGEN|24BPWR|34aDMG|5VULN|68RCR|7MLV|9LWND
11	12156 12214	   	291.44	DCR|DCR|2DMG|1VULN|2MLV	124aCGEN|24BPWR|34DMG|5VULN|68RCR|79MLV
12	12156 12215	   	291.44	DCR|DCR|2DMG|1VULN|2MLV	124CGEN|24BPWR|34DMG|5VULN|68RCR|79MLV|aTBNT
13	12156 12216	   	291.44	DCR|DCR|2DMG|1VULN|2MLV	124CGEN|24BPWR|34DMG|5VULN|68RCR|79MLV|aBEXP
14	12156 12233	   	291.39	DCR|DCR|3DMG|1VULN|1MLV	124CGEN|24BPWR|34aDMG|5VULN|68RCR|7MLV|9DUST
15	12156 12212	   	291.34	DCR|DCR|2DMG|1VULN|2MLV	124CGEN|24BPWR|34DMG|5VULN|68RCR|79MLV|aAELOIC
16	12156 12213	   	291.34	DCR|DCR|2DMG|1VULN|2MLV	124CGEN|24BPWR|34DMG|5VULN|68RCR|79MLV|aERES
17	63314 22236	   	289.66	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1FEWX|2DUR|3VULN|4VENICY|5AART|6DMG|79RCR|8CDMG|aMLV
18	12156 12252	   	289.48	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	124CGEN|24BPWR|34DMG|5VULN|68RCR|7MLV|9LWND|aCDMG
19	12156 12262	   	289.48	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	124CGEN|24BPWR|34DMG|5VULN|68RCR|7MLV|9ASPD|aBELT
20	12156 12232	   	289.38	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	124CGEN|24BPWR|34DMG|5VULN|68RCR|7MLV|9DUST|aCDMG
21	12156 12261	   	289.38	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	124CGEN|24BPWR|34DMG|5VULN|68RCR|7MLV|9ASPD|aMDPS
