0	Index      	 *	Score 	Summary	Detail	
1	51112 51335	 * 	314.89	DCR|DCR|2VULN|2DMG|2MLV	18DMG|2AAC|36LWND|48VULN|58MLV|7RMIN|8BPWR|9aRCR
2	41121 51335	 * 	303.34	DCR|DCR|2VULN|2MLV|2ASPD	18MLV|2AAC|34LWND|58ASPD|68VULN|7RMIN|8BPWR|9aRCR
3	41221 11335	   	303.24	DCR|DCR|2VULN|2MLV|2ASPD	18MLV|2AAC|3RCVC|48VULN|58ASPD|6LEGI|7RMIN|8BPWR|9aRCR
4	41521 11335	   	303.14	DCR|DCR|2VULN|2MLV|2ASPD	18MLV|2AAC|3AELOIC|48VULN|58ASPD|6LEGI|7RMIN|8BPWR|9aRCR
5	23311 51635	 * 	297.12	DCR|DCR|3VULN|1MLV|1ASPD	146VULN|2ERES|3MLV|5ASPD|7LHND|8AAC|9aRCR
6	23311 53635	   	297.12	DCR|DCR|3VULN|1MLV|1ASPD	146VULN|2ERES|3MLV|5ASPD|7FEWX|8AAC|9aRCR
7	23311 52635	   	297.02	DCR|DCR|3VULN|1MLV|1ASPD	146VULN|2ERES|3MLV|5ASPD|7DUST|8AAC|9aRCR
8	23311 51435	   	296.87	DCR|DCR|3VULN|1MLV|1ASPD|1ZMB	146VULN|2ERES|3MLV|5ASPD|7LHND|8ZMB|9aRCR
9	23311 53435	   	296.87	DCR|DCR|3VULN|1MLV|1ASPD|1ZMB	146VULN|2ERES|3MLV|5ASPD|7FEWX|8ZMB|9aRCR
10	23311 52435	   	296.77	DCR|DCR|3VULN|1MLV|1ASPD|1ZMB	146VULN|2ERES|3MLV|5ASPD|7DUST|8ZMB|9aRCR
11	42551 12122	 * 	294.29	ACR|DCR|2VULN|2DMG|2MLV	1aMLV|27RCR|3RCVC|4aVULN|5BEXP|6DUR|8BBNT|9aDMG|aBPWR
12	42551 12322	   	294.29	ACR|DCR|2VULN|2DMG|2MLV	1aMLV|27RCR|3RCVC|4aVULN|5BEXP|6DUR|8aDMG|9TBNT|aBPWR
13	42552 12122	   	294.29	ACR|DCR|2VULN|2DMG|2MLV	1aMLV|27RCR|3RCVC|4aVULN|5LWND|6DUR|8BBNT|9aDMG|aBPWR
14	42552 12322	   	294.29	ACR|DCR|2VULN|2DMG|2MLV	1aMLV|27RCR|3RCVC|4aVULN|5LWND|6DUR|8aDMG|9TBNT|aBPWR
15	42211 22326	   	293.39	ACR|DCR|2VULN|2DMG|1MLV|1CDMG	1MLV|28RCR|3aVULN|49DMG|5CDMG|6RPLT|7MDPS
16	25111 22635	 * 	292.14	DCR|DCR|3VULN|2ASPD	124VULN|3LWND|57ASPD|6LHND|8AAC|9aRCR
17	25111 12635	   	292.04	DCR|DCR|3VULN|2ASPD	124VULN|3LWND|57ASPD|6LEGI|8AAC|9aRCR
18	25111 32635	   	292.04	DCR|DCR|3VULN|2ASPD	124VULN|3LWND|57ASPD|6DUST|8AAC|9aRCR
19	25111 22435	   	291.89	DCR|DCR|3VULN|2ASPD|1ZMB	124VULN|3LWND|57ASPD|6LHND|8ZMB|9aRCR
20	25111 12435	   	291.79	DCR|DCR|3VULN|2ASPD|1ZMB	124VULN|3LWND|57ASPD|6LEGI|8ZMB|9aRCR
21	25111 32435	   	291.79	DCR|DCR|3VULN|2ASPD|1ZMB	124VULN|3LWND|57ASPD|6DUST|8ZMB|9aRCR
22	23314 22235	   	290.59	DCR|DCR|2VULN|2MLV|1ASPD	14VULN|2ERES|38MLV|5AAC|6LHND|7ASPD|9aRCR
23	23314 12235	   	290.49	DCR|DCR|2VULN|2MLV|1ASPD	14VULN|2ERES|38MLV|5AAC|6LEGI|7ASPD|9aRCR
24	23314 32235	   	290.49	DCR|DCR|2VULN|2MLV|1ASPD	14VULN|2ERES|38MLV|5AAC|6DUST|7ASPD|9aRCR
25	23311 22635	   	287.43	DCR|DCR|2VULN|2ASPD|1MLV	14VULN|2ERES|3MLV|57ASPD|6LHND|8AAC|9aRCR
26	23311 12635	   	287.33	DCR|DCR|2VULN|2ASPD|1MLV	14VULN|2ERES|3MLV|57ASPD|6LEGI|8AAC|9aRCR
27	23311 32635	   	287.33	DCR|DCR|2VULN|2ASPD|1MLV	14VULN|2ERES|3MLV|57ASPD|6DUST|8AAC|9aRCR
28	23311 22435	   	287.19	DCR|DCR|2VULN|2ASPD|1MLV|1ZMB	14VULN|2ERES|3MLV|57ASPD|6LHND|8ZMB|9aRCR
29	23311 12435	   	287.09	DCR|DCR|2VULN|2ASPD|1MLV|1ZMB	14VULN|2ERES|3MLV|57ASPD|6LEGI|8ZMB|9aRCR
30	23311 32435	   	287.09	DCR|DCR|2VULN|2ASPD|1MLV|1ZMB	14VULN|2ERES|3MLV|57ASPD|6DUST|8ZMB|9aRCR
31	25224 13236	 * 	285.00	DCR|DCR|4VULN	1246VULN|38RCVC|5MDPS|6BPWR|7MBVNT|9aRCR
