0	Index      	 *	Score 	Summary	Detail	
1	13232 25436	 * 	282.54	橙橙2易伤1等级1全技能1暴击	1暴击2挖尘3低血量敌人4基地爆炸58易伤6全技能7a核9等级
2	33312 44532	   	270.75	橙橙2易伤1等级1矿等	1等级2挖尘3a易伤4最后敌人5双倍秒伤69核7矿等8平台
3	33322 44532	   	270.75	橙橙2易伤1等级1矿等	1等级2挖尘3a易伤4低血量敌人5双倍秒伤69核7矿等8平台
4	34221 12437	 * 	270.07	紫橙3易伤1等级1矿等1雷电	1等级27a易伤39核4加一5矿等6雷电8低血量敌人
5	34221 12351	   	261.58	紫橙2易伤1等级1矿等1全技能1雷电	1等级27易伤3a核4加一5矿等6雷电8策反9全技能
6	34221 12432	   	261.58	紫橙2易伤1等级1矿等1攻速1雷电	1等级27易伤39核4加一5矿等6雷电8低血量敌人a攻速
7	34221 12435	 * 	258.27	紫橙2易伤2等级1矿等1雷电	1a等级27易伤39核4加一5矿等6雷电8低血量敌人
8	34221 13437	   	258.27	紫橙2易伤2等级1矿等1雷电	18等级2a易伤39核4加一5矿等6雷电7基地爆炸
9	36221 12437	   	258.26	紫橙2易伤2等级1矿等1雷电	18等级2最后敌人39核4加一5矿等6雷电7a易伤
10	13232 25336	   	256.24	橙橙1易伤1等级1全技能1暴击	1暴击2挖尘3低血量敌人4基地爆炸5易伤6全技能7a核8烈焰减费9等级
11	52133 43532	   	255.24	橙橙2易伤1等级	1敌人爆炸2最后敌人3金币生成4双倍秒伤5a易伤69核7等级8平台
12	33312 41532	   	255.14	橙橙2易伤1等级	1等级2挖尘3a易伤4最后敌人5双倍秒伤69核7金币生成8平台
13	33322 41532	   	255.14	橙橙2易伤1等级	1等级2挖尘3a易伤4低血量敌人5双倍秒伤69核7金币生成8平台
14	34112 41532	   	255.14	橙橙2易伤1等级	1等级2a易伤3挖尘4最后敌人5双倍秒伤69核7金币生成8平台
15	34122 41532	   	255.14	橙橙2易伤1等级	1等级2a易伤3挖尘4低血量敌人5双倍秒伤69核7金币生成8平台
16	36133 41532	   	255.14	橙橙2易伤1等级	1等级2最后敌人3挖尘4双倍秒伤5a易伤69核7金币生成8平台
17	21315 43532	   	255.14	橙橙2易伤1等级	1挖尘2双倍秒伤3a易伤4最后敌人5金币生成69核7等级8平台
18	22133 43532	   	255.14	橙橙2易伤1等级	1挖尘2最后敌人3金币生成4双倍秒伤5a易伤69核7等级8平台
19	34226 12437	   	254.47	紫橙3易伤1等级1雷电	1等级27a易伤39核4加一5金币生成6雷电8低血量敌人
20	34362 12613	 * 	253.22	橙2易伤2矿等1等级2雷电1伤害1全技能	1等级2a易伤3低血量敌人4金币生成5a矿等6伤害7核8a雷电9全技能a序列升级
