0	Index      	 *	Score 	Summary	Detail	
1	41361 36213	 * 	285.74	橙橙2易伤2等级1伤害	17等级25易伤35敌人爆炸4赏金邻近5序列升级6额外掉落8a核9伤害
2	41361 32213	   	275.41	橙橙2易伤1等级1伤害	1等级25易伤35敌人爆炸4赏金邻近5序列升级6额外掉落7立即金币8a核9伤害
3	41361 32253	   	268.99	橙橙2易伤1等级1攻速	1等级25易伤35敌人爆炸4赏金邻近5序列升级6额外掉落7立即金币8a核9攻速
4	41341 32331	 * 	267.30	橙2易伤2喷火对甲3攻速1等级1雷电	1等级2a易伤3敌人爆炸4雷电57a攻速6策反8a喷火对甲9核a序列升级
5	11242 63233	 * 	266.59	橙橙2伤害1易伤1等级	1随机矿2等级3易伤4额外掉落56伤害7赏金邻近8a核9掉矿
6	41533 11334	 * 	266.15	橙4易伤3等级2伤害	15a等级289a易伤3平台4a伤害6额外掉落7核a序列升级
7	41325 15331	 * 	264.87	橙3易伤2喷火对甲2等级1技能1攻速	1a等级25a易伤3敌人爆炸4攻速6头目7技能8a喷火对甲9核a序列升级
8	23642 16121	 * 	263.37	橙3易伤2伤害2矿等1攻速1雷电	1激光对愈2a伤害3雷电4时间56a易伤7核8攻速9a矿等a序列升级
9	33642 16121	   	263.37	橙3易伤2伤害2矿等1攻速1雷电	1基础对甲2a伤害3雷电4时间56a易伤7核8攻速9a矿等a序列升级
10	41122 36213	   	259.44	橙橙2等级1易伤1伤害	17等级2易伤3立即金币4基地爆炸5赏金塔6额外掉落8a核9伤害
11	41622 36213	   	259.44	橙橙2等级1易伤1伤害	17等级2易伤3双倍矿4基地爆炸5赏金塔6额外掉落8a核9伤害
12	13232 52213	   	259.34	橙橙2等级1易伤1伤害	1随机矿2赏金邻近35掉矿45等级5序列升级6易伤7额外掉落8a核9伤害
13	41112 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3立即金币4挖尘5赏金塔6额外掉落8a核9伤害
14	41312 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3敌人爆炸4火球减费5赏金塔6额外掉落8a核9伤害
15	41362 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3敌人爆炸4赏金邻近5火球减费6额外掉落8a核9伤害
16	41612 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3双倍矿4挖尘5赏金塔6额外掉落8a核9伤害
17	23632 16121	   	256.44	橙3易伤2伤害2矿等1攻速1雷电	1激光对愈2a伤害3雷电4基地爆炸56a易伤7核8攻速9a矿等a序列升级
18	33632 16121	   	256.44	橙3易伤2伤害2矿等1攻速1雷电	1基础对甲2a伤害3雷电4基地爆炸56a易伤7核8攻速9a矿等a序列升级
