0	Index      	 *	Score 	Summary	Detail	
1	35112 23264	 * 	292.61	DCR|2VULN|3DMG|2MLV|1TLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9BBNT|aTLV
2	35112 23235	 * 	291.26	DCR|3MLV|2VULN|3DMG	1RPLT|248DMG|34VULN|48BPWR|58aMLV|6RCR|78AME|9DUR
3	35112 23214	 * 	290.92	DCR|3VULN|3DMG|2MLV	1RPLT|248DMG|34aVULN|48BPWR|58MLV|6RCR|78AME|9RAT
4	35112 55233	   	290.41	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5aMLV|6CDMG|7TLV|8LHND|9RCR
5	35112 24351	   	283.52	DCR|2VULN|2MLV|2DMG|1AAC|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5aMLV|6RCR|7CDMG|8AAC|9AART
6	35112 23245	   	282.95	DCR|3MLV|2VULN|3DMG	1RPLT|248DMG|34VULN|48BPWR|58aMLV|6RCR|78AME|9LIT
7	35112 23255	   	282.95	DCR|3MLV|2VULN|3DMG	1RPLT|248DMG|34VULN|48BPWR|58aMLV|6RCR|78AME|9FEWX
8	35112 23233	   	282.48	DCR|2VULN|3DMG|2MLV|1CDMG	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9DUR|aCDMG
9	35625 23233	   	282.38	DCR|2VULN|3DMG|2MLV|1CDMG	1RPLT|258DMG|3AME|48VULN|6RCR|78MLV|8BPWR|9DUR|aCDMG
10	25523 22512	 * 	281.52	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1BEXP|2BBNT|3ASPD|4DUST|5RCVC|68RCR|7TLV|9AAC|aVULN
11	53523 22512	   	281.52	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TBNT|2BEXP|3ASPD|4DUST|5RCVC|68RCR|7TLV|9AAC|aVULN
