0	Index      	 *	Score 	Summary	Detail	
1	52154 43441	 * 	302.56	DCR|DCR|2VULN|1TLV|2ASPD	19ASPD|2DUST|3TLV|4MBVNT|56VULN|7aRCR|8RPLT
2	15612 63231	 * 	299.68	DCR|3MLV|2VULN|2DMG|1TLV	1ZMB|28DMG|3LHND|4CGEN|58VULN|6TLV|78aMLV|8BPWR|9RCR
3	15632 63231	   	299.58	DCR|3MLV|2VULN|2DMG|1TLV	1ZMB|28DMG|3LHND|4ERES|58VULN|6TLV|78aMLV|8BPWR|9RCR
4	52113 33231	 * 	297.63	DCR|3MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4CGEN|5VULN|68aMLV|7AAC|8BPWR|9RCR
5	52133 63231	   	297.53	DCR|3MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4ERES|5VULN|68aMLV|7AAC|8BPWR|9RCR
6	14334 14231	 * 	292.25	DCR|3MLV|2VULN|2TLV|1ASPD	1ZMB|28TLV|3ASPD|4ERES|58aMLV|6BEXP|78VULN|8BPWR|9RCR
7	52154 73441	 * 	290.53	DCR|DCR|2TLV|1VULN|2ASPD	19ASPD|2DUST|36TLV|4MBVNT|5VULN|7aRCR|8RPLT
8	14312 63324	 * 	290.26	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1ZMB|2TLV|3ASPD|4AETHUN|5VULN|6MLV|7aRCR|8BEXP|9MBVNT
9	15316 63124	   	290.14	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|4AETHUN|5DUR|6TLV|7aRCR|8VULN|9MBVNT
10	52154 43328	   	287.87	DCR|DCR|2VULN|1TLV|1ASPD	1ASPD|2DUST|3TLV|4MBVNT|56VULN|7aRCR|8BEXP|9RPLT
11	52154 43421	   	287.87	DCR|DCR|2VULN|1TLV|1ASPD	1ASPD|2DUST|3TLV|4MBVNT|56VULN|7aRCR|8RPLT|9AEFBLL
12	52154 43471	   	287.87	DCR|DCR|2VULN|1TLV|1ASPD	1ASPD|29DUST|3TLV|4MBVNT|56VULN|7aRCR|8RPLT
13	14326 33321	   	287.07	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ZMB|2TLV|3ASPD|4VULN|5RPLT|6DUR|7AAC|8aRCR|9AEFBLL
14	15313 63624	   	286.64	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|4AETHUN|5VULN|6MLV|7aRCR|8DUR|9MBVNT
15	14325 33521	   	286.39	DCR|3MLV|2VULN|1TLV|1ASPD	1ZMB|2TLV|3ASPD|45VULN|67aMLV|8RCR|9DUR
16	41512 37443	 * 	286.20	DCR|DCR|2VULN|2TLV	1BBNT|2aTLV|3MBVNT|4RPLT|5CGEN|6aVULN|7aLWND|89RCR|aBPWR
17	41512 31443	   	286.10	DCR|DCR|2VULN|2TLV	1BBNT|2aTLV|3MBVNT|4RPLT|5aCGEN|6aVULN|7LEGI|89RCR|aBPWR
18	42261 51443	   	286.10	DCR|DCR|2VULN|2TLV	1BBNT|2RPLT|3aTLV|4aCGEN|5aVULN|6MBVNT|7LEGI|89RCR|aBPWR
19	41631 36443	   	286.10	DCR|DCR|2VULN|2TLV	1BBNT|2aTLV|3DUST|4aCGEN|5RPLT|6aVULN|7MBVNT|89RCR|aBPWR
20	41632 36443	   	286.10	DCR|DCR|2VULN|2TLV	1BBNT|2aTLV|3DUST|4aCGEN|5aVULN|6RPLT|7MBVNT|89RCR|aBPWR
21	41512 33443	   	286.00	DCR|DCR|2VULN|2TLV	1BBNT|2aTLV|3MBVNT|4RPLT|5CGEN|6aVULN|7aDUST|89RCR|aBPWR
22	42261 53443	   	286.00	DCR|DCR|2VULN|2TLV	1BBNT|2RPLT|3aTLV|4CGEN|5aVULN|6MBVNT|7aDUST|89RCR|aBPWR
