0	Index      	 *	Score 	Summary	Detail	
1	23135 13882	 * 	326.64	DCR|DCR|1VULN|2AAC|1TLV|1MLV|1DMG	14AAC|2MBVNT|3FRZFST|5MLV|6VULN|7TLV|8DMG|9aRCR
2	23135 13682	   	322.82	DCR|DCR|1VULN|2AAC|1TLV|1MLV|1ASPD	14AAC|2MBVNT|3FRZFST|5MLV|6VULN|7TLV|8ASPD|9aRCR
3	23756 33134	   	313.53	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3LWND|4MLV|5TLV|6aRCR|7CDMG|8VULN|9DUR
4	23756 33244	   	313.53	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3LWND|4MLV|5TLV|6aRCR|7CDMG|8DUR|9VULN
5	23456 33244	   	313.43	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3BEXP|4MLV|5TLV|6aRCR|7CDMG|8DUR|9VULN
6	23856 31214	 * 	309.18	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|2MBVNT|3DUR|49MLV|5TLV|6aRCR|7DMG|8FEWX
7	23456 31814	   	309.08	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|2MBVNT|3BEXP|49MLV|5TLV|6aRCR|7DMG|8DUR
8	23856 31414	   	309.08	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|2MBVNT|3DUR|49MLV|5TLV|6aRCR|7DMG|8DUST
9	53234 11382	 * 	307.52	DCR|DCR|2VULN|1MLV|1DMG|1AAC	1DMG|2CGEN|3MSLFST|4AAC|5MLV|67VULN|8MBVNT|9aRCR
10	23856 33121	 * 	306.94	DCR|3MLV|2VULN|1TLV|1AAC|2DUR|1CDMG	1AAC|2MBVNT|39DUR|49aMLV|5TLV|6RCR|7CDMG|89VULN|9BPWR
11	23135 14582	   	306.57	DCR|DCR|1VULN|2AAC|1TLV|1MLV	14AAC|2MBVNT|3FRZFST|5MLV|6VULN|7ZMB|8TLV|9aRCR
12	23456 18234	   	305.12	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3BEXP|4MLV|5TLV|6VULN|7aRCR|8LWND|9CDMG
13	23456 33154	   	305.12	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3BEXP|4MLV|5TLV|6aRCR|7CDMG|8VULN|9LWND
14	23456 38234	   	305.12	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3BEXP|4MLV|5TLV|6aRCR|7VULN|8LWND|9CDMG
15	23456 31214	   	300.77	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|2MBVNT|3BEXP|49MLV|5TLV|6aRCR|7DMG|8FEWX
16	23456 31414	   	300.67	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|2MBVNT|3BEXP|49MLV|5TLV|6aRCR|7DMG|8DUST
17	23133 32582	   	300.43	DCR|DCR|1VULN|1TLV|2AAC|1DMG	14AAC|2MBVNT|3FRZFST|5VULN|6DMG|7CGEN|8TLV|9aRCR
18	23133 36582	   	300.43	DCR|DCR|1VULN|2AAC|1TLV|1DMG	14AAC|2MBVNT|3FRZFST|5VULN|6DMG|7AME|8TLV|9aRCR
19	23133 31582	   	300.33	DCR|DCR|1VULN|2AAC|1TLV|1DMG	14AAC|2MBVNT|3FRZFST|5VULN|6DMG|7ERES|8TLV|9aRCR
20	21313 42532	 * 	300.02	DCR|3VULN|2MLV|2DMG|2AAC	13AAC|269VULN|49MLV|5BEXP|7ERES|89DMG|9BPWR|aRCR
21	53234 32382	 * 	297.03	DCR|DCR|2DMG|1VULN|1MLV|1AAC	16DMG|2CGEN|3MSLFST|4AAC|5MLV|7VULN|8MBVNT|9aRCR
