0	Index      	 *	Score 	Summary	Detail	
1	11313 16454	 * 	322.66	DCR|3VULN|3TLV|2MLV|1AAC|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8AART|9AAC|aRCR
2	11323 62132	 * 	313.23	DCR|3MLV|2VULN|2DMG|1TLV|1CDMG	17VULN|2CDMG|379MLV|4LWND|5TLV|67DMG|7BPWR|8AETHUN|aRCR
3	11313 16424	   	305.77	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8AART|9ZMB|aRCR
4	11313 16467	   	305.77	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8AART|9FEWX|aRCR
5	11313 16437	   	305.67	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8AART|9DUST|aRCR
6	11313 16752	   	304.40	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8RPLT|9RAT|aRCR
7	11323 15424	 * 	304.03	DCR|2VULN|3TLV|2MLV|3CDMG|1ASPD	17VULN|267CDMG|38MLV|4LWND|567TLV|67BPWR|9ASPD|aRCR
8	11333 15424	   	303.93	DCR|2VULN|3TLV|2MLV|3CDMG|1ASPD	17VULN|267CDMG|38MLV|4BEXP|567TLV|67BPWR|9ASPD|aRCR
9	11313 16182	   	297.36	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8ERES|9LWND|aRCR
10	11313 16112	   	297.26	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8ERES|9BEXP|aRCR
11	11313 16152	   	297.26	DCR|3VULN|3TLV|2MLV|1CDMG	167VULN|2CDMG|37MLV|4MBVNT|567TLV|67BPWR|8ERES|9DUST|aRCR
12	11333 61535	 * 	297.04	DCR|2VULN|2MLV|2TLV|2ASPD|1CDMG	1aVULN|2CDMG|3aMLV|4BEXP|58TLV|6RCR|7BBNT|9aASPD|aBPWR
13	11313 14623	   	296.76	DCR|3VULN|2MLV|2TLV|1CDMG	169VULN|2CDMG|39MLV|4MBVNT|56TLV|69BPWR|7DUR|89LIT|aRCR
14	11323 15234	 * 	292.80	DCR|2VULN|3TLV|2ASPD|1MLV|3CDMG	17VULN|267CDMG|3MLV|4LWND|567TLV|67BPWR|89ASPD|aRCR
15	11333 15234	   	292.70	DCR|2VULN|3TLV|2ASPD|1MLV|3CDMG	17VULN|267CDMG|3MLV|4BEXP|567TLV|67BPWR|89ASPD|aRCR
