0	Index      	 *	Score 	Summary	Detail	
1	32134 34224	 * 	324.72	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	18VULN|2DUR|3AME|4MLV|5DUST|6aRCR|7TLV|9CDMG
2	32261 63133	 * 	321.97	DCR|DCR|3VULN|1TLV|2RAT	16aVULN|2DUR|38RAT|4TLV|5FEWX|79RCR
3	32266 63133	   	321.97	DCR|DCR|3VULN|1TLV|2RAT	16aVULN|2DUR|38RAT|4TLV|5LHND|79RCR
4	32262 63133	   	321.87	DCR|DCR|3VULN|1TLV|2RAT	16aVULN|2DUR|38RAT|4TLV|5DUST|79RCR
5	36261 63133	   	313.67	DCR|DCR|3VULN|1TLV|2RAT	16aVULN|2LWND|38RAT|4TLV|5FEWX|79RCR
6	36262 63133	   	313.57	DCR|DCR|3VULN|1TLV|2RAT	16aVULN|2LWND|38RAT|4TLV|5DUST|79RCR
7	32134 34242	   	311.07	DCR|DCR|2VULN|1TLV|1MLV	18VULN|2DUR|3AME|4MLV|5DUST|6aRCR|7TLV|9LIT
8	32134 34612	   	311.07	DCR|DCR|2VULN|1TLV|1MLV	19VULN|2DUR|3AME|4MLV|5DUST|6aRCR|7TLV|8LIT
9	32134 34234	   	310.82	DCR|DCR|2VULN|1TLV|1MLV|1SELL	18VULN|2DUR|3AME|4MLV|5DUST|6aRCR|7TLV|9SELL
10	63512 31632	   	302.86	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|2LIT|3MLV|4TBNT|59VULN|6TLV|7aRCR|8FEWX
11	63512 31132	   	302.76	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|2LIT|3MLV|4TBNT|59VULN|6TLV|7aRCR|8DUST
12	63512 31622	 * 	298.97	DCR|DCR|2MLV|1VULN|1TLV	1CGEN|2LIT|39MLV|4TBNT|5VULN|6TLV|7aRCR|8FEWX
13	63512 31122	   	298.87	DCR|DCR|2MLV|1VULN|1TLV	1CGEN|2LIT|39MLV|4TBNT|5VULN|6TLV|7aRCR|8DUST
14	32261 63131	   	298.51	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5FEWX|79RCR|aBBNT
15	32261 63136	   	298.51	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5FEWX|79RCR|aTBNT
16	32266 63131	   	298.51	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5LHND|79RCR|aBBNT
17	32114 34224	   	298.41	DCR|DCR|2VULN|1TLV|1CDMG	18VULN|2DUR|3AME|4ERES|5DUST|6aRCR|7TLV|9CDMG
18	32161 34224	   	298.41	DCR|DCR|2VULN|1TLV|1CDMG	18VULN|2DUR|3AME|4BEXP|5ERES|6aRCR|7TLV|9CDMG
19	32262 63131	   	298.41	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5DUST|79RCR|aBBNT
20	32262 63136	   	298.41	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5DUST|79RCR|aTBNT
21	32261 63132	   	298.41	DCR|DCR|2VULN|1TLV|2RAT|1MSE	16VULN|2DUR|38RAT|4TLV|5FEWX|79RCR|aMSE
22	32261 63134	   	298.41	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5FEWX|79RCR|aERES
23	32261 63135	   	298.41	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5FEWX|79RCR|aAEBURN
24	32266 63132	   	298.41	DCR|DCR|2VULN|1TLV|2RAT|1MSE	16VULN|2DUR|38RAT|4TLV|5LHND|79RCR|aMSE
25	32262 63132	   	298.31	DCR|DCR|2VULN|1TLV|2RAT|1MSE	16VULN|2DUR|38RAT|4TLV|5DUST|79RCR|aMSE
26	32262 63134	   	298.31	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5DUST|79RCR|aERES
27	32262 63135	   	298.31	DCR|DCR|2VULN|1TLV|2RAT	16VULN|2DUR|38RAT|4TLV|5DUST|79RCR|aAEBURN
28	16265 13133	   	296.64	DCR|DCR|1VULN|1TLV|1MLV|2RAT	1DUR|2LWND|38RAT|4TLV|5MLV|6AME|79RCR|aVULN
