0	Index      	 *	Score 	Summary	Detail	
1	13216 23653	 * 	282.36	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1RPLT|2VULN|3RAT|4BEXP|5ASPD|6aRCR|7AEBURN|8TLV|9CDMG
2	31216 26363	 * 	282.10	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AAC|2CGEN|3VULN|4ERES|5MLV|6RAT|7aRCR|8ASPD|9MBVNT
3	31261 16363	 * 	279.81	DCR|DCR|2VULN|1AAC|1ASPD	1AAC|2CGEN|36VULN|4RAT|5LWND|7aRCR|8ASPD|9MBVNT
4	13266 21153	   	276.67	DCR|DCR|2VULN|1ASPD|1CDMG	1RPLT|28VULN|3RAT|4LWND|5ASPD|6aRCR|7RMIN|9CDMG
5	13266 22153	   	276.67	DCR|DCR|2VULN|1ASPD|1CDMG	1RPLT|28VULN|3RAT|4LWND|5ASPD|6aRCR|7CGEN|9CDMG
6	13216 22153	   	276.57	DCR|DCR|2VULN|1ASPD|1CDMG	1RPLT|28VULN|3RAT|4BEXP|5ASPD|6aRCR|7CGEN|9CDMG
7	13216 26153	   	276.47	DCR|DCR|2VULN|1ASPD|1CDMG	1RPLT|28VULN|3RAT|4BEXP|5ASPD|6aRCR|7ERES|9CDMG
8	13512 23366	   	270.17	DCR|DCR|2VULN|1AAC|1CDMG	1RPLT|26VULN|3AAC|4LEGI|5LHND|7CDMG|8MDPS|9aRCR
9	35213 26163	   	269.35	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2LEGI|3DMSP|4VULN|5ZMB|6RAT|7aRCR|8TLV|9MBVNT
10	31236 26363	 * 	268.61	DCR|DCR|1VULN|2AAC|1ASPD	15AAC|2CGEN|3VULN|4LEGI|6RAT|7aRCR|8ASPD|9MBVNT
11	25312 23313	 * 	268.42	DCR|DCR|2VULN|1MLV	1TBNT|28VULN|3AME|4LHND|5MLV|6BELT|7aRCR|9FEWX
12	25312 23363	   	268.32	DCR|DCR|2VULN|1MLV	1TBNT|28VULN|3AME|4LHND|5MLV|6BELT|7aRCR|9BEXP
13	11126 61316	 * 	260.49	DCR|DCR|1TLV|1DMG|2CDMG	1RPLT|24CDMG|3TBNT|5RAT|6TLV|7DMG|8aRCR|9ERES
14	11326 61316	   	260.49	DCR|DCR|1TLV|1DMG|2CDMG	1RPLT|24CDMG|3BBNT|5RAT|6TLV|7DMG|8aRCR|9ERES
15	35633 26111	 * 	258.35	DCR|3VULN|1TLV|1MLV|1AAC	1AAC|2LEGI|34aVULN|4BPWR|5ZMB|6RAT|7RCR|8TLV|9MLV
16	32112 21252	 * 	258.11	DCR|2VULN|2MLV|2CDMG|1AAC|2DUR	1AAC|2aCDMG|3RCVC|4aDUR|57VULN|6CGEN|8RCR|9aMLV|aBPWR
17	32114 31252	   	258.10	DCR|2VULN|2MLV|2CDMG|1AAC|2DUR	1AAC|2aCDMG|3RCVC|4aDUR|5CGEN|67VULN|8RCR|9aMLV|aBPWR
18	32112 41252	   	258.01	DCR|2VULN|2MLV|2CDMG|1AAC|2DUR	1AAC|2aCDMG|3RCVC|4aDUR|57VULN|6ERES|8RCR|9aMLV|aBPWR
19	51321 34152	 * 	257.33	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2RCVC|3LWND|4aRCR|5VULN|6DMG|7MLV|8TLV|9RPLT
20	53321 34152	   	257.23	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2AEPOI|3LWND|4aRCR|5VULN|6DMG|7MLV|8TLV|9RPLT
21	31523 14362	 * 	256.68	DCR|2VULN|2ASPD|1MLV|1DMG|1AAC	1AAC|29CGEN|39ASPD|4DMG|5AART|6LIT|79VULN|8RCR|9BPWR|aMLV
22	13211 34653	 * 	254.18	DCR|DCR|1VULN|1DMG|1CDMG	1RPLT|2VULN|3RAT|4BEXP|5CGEN|6DMG|7RCVC|8aRCR|9CDMG
23	51321 24152	   	254.16	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1LIT|2RCVC|3LWND|4aRCR|5VULN|6AAC|7MLV|8TLV|9RPLT
24	13213 34653	   	254.08	DCR|DCR|1VULN|1DMG|1CDMG	1RPLT|2VULN|3RAT|4BEXP|5ERES|6DMG|7RCVC|8aRCR|9CDMG
25	13263 32653	   	254.08	DCR|DCR|1VULN|1DMG|1CDMG	1RPLT|2VULN|3RAT|4LWND|57ERES|6DMG|8aRCR|9CDMG
26	33433 34152	   	254.06	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1AAC|2LWND|3LIT|4VULN|5aRCR|6AEBURN|7MLV|8TLV|9RPLT
27	53321 24152	   	254.06	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1LIT|2AEPOI|3LWND|4aRCR|5VULN|6AAC|7MLV|8TLV|9RPLT
28	13213 32653	   	253.98	DCR|DCR|1VULN|1DMG|1CDMG	1RPLT|2VULN|3RAT|4BEXP|57ERES|6DMG|8aRCR|9CDMG
29	31223 64151	   	253.61	DCR|DCR|1VULN|1AAC|1ASPD	1AAC|2CGEN|3VULN|4LIT|5LEGI|6RAT|7ASPD|89RCR|aLHND
30	31223 64153	   	253.61	DCR|DCR|1VULN|1AAC|1ASPD	1AAC|2CGEN|3VULN|4LIT|5LEGI|6RAT|7ASPD|89RCR|aRCVC
31	31232 64151	   	253.61	DCR|DCR|1VULN|1AAC|1ASPD	1AAC|2CGEN|3VULN|4LEGI|5LIT|6RAT|7ASPD|89RCR|aLHND
32	31232 64153	   	253.61	DCR|DCR|1VULN|1AAC|1ASPD	1AAC|2CGEN|3VULN|4LEGI|5LIT|6RAT|7ASPD|89RCR|aRCVC
