0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34642 23321	9	 * 	293.45	DCR|5VULN|3DUR|1TLV|1AART	1DMSP|24578VULN|347DUR|47BPWR|6AART|9TLV|aRCR
2	12431 15232	2	 * 	292.75	DCR|4VULN|3DMG|3DUR	17aZMB|259aVULN|3LEGI|457DMG|57aBPWR|67aDUR|8RCR
3	14431 15232	1	   	292.75	DCR|4VULN|3DMG|3DUR	17aZMB|259aVULN|3LEGI|457DMG|57aBPWR|67aDUR|8RCR
4	65331 63231	1	 * 	286.04	DCR|3VULN|3DMG|1TLV|2ASPD|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9aASPD
5	65331 63221	1	   	278.20	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9CGEN|aASPD
6	65331 63232	1	   	278.20	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9ASPD|aFEWX
7	65331 63233	1	   	278.20	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9ASPD|aLHND
8	65331 63211	1	 * 	277.97	DCR|3VULN|3DMG|2TLV|1DUR	156VULN|2aTLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9BELT
9	62331 15532	3	 * 	277.23	DCR|3VULN|2DMG|2DUR|1TLV	157VULN|27BEXP|3ASPD|45DMG|57BPWR|67DUR|8LHND|9TLV|aRCR
10	63331 15532	3	   	277.23	DCR|3VULN|2DMG|2DUR|1TLV	157VULN|27FEWX|3ASPD|45DMG|57BPWR|67DUR|8LHND|9TLV|aRCR
11	65331 61213	1	 * 	274.69	DCR|4VULN|3DMG|1TLV	156aVULN|2TLV|3BEXP|456DMG|56BPWR|7FEWX|8RCR|9BELT
12	12316 23663	5	 * 	273.83	DCR|4VULN|3DUR|2TLV	137ZMB|238aVULN|37aBPWR|47FEWX|57aDUR|6RCR|9aTLV
13	12316 26363	5	   	273.83	DCR|4VULN|3DUR|2TLV	137ZMB|238aVULN|38aBPWR|48FEWX|58aDUR|6RCR|9aTLV
14	61331 63234	1	   	273.05	DCR|4VULN|3DMG|1DUR	156aVULN|2MLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9ASPD
15	62231 63234	3	   	273.05	DCR|4VULN|3DMG|1DUR	156aVULN|2BEXP|3MLV|456DMG|56BPWR|7DUR|8RCR|9ASPD
16	63231 63234	3	   	273.05	DCR|4VULN|3DMG|1DUR	156aVULN|2FEWX|3MLV|456DMG|56BPWR|7DUR|8RCR|9ASPD
