0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34111 33221	9	 * 	289.60	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	125aVULN|3LWND|4aDUR|6ASPD|7RCR|8DMG|9aTLV|aBPWR
2	34411 33513	3	 * 	289.51	DCR|4VULN|2DUR|2ASPD|1DMG|1AART	1289VULN|38ASPD|4RCVC|5AART|6RCR|78DUR|8BPWR|aDMG
3	34411 33511	3	 * 	288.99	DCR|5VULN|2DUR|2ASPD|1AART	1289aVULN|38ASPD|4RCVC|5AART|6RCR|78DUR|8BPWR
4	34431 33511	4	   	288.99	DCR|5VULN|2DUR|2ASPD|1AART	12489VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|aFEWX
5	34431 33512	4	   	288.99	DCR|5VULN|2DUR|2ASPD|1AART	12489VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|aLWND
6	34431 33513	4	   	288.99	DCR|5VULN|2DUR|2ASPD|1AART	12489VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|aRPLT
7	34431 33523	4	   	288.89	DCR|5VULN|2DUR|2ASPD|1AART	1248aVULN|38ASPD|5AART|6RCR|78DUR|8BPWR|9ERES
8	34111 33561	9	 * 	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	125aVULN|3LWND|4aDUR|6ASPD|7RCR|8MLV|9aDMG|aBPWR
9	34431 33521	4	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV|1AART	1248VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|9ERES|aTLV
10	34431 42222	8	 * 	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	1248VULN|38ASPD|5MLV|6ERES|78DMG|8BPWR|9DUR|aRCR
11	31224 11265	1	   	282.67	DCR|5VULN|2DUR|1CDMG|1ASPD	12489VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|aASPD
12	54132 25131	3	 * 	282.46	DCR|3VULN|3DMG|3DUR	1RMIN|27aVULN|367DUR|456DMG|67BPWR|8RCR|9RCVC
13	42135 32611	10	   	282.36	DCR|3VULN|3DMG|3DUR	168ERES|239DUR|489VULN|589DMG|7BELT|89BPWR|aRCR
14	33344 61133	4	   	282.18	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9CGEN|aASPD
15	33364 61133	3	   	282.18	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9CGEN|aASPD
16	36212 62131	3	 * 	281.41	DCR|4VULN|2ASPD|2CDMG|1TLV|1DUR	147aVULN|2RPLT|3aCDMG|5DUR|6TLV|8RCR|9aASPD|aBPWR
17	36215 62131	5	   	281.41	DCR|4VULN|2ASPD|2CDMG|1TLV|1DUR	157aVULN|2RPLT|3aCDMG|4DUR|6TLV|8RCR|9aASPD|aBPWR
18	31224 11233	1	   	280.49	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|9DMG|aLIT
19	34224 11233	2	   	280.49	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aLIT
20	34324 11233	3	   	280.49	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aLIT
21	31224 11266	1	   	279.97	DCR|5VULN|2DUR|1CDMG	12489VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|aLIT
22	36224 62131	3	 * 	279.75	DCR|4VULN|2DUR|2ASPD|2CDMG	167aVULN|2RPLT|3aCDMG|4ERES|56DUR|6aBPWR|8RCR|9aASPD
23	36234 62131	4	   	279.75	DCR|4VULN|2DUR|2ASPD|2CDMG	167aVULN|2RPLT|3aCDMG|4ERES|56DUR|6aBPWR|8RCR|9aASPD
24	34431 33353	4	   	279.10	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	124aVULN|3ASPD|5AART|6RCR|79DUR|8DMG
25	32431 33515	4	   	278.78	DCR|5VULN|2DUR|1ASPD|1AART	13489VULN|28ZMB|5AART|6RCR|78DUR|8BPWR|aASPD
