0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62421 22512	10	 * 	281.42	DCR|4VULN|3DUR|1DMG|1AART	1ZMB|2AART|359DUR|457aVULN|5BPWR|6DMG|8RCR
2	13536 33143	8	 * 	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1DUST|2aDUR|3FEWX|4TLV|57aVULN|6RCR|8ASPD|9aDMG|aBPWR
3	53626 33333	8	 * 	274.36	DCR|5VULN|2DUR|1TLV	1aFEWX|2aDUR|3BEXP|4TLV|5789aVULN|6RCR|aBPWR
4	13536 33333	8	   	274.16	DCR|5VULN|2DUR|1TLV	1aDUST|2aDUR|3FEWX|4TLV|5789aVULN|6RCR|aBPWR
5	13142 13231	10	 * 	271.04	DCR|5VULN|3DUR	19DUST|234DUR|56789VULN|9BPWR|aRCR
6	13142 16341	8	   	271.04	DCR|5VULN|3DUR	1DUST|234DUR|5689aVULN|7RCR
7	55111 42232	5	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17FEWX|279VULN|38DUR|4DUST|57DMG|6RCR|7BPWR|aTLV
8	55111 62232	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17FEWX|279VULN|38DUR|4DUST|57DMG|6RCR|7BPWR|aTLV
9	62421 22523	9	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	1ZMB|2AART|35DUR|457aVULN|5BPWR|6DMG|8RCR|9CGEN
10	53626 33233	7	   	268.05	DCR|4VULN|3DUR|1TLV	1aFEWX|28aDUR|3BEXP|4TLV|579aVULN|6RCR|aBPWR
11	53626 33313	8	   	268.05	DCR|4VULN|3DUR|1TLV	1aFEWX|29aDUR|3BEXP|4TLV|578aVULN|6RCR|aBPWR
12	13536 33233	7	   	267.85	DCR|4VULN|3DUR|1TLV	1aDUST|28aDUR|3FEWX|4TLV|579aVULN|6RCR|aBPWR
13	13536 33313	8	   	267.85	DCR|4VULN|3DUR|1TLV	1aDUST|29aDUR|3FEWX|4TLV|578aVULN|6RCR|aBPWR
14	13536 34233	6	   	267.85	DCR|4VULN|3DUR|1TLV	1aDUST|28aDUR|3FEWX|4TLV|579aVULN|6RCR|aBPWR
15	62421 22533	8	   	267.51	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1ZMB|2AART|35DUR|457VULN|5BPWR|6DMG|8RCR|9LIT|aCDMG
16	55111 42213	5	 * 	266.71	DCR|3VULN|3DUR|2DMG	17FEWX|27aVULN|389DUR|4DUST|57DMG|6RCR|7BPWR
17	55111 62213	6	   	266.71	DCR|3VULN|3DUR|2DMG	17FEWX|27aVULN|389DUR|4DUST|57DMG|6RCR|7BPWR
18	13142 16326	8	   	266.51	DCR|3VULN|3DUR|2DMG	1DUST|234DUR|568VULN|7RCR|9aDMG
19	51126 33143	8	   	266.25	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|2aLHND|3DUR|4TLV|57aVULN|6RCR|8ASPD|9aDMG|aBPWR
20	55122 33143	8	   	266.25	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|27aVULN|3DUR|4TLV|5aLHND|6RCR|8ASPD|9aDMG|aBPWR
21	55123 33143	8	   	266.25	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|27aVULN|3DUR|4TLV|5aBEXP|6RCR|8ASPD|9aDMG|aBPWR
22	55121 33143	8	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|27aVULN|3DUR|4TLV|5aDUST|6RCR|8ASPD|9aDMG|aBPWR
23	13142 16316	9	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	1DUST|234DUR|568VULN|7RCR|9TLV|aDMG
24	55114 33333	8	 * 	263.39	DCR|5VULN|2TLV|1DUR	1aFEWX|2789aVULN|3DUR|4DUST|5aTLV|6RCR|aBPWR
25	22114 62341	1	 * 	262.95	ACR|3VULN|3DMG|2DUR|3CDMG	1RCR|257DMG|345CDMG|57BPWR|67DUR|89aVULN
26	46211 12151	2	 * 	262.38	DCR|4VULN|2CDMG|1DMG|2LIT|1SELL	1SELL|2579VULN|39LIT|4DMG|6BEXP|89CDMG|9BPWR|aRCR
27	22135 11333	10	 * 	261.13	ACR|3VULN|3DMG|3DUR|1ASPD|1SELL	1RCR|28DMSP|3SELL|49aVULN|5ASPD|69aDMG|79aDUR|9aBPWR
28	51126 33322	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2LHND|3DUR|4TLV|5789VULN|6RCR|aDMG
29	55122 33322	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2789VULN|3DUR|4TLV|5LHND|6RCR|aDMG
30	24163 35333	8	 * 	260.08	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2aDMG|3RMIN|4TLV|589aVULN|6MBVNT|7aDUR|aBPWR
31	53142 16322	7	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1FEWX|234DUR|568VULN|7RCR|9DMG|aASPD
32	13142 16322	8	   	259.93	DCR|3VULN|3DUR|1DMG|1ASPD	1DUST|234DUR|568VULN|7RCR|9DMG|aASPD
33	51126 33323	9	   	259.78	DCR|5VULN|1TLV|1DUR	1aFEWX|2aLHND|3DUR|4TLV|5789aVULN|6RCR|aBPWR
34	55122 33323	9	   	259.78	DCR|5VULN|1TLV|1DUR	1aFEWX|2789aVULN|3DUR|4TLV|5aLHND|6RCR|aBPWR
35	55123 33333	8	   	259.78	DCR|5VULN|1TLV|1DUR	1aFEWX|2789aVULN|3DUR|4TLV|5aBEXP|6RCR|aBPWR
36	15133 35333	8	   	259.68	DCR|5VULN|1TLV|1DUR	17aDUST|2789aVULN|3DUR|4TLV|57aBEXP|6RCR|7aBPWR
37	24423 33162	8	 * 	259.58	ACR|4VULN|3DMG|2DUR	1RCR|239DMG|4CGEN|59DUR|6RMIN|789aVULN|9BPWR
38	11136 33323	9	   	259.58	DCR|5VULN|1DUR|1TLV	1aDUST|2aLHND|3DUR|4TLV|5789aVULN|6RCR|aBPWR
39	15132 33323	9	   	259.58	DCR|5VULN|1DUR|1TLV	1aDUST|2789aVULN|3DUR|4TLV|5aLHND|6RCR|aBPWR
40	15133 33333	8	   	259.58	DCR|5VULN|1TLV|1DUR	1aDUST|2789aVULN|3DUR|4TLV|5aBEXP|6RCR|aBPWR
41	55121 33333	8	   	259.58	DCR|5VULN|1TLV|1DUR	1aFEWX|2789aVULN|3DUR|4TLV|5aDUST|6RCR|aBPWR
42	62421 22521	10	   	259.21	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1ZMB|2AART|35DUR|457VULN|5BPWR|6DMG|8RCR|9CGEN|aCDMG
43	65316 13313	7	 * 	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ZMB|24DMG|34CDMG|4BPWR|5TLV|6RCR|7DUR|8ASPD|9aVULN
44	65316 13313	6	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ZMB|24DMG|34CDMG|4BPWR|5TLV|6RCR|7DUR|8ASPD|9aVULN
45	62421 22124	7	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1ZMB|2AART|358DUR|457VULN|5BPWR|6DMG|9RMIN|aRCR
46	62421 22511	9	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1aZMB|2AART|359DUR|457VULN|5BPWR|6DMG|8RCR
47	62421 22513	9	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1ZMB|2AART|359DUR|457VULN|5BPWR|6DMG|8RCR|aCGEN
48	62421 22513	10	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1ZMB|2AART|359DUR|457VULN|5BPWR|6DMG|8RCR|aCGEN
49	65316 12212	6	 * 	258.76	DCR|3VULN|2DMG|2CDMG|1TLV|1NUKE	1ZMB|24DMG|34CDMG|4BPWR|5TLV|6RCR|7NUKE|89aVULN
50	62421 22511	10	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1ZMB|2AART|359DUR|457VULN|5BPWR|6DMG|8RCR|aERES
51	62421 22512	9	   	258.68	DCR|3VULN|3DUR|1DMG|1NUKE|1AART	1ZMB|2AART|359DUR|457VULN|5BPWR|6DMG|8RCR|aNUKE
52	55111 12423	7	 * 	258.61	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1FEWX|2aVULN|3DUR|4DUST|56aDMG|7ASPD|8RCR|9aTLV|aBPWR
53	55114 33233	7	 * 	258.44	DCR|4VULN|2DUR|2TLV	1aFEWX|279aVULN|38DUR|4DUST|5aTLV|6RCR|aBPWR
54	55114 33313	8	   	258.44	DCR|4VULN|2DUR|2TLV	1aFEWX|278aVULN|39DUR|4DUST|5aTLV|6RCR|aBPWR
55	53122 42252	4	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1FEWX|23DUR|4CDMG|56aVULN|7ASPD|8RCR|9TLV
56	13122 42253	4	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1DUST|23DUR|4CDMG|56aVULN|7ASPD|8RCR|9TLV
57	13536 33413	6	   	256.23	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	1DUST|2aDUR|3FEWX|4TLV|5aVULN|6RCR|7CDMG|8aDMG|9SELL|aBPWR
58	13142 16312	9	   	256.11	DCR|3VULN|3DUR|1TLV|1ASPD	1DUST|234DUR|568VULN|7RCR|9TLV|aASPD
59	15411 34142	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	19DUST|2TLV|39DMG|4DUR|5BEXP|6MBVNT|7RCR|89aVULN|9BPWR
60	51126 33323	8	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|2aLHND|39DUR|4TLV|578aVULN|6RCR|aBPWR
61	55122 33323	8	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|278aVULN|39DUR|4TLV|5aLHND|6RCR|aBPWR
