0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36235 26122	8	 * 	303.20	DCR|4VULN|3DUR|2DMG|1TLV	167DUR|23BEXP|47DMG|5679VULN|67BPWR|8TLV|aRCR
2	33335 26115	10	   	290.46	DCR|3VULN|3DUR|2DMG|1TLV	167DUR|2ZMB|3RMIN|47DMG|567VULN|67BPWR|8TLV|9LIT|aRCR
3	33335 26513	8	   	285.30	DCR|4VULN|3DUR|2DMG	167DUR|2ZMB|3RMIN|47DMG|5678VULN|67BPWR|9RCR|aLIT
4	23411 32223	2	 * 	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1aMLV|257aVULN|3DUR|49TLV|6aDMG|8RCR|aBPWR
5	33313 56223	7	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	17aDUR|2ZMB|3RMIN|457VULN|67DMG|7BPWR|8RCR|9TLV
6	36235 16122	8	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	167DUR|23BEXP|47DMG|579VULN|7BPWR|8TLV|aRCR
7	35335 21511	8	   	277.00	DCR|4VULN|3DUR|2DMG	167DUR|2aMLV|3RMIN|4aDMG|568aVULN|6aBPWR|9RCR
8	36235 26322	8	   	277.00	DCR|4VULN|3DUR|2DMG	167DUR|23BEXP|47DMG|5679VULN|67BPWR|8MLV|aRCR
9	33335 26511	8	   	277.00	DCR|4VULN|3DUR|2DMG	167DUR|2ZMB|3RMIN|47DMG|5678VULN|67BPWR|9RCR|aMLV
10	35335 22211	8	   	277.00	DCR|4VULN|3DUR|2DMG	168DUR|2aMLV|3RMIN|4aDMG|567aVULN|6aBPWR|9RCR
11	35311 32223	2	 * 	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aDUR|2aMLV|357VULN|49TLV|6aDMG|8RCR|aBPWR
12	23416 32223	2	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aMLV|27aVULN|35DUR|49TLV|6aDMG|8RCR|aBPWR
13	33335 26512	8	   	276.90	DCR|4VULN|3DUR|2DMG	167DUR|2ZMB|3RMIN|47DMG|5678VULN|67BPWR|9RCR|aBBNT
14	36311 12223	1	   	276.70	DCR|3VULN|2DMG|2TLV|2DUR	1aDUR|2aDMG|357VULN|49TLV|6aERES|8RCR|aBPWR
15	23411 32263	2	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	1aMLV|257aVULN|3DUR|4TLV|6aDMG|8RCR|9RCVC|aBPWR
16	32153 14214	4	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	19DUR|27LIT|39aVULN|4MLV|5DMG|6RCR|89TLV|9BPWR
17	34331 33451	3	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	17DUR|2BELT|34LIT|57TLV|679VULN|7BPWR|8DMG|aRCR
18	35323 14214	2	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	19DUR|2MLV|39aVULN|47LIT|5DMG|6RCR|89TLV|9BPWR
19	32128 14336	2	   	273.92	DCR|3VULN|3DUR|1TLV|3LIT	138DUR|289LIT|4MBVNT|589VULN|6RCR|7AART|89BPWR|aTLV
20	32132 14336	4	   	273.92	DCR|3VULN|3DUR|1TLV|3LIT	148DUR|289LIT|389VULN|5MBVNT|6RCR|7AART|89BPWR|aTLV
21	32162 14336	3	   	273.92	DCR|3VULN|3DUR|1TLV|3LIT	148DUR|289LIT|389VULN|5MBVNT|6RCR|7AART|89BPWR|aTLV
22	23156 23242	8	   	273.76	DCR|4VULN|3DUR|1TLV	1MLV|2567VULN|3RCVC|456DUR|56BPWR|8TLV|9LIT|aRCR
23	23156 23261	8	 * 	273.53	DCR|4VULN|3DUR|2TLV	1MLV|2567VULN|3RCVC|456DUR|56BPWR|89TLV|aRCR
