0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13145 33613	9	 * 	301.16	DCR|5VULN|3DUR|2TLV	1367aVULN|27BEXP|4AART|57aDUR|7aBPWR|8RCR|9aTLV
2	11533 66223	8	 * 	292.72	DCR|3VULN|3DUR|2DMG|1TLV	12aVULN|2aBPWR|3TLV|4RMIN|58aDUR|6AART|7RCR|9aDMG
3	11533 66233	9	   	292.72	DCR|3VULN|3DUR|2DMG|1TLV	12aVULN|2aBPWR|3TLV|4RMIN|58aDUR|6AART|7RCR|9aDMG
4	11225 55211	8	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1257VULN|2BPWR|36DUR|4TLV|8CDMG|9DMG|aRCR
5	12333 35243	10	   	288.11	DCR|4VULN|3DUR|1DMG|1TLV	1678VULN|2TLV|3MBVNT|48LHND|568DUR|68BPWR|9DMG|aRCR
6	12383 35243	10	   	288.11	DCR|4VULN|3DUR|1DMG|1TLV	1678VULN|2TLV|3MBVNT|48FEWX|568DUR|68BPWR|9DMG|aRCR
7	13125 56213	8	   	287.74	DCR|5VULN|2DUR|2TLV	1357aVULN|2BEXP|4aTLV|6aDUR|8AART|9RCR|aBPWR
8	11325 56213	8	   	287.64	DCR|5VULN|2DUR|2TLV	1257aVULN|2aBPWR|3DUST|4aTLV|6aDUR|8AART|9RCR
9	12346 38743	5	 * 	286.47	DCR|4VULN|2DMG|2ASPD|2TLV	145aVULN|24TLV|3MBVNT|4aBPWR|6DLOT|7aDMG|8RCR|9aASPD
10	11242 21461	4	   	286.06	DCR|4VULN|2DMG|1DUR|2LIT	1289VULN|28BPWR|3DUR|4AART|58DMG|6TBNT|78LIT|aRCR
11	13145 33631	10	   	284.55	DCR|4VULN|2DUR|1DMG|1TLV	1367VULN|27BEXP|4AART|57DUR|7BPWR|8RCR|9DMG|aTLV
12	11223 43341	4	   	284.45	DCR|4VULN|2DUR|2CDMG|1TLV	1278VULN|27BPWR|37DUR|4TLV|5ZMB|67CDMG|9RCR|aAART
13	14123 43341	4	   	284.45	DCR|4VULN|2DUR|2CDMG|1TLV	1378VULN|27DUR|4TLV|5ZMB|67CDMG|7BPWR|9RCR|aAART
14	13226 63613	9	   	281.62	DCR|4VULN|3DUR|2TLV	147aVULN|27BEXP|37aDUR|5RCVC|6AART|7aBPWR|8RCR|9aTLV
15	13642 34213	8	   	281.52	DCR|4VULN|3DUR|2TLV	167aVULN|2BEXP|3aTLV|46aDUR|5AART|6aBPWR|8RCVC|9RCR
16	13145 36213	9	   	281.42	DCR|4VULN|3DUR|2TLV	136aVULN|2BEXP|4AART|58aDUR|7RCR|9aTLV|aBPWR
17	11345 36213	9	   	281.32	DCR|4VULN|3DUR|2TLV	126aVULN|2aBPWR|3DUST|4AART|58aDUR|7RCR|9aTLV
18	11345 32313	8	   	280.80	DCR|5VULN|3DUR	1268aVULN|28aBPWR|3DUST|4AART|58aDUR|78aERES|9RCR
19	11225 55121	9	   	279.28	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1257VULN|2BPWR|36DUR|4TLV|8ASPD|9CDMG|aRCR
20	11433 66333	7	 * 	278.90	DCR|3VULN|3DMG|2DUR	12aVULN|2aBPWR|3CGEN|4RMIN|5aDUR|6AART|7RCR|89aDMG
21	11543 43321	5	   	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1278VULN|27BPWR|37TLV|4ZMB|59DUR|67CDMG|aRCR
22	12553 43321	2	   	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1378VULN|27TLV|49DUR|5ZMB|67CDMG|7BPWR|aRCR
23	11553 43321	3	   	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1278VULN|27BPWR|37TLV|49DUR|5ZMB|67CDMG|aRCR
24	22351 38721	8	   	277.93	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|26DUR|3MBVNT|4AART|568aVULN|6BPWR|7CDMG|9RCR
25	11526 13311	9	   	277.92	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	127VULN|27BPWR|37TLV|4MLV|5CDMG|67DUR|8LIT|9DMG|aRCR
26	11526 13315	10	   	277.92	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	127VULN|27BPWR|37TLV|4MLV|5CDMG|67DUR|8LIT|9DMG|aRCR
27	11556 13311	9	   	277.92	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	127VULN|27BPWR|37TLV|4CGEN|5CDMG|67DUR|8LIT|9DMG|aRCR
28	12346 24724	6	   	277.88	DCR|5VULN|2DUR|3TLV	1459aVULN|246TLV|3MBVNT|49BPWR|79DUR|8RCR
29	11516 13311	9	   	277.82	DCR|3VULN|2DUR|1DMG|2TLV|1CDMG	127VULN|27BPWR|37TLV|4ERES|5CDMG|67DUR|8LIT|9DMG|aRCR
30	11516 13315	10	   	277.82	DCR|3VULN|2DUR|1DMG|2TLV|1CDMG	127VULN|27BPWR|37TLV|4ERES|5CDMG|67DUR|8LIT|9DMG|aRCR
31	11243 36261	10	   	277.51	DCR|4VULN|3DUR|1TLV	1269VULN|29BPWR|389DUR|4AART|59DUST|7RCR|aTLV
32	11225 25211	8	   	277.47	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	1257VULN|2BPWR|3DUR|46TLV|8CDMG|9DMG|aRCR
33	14125 25211	8	   	277.47	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	1357VULN|2DUR|46TLV|8CDMG|9DMG|aRCR
34	43231 15612	3	 * 	277.22	DCR|4VULN|2DUR|2ASPD|2AART	17ASPD|2CGEN|34AART|5789VULN|67DUR|7BPWR|aRCR
35	41231 15612	3	   	277.12	DCR|4VULN|2DUR|2ASPD|2AART	17ASPD|2ERES|34AART|5789VULN|67DUR|7BPWR|aRCR
36	14432 32225	5	   	276.93	DCR|3VULN|2DMG|2TLV|1DUR	18aVULN|2DUR|3aDMG|4LHND|5AART|6LIT|7RCR|9aTLV|aBPWR
37	14141 11163	4	   	276.76	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	137VULN|27DUR|4AART|5BELT|67LIT|7BPWR|8RCR|9TLV|aDMG
38	11241 11163	4	   	276.76	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	127VULN|27BPWR|37DUR|4AART|5BELT|67LIT|8RCR|9TLV|aDMG
39	11241 11526	4	   	276.76	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	127VULN|27BPWR|37DUR|4AART|5BELT|67LIT|8DMG|9TLV|aRCR
40	11433 66223	8	   	276.47	DCR|3VULN|3DUR|2DMG	12aVULN|2aBPWR|3CGEN|4RMIN|58aDUR|6AART|7RCR|9aDMG
41	11433 66233	9	   	276.47	DCR|3VULN|3DUR|2DMG	12aVULN|2aBPWR|3CGEN|4RMIN|58aDUR|6AART|7RCR|9aDMG
42	11236 33663	10	 * 	276.12	DCR|4VULN|2DMG|2DUR	126aVULN|2aBPWR|3aDUR|4BEXP|5RCVC|7DUST|8RCR|9aDMG
43	12351 42224	4	 * 	276.04	DCR|3VULN|3DUR|3ASPD|1TLV	17aVULN|2TLV|3MBVNT|49aDUR|58aASPD|6RCR|aBPWR
44	63131 15612	3	   	275.87	DCR|4VULN|2DUR|1DMG|2AART	17ERES|24AART|3DMG|5789VULN|67DUR|7BPWR|aRCR
45	14165 23321	2	   	275.78	DCR|4VULN|2DMG|2DUR|1SELL	1678VULN|29DUR|3SELL|47ERES|57DMG|7BPWR|aRCR
46	13145 33613	10	   	275.49	DCR|4VULN|2DUR|1TLV|1ASPD	1367VULN|27BEXP|4AART|57DUR|7BPWR|8RCR|9TLV|aASPD
47	26246 11723	1	   	274.91	DCR|4VULN|2DMG|2TLV	1aTLV|2ZMB|3MBVNT|4AART|567aVULN|8RCR|9aDMG|aBPWR
48	12358 35243	10	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	1678VULN|2TLV|3MBVNT|48DUR|568BEXP|68BPWR|9DMG|aRCR
49	11223 43345	4	   	274.79	DCR|4VULN|2DUR|2CDMG|1TLV	1278VULN|27BPWR|37DUR|4TLV|5ZMB|67CDMG|9RCR|aDMSP
50	14325 34422	3	 * 	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18aVULN|29DUR|38ASPD|4RPLT|58DMG|6MBVNT|7RCR|8BPWR
51	42525 34422	2	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|29DUR|38aVULN|4RPLT|58DMG|6MBVNT|7RCR|8BPWR
52	11223 43342	4	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	1278VULN|27BPWR|37DUR|4TLV|5ZMB|67CDMG|9RCR|aTBNT
53	11223 43344	4	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	1278VULN|27BPWR|37DUR|4TLV|5ZMB|67CDMG|9RCR|aDUST
54	11223 43346	4	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	1278VULN|27BPWR|37DUR|4TLV|5ZMB|67CDMG|9RCR|aBBNT
55	14123 43342	4	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	1378VULN|27DUR|4TLV|5ZMB|67CDMG|7BPWR|9RCR|aTBNT
56	14125 16213	8	   	273.15	DCR|5VULN|2TLV|1DUR	1357aVULN|2DUR|4aTLV|6aBEXP|8AART|9RCR|aBPWR
57	11225 16213	8	   	273.15	DCR|5VULN|2TLV|1DUR	1257aVULN|2aBPWR|3DUR|4aTLV|6aBEXP|8AART|9RCR
58	11241 36513	9	   	273.15	DCR|5VULN|2TLV|1DUR	1268aVULN|2aBPWR|3DUR|4AART|5aLHND|7RCR|9aTLV
59	11243 36513	9	   	272.95	DCR|5VULN|2TLV|1DUR	1268aVULN|2aBPWR|3DUR|4AART|5aDUST|7RCR|9aTLV
60	13145 33612	10	   	272.79	DCR|4VULN|2DUR|1TLV	1367VULN|27BEXP|4AART|57DUR|7BPWR|8RCR|9TLV|aLIT
61	11232 53641	8	   	272.19	DCR|4VULN|2DUR|2TLV|1CDMG	127aVULN|27BPWR|37DUR|4BEXP|5MLV|67TLV|8RCR|9CDMG
62	11511 23641	8	   	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	127aVULN|27BPWR|37TLV|4ERES|5FEWX|67DUR|8RCR|9CDMG
63	11225 42411	6	   	272.01	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	125VULN|2BPWR|38DUR|4TLV|67CDMG|9DMG|aRCR
64	12357 42451	5	   	271.99	DCR|4VULN|2DUR|2TLV|1CDMG|1NUKE	178aVULN|28TLV|3MBVNT|48DUR|5NUKE|6RCR|8BPWR|9CDMG
65	12118 13784	9	   	271.86	DCR|4VULN|3DUR|2TLV	178aVULN|28TLV|378CGEN|4MBVNT|567DUR|78BPWR|9RCR
66	12318 13784	9	   	271.86	DCR|4VULN|3DUR|2TLV	178aVULN|28TLV|3MBVNT|478CGEN|567DUR|78BPWR|9RCR
67	12345 84424	4	   	271.86	DCR|4VULN|3DUR|3TLV	1489VULN|248TLV|3MBVNT|489BPWR|5ZMB|69FEWX|789DUR|aRCR
68	11218 43282	5	   	271.76	DCR|4VULN|3DUR|1DMG	1279VULN|29BPWR|359DUR|4MBVNT|6RCR|89MLV|aDMG
69	14118 43282	5	   	271.76	DCR|4VULN|3DUR|1DMG	1379VULN|259DUR|4MBVNT|6RCR|89MLV|9BPWR|aDMG
70	23218 13484	9	   	271.66	DCR|4VULN|3DUR|2TLV	17TLV|2CGEN|357DUR|4MBVNT|678aVULN|7BPWR|9RCR
71	21218 13484	9	   	271.56	DCR|4VULN|3DUR|2TLV	17TLV|2ERES|357DUR|4MBVNT|678aVULN|7BPWR|9RCR
72	11218 31117	6	   	271.56	DCR|4VULN|3DUR|1DMG	126aVULN|2BPWR|357DUR|4MBVNT|8DMG|9RCR
73	11218 43382	5	   	271.56	DCR|4VULN|3DUR|1DMG	1279VULN|29BPWR|359DUR|4MBVNT|6RCR|89ERES|aDMG
74	14118 31117	6	   	271.56	DCR|4VULN|3DUR|1DMG	136aVULN|257DUR|4MBVNT|8DMG|9RCR
75	14118 43382	5	   	271.56	DCR|4VULN|3DUR|1DMG	1379VULN|259DUR|4MBVNT|6RCR|89ERES|9BPWR|aDMG
76	21214 13454	9	   	271.56	DCR|4VULN|3DUR|3TLV	157TLV|289ERES|378DUR|4MBVNT|6789VULN|789BPWR|aRCR
77	21218 13754	9	   	271.56	DCR|4VULN|3DUR|3TLV	178TLV|289ERES|357DUR|4MBVNT|6789VULN|789BPWR|aRCR
78	14323 23312	2	   	271.44	DCR|5VULN|3DUR	13789VULN|238DUR|38BPWR|4LWND|5MLV|68ZMB|aRCR
79	14343 23312	2	   	271.44	DCR|5VULN|3DUR	13789VULN|238DUR|38BPWR|4LHND|5MLV|68ZMB|aRCR
80	11218 43287	5	   	271.24	DCR|5VULN|3DUR	1279aVULN|29BPWR|359DUR|4MBVNT|6RCR|89MLV
81	12142 56231	4	   	271.20	DCR|4VULN|2DMG|1TLV	168aVULN|2TLV|3CGEN|4AART|56DMG|6BPWR|7RPLT|9RCR
