0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53447 51322	8	 * 	293.40	DCR|4VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|235aVULN|3aBPWR|4aASPD|6RCR|7DMG|8CDMG|9aDUR
2	52834 31812	1	 * 	281.37	DCR|2VULN|3DMG|3DUR|1TLV|1AART	1MBVNT|2AART|348DMG|5TLV|68VULN|78aDUR|8BPWR|9RCR
3	53562 12233	8	 * 	281.32	DCR|4VULN|3DUR|3TLV|1AART	1MBVNT|2579VULN|3AART|478DUR|679TLV|79BPWR|aRCR
4	53443 63127	4	 * 	279.65	DCR|4VULN|2DUR|2ASPD|2CDMG	1MBVNT|2379VULN|39BPWR|48ASPD|59DUR|69CDMG|aRCR
5	53447 52121	6	 * 	278.40	DCR|4VULN|3ASPD|1DMG|2CDMG	1MBVNT|2359VULN|39BPWR|489ASPD|6RCR|79CDMG|aDMG
6	52834 31813	1	   	275.91	DCR|2VULN|3DMG|2DUR|2AART|1TLV	1MBVNT|2aAART|348DMG|5TLV|68VULN|78DUR|8BPWR|9RCR
7	53447 47124	6	   	275.84	DCR|4VULN|2DUR|2ASPD|1TLV	1MBVNT|2356VULN|36BPWR|46ASPD|7TLV|89DUR|aRCR
8	53122 12616	10	 * 	275.01	DCR|4VULN|2DMG|3TLV|1AART	1MBVNT|257aVULN|37LHND|4AART|67aTLV|7aBPWR|8aDMG|9RCR
9	53322 12616	10	   	274.81	DCR|4VULN|2DMG|3TLV|1AART	1MBVNT|257aVULN|3LEGI|4AART|67aTLV|7aBPWR|8aDMG|9RCR
10	53447 51113	7	 * 	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1MBVNT|23589VULN|3BPWR|4ASPD|6RCR|7DMG|aDUR
11	53447 51413	8	   	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1MBVNT|23589VULN|3BPWR|4ASPD|6RCR|7DMG|aDUR
12	53447 51121	7	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1MBVNT|2358VULN|3BPWR|4ASPD|6RCR|7aDMG|9DUR
13	53447 51421	8	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1MBVNT|2358VULN|3BPWR|4ASPD|6RCR|7aDMG|9DUR
14	53447 51431	9	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1MBVNT|2358VULN|3BPWR|4ASPD|6RCR|7aDMG|9DUR
15	53447 43731	9	   	272.13	DCR|4VULN|2ASPD|1DMG|1CDMG|1AART	1MBVNT|2356VULN|36BPWR|46ASPD|7AART|8CDMG|9DMG|aRCR
16	52223 32664	2	 * 	271.38	ACR|3VULN|3DMG|3DUR|2ASPD	1MBVNT|2RCR|39aDMG|469DUR|5ERES|7aASPD|89aVULN|9aBPWR
17	53442 51322	8	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|23aVULN|3aBPWR|4aASPD|5RCVC|6RCR|7DMG|8CDMG|9aDUR
18	53442 51822	7	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|23aVULN|3aBPWR|4aASPD|5RCVC|6RCR|7DMG|8CDMG|9aDUR
19	53742 51322	8	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|23aVULN|4aASPD|5RCVC|6RCR|7DMG|8CDMG|9aDUR|aBPWR
20	53136 22417	9	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|24aVULN|3LHND|5aASPD|6DMG|7RCR|8CDMG|9aDUR|aBPWR
21	53831 36211	7	 * 	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|289VULN|3BELT|48DMG|5FEWX|6TLV|78DUR|8BPWR|aRCR
22	53832 36211	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|289VULN|3BELT|48DMG|5LHND|6TLV|78DUR|8BPWR|aRCR
23	53872 33211	5	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|289VULN|3BELT|48DUR|5LHND|6TLV|78DMG|8BPWR|aRCR
24	53361 73211	5	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|289VULN|3LEGI|4TLV|58DUR|6BELT|78DMG|8BPWR|aRCR
25	53361 73211	4	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|289VULN|3LEGI|4TLV|58DUR|6BELT|78DMG|8BPWR|aRCR
26	53444 22452	9	   	268.78	DCR|4VULN|2ASPD|1DMG|2CDMG	1MBVNT|239aVULN|3aBPWR|4aASPD|5DUST|6DMG|7RCR|8aCDMG
27	53744 22452	9	   	268.78	DCR|4VULN|2ASPD|1DMG|2CDMG	1MBVNT|239aVULN|4aASPD|5DUST|6DMG|7RCR|8aCDMG|aBPWR
28	52722 63122	2	 * 	268.48	ACR|4VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|2RCR|347aVULN|5aDMG|6CDMG|8ASPD|9aDUR|aBPWR
29	52726 42122	2	   	268.48	ACR|4VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|2RCR|345aVULN|6aDMG|7CDMG|8ASPD|9aDUR|aBPWR
30	53441 24812	4	 * 	268.25	DCR|5VULN|2ASPD|2TLV	1MBVNT|2357aVULN|3aBPWR|4aASPD|6BBNT|8RCR|9aTLV
31	53447 24812	5	   	268.25	DCR|5VULN|2ASPD|2TLV	1MBVNT|2357aVULN|3aBPWR|4aASPD|6BBNT|8RCR|9aTLV
32	53447 51111	8	 * 	268.25	DCR|5VULN|2ASPD|1DMG	1MBVNT|2359aVULN|3BPWR|48ASPD|6RCR|7DMG
33	53741 24812	4	   	268.25	DCR|5VULN|2ASPD|2TLV	1MBVNT|2357aVULN|4aASPD|6BBNT|8RCR|9aTLV|aBPWR
34	52834 31811	1	   	268.14	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1MBVNT|2AART|348DMG|5TLV|68VULN|78DUR|8BPWR|9RCR|aBEXP
35	52834 31814	1	   	268.14	DCR|2VULN|3DMG|2DUR|1TLV|1AART	1MBVNT|2AART|348DMG|5TLV|68VULN|78DUR|8BPWR|9RCR|aLHND
36	53562 24431	9	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	1MBVNT|2578VULN|3AART|4aDUR|6DMG|9RCR
37	53562 24432	10	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	1MBVNT|2578VULN|3AART|4aDUR|6DMG|9RCR
38	51114 41811	1	   	267.41	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1MBVNT|29aVULN|3aLIT|4TLV|5CDMG|6RCR|7RMIN|8aDMG|aBPWR
39	53114 41811	2	   	267.41	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1MBVNT|29aVULN|3aLIT|4TLV|5CDMG|6RCR|7RMIN|8aDMG|aBPWR
40	53441 43782	9	 * 	267.03	DCR|3VULN|2DMG|3ASPD|1CDMG	1MBVNT|23aVULN|3aBPWR|47aASPD|5BEXP|6CDMG|8RCR|9aDMG
41	53444 43782	8	   	266.93	DCR|3VULN|2DMG|3ASPD|1CDMG	1MBVNT|23aVULN|3aBPWR|47aASPD|5DUST|6CDMG|8RCR|9aDMG
42	51223 34761	1	 * 	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3BEXP|569DUR|79DMG|8RCR|9BPWR|aCGEN
43	51223 34763	1	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3aBEXP|569DUR|79DMG|8RCR|9BPWR
44	53123 34761	3	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LHND|569DUR|79DMG|8RCR|9BPWR|aCGEN
45	53123 34763	3	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LHND|569DUR|79DMG|8RCR|9BPWR|aBEXP
46	53123 34764	3	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LHND|569DUR|79DMG|8RCR|9BPWR|aLWND
47	53133 34761	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LHND|569DUR|79DMG|8RCR|9BPWR|aCGEN
48	53133 34763	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LHND|569DUR|79DMG|8RCR|9BPWR|aBEXP
49	53133 34764	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LHND|569DUR|79DMG|8RCR|9BPWR|aLWND
50	53223 34761	2	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3BEXP|569DUR|79DMG|8RCR|9BPWR|aCGEN
51	53223 34761	3	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LWND|569DUR|79DMG|8RCR|9BPWR|aCGEN
52	53223 34763	3	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LWND|569DUR|79DMG|8RCR|9BPWR|aBEXP
53	53223 34763	2	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3aBEXP|569DUR|79DMG|8RCR|9BPWR
54	53223 34764	3	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3aLWND|569DUR|79DMG|8RCR|9BPWR
55	53233 34761	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LWND|569DUR|79DMG|8RCR|9BPWR|aCGEN
56	53233 34763	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3LWND|569DUR|79DMG|8RCR|9BPWR|aBEXP
57	53233 34764	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|249VULN|3aLWND|569DUR|79DMG|8RCR|9BPWR
58	53413 34761	4	   	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|239VULN|39BPWR|4LWND|569DUR|79DMG|8RCR|aCGEN
