0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62123 62351	1	 * 	290.67	DCR|4VULN|3DMG|3LIT|1AART	1AART|278LIT|3789VULN|478DMG|5TBNT|6BELT|789BPWR|aRCR
2	41133 61521	3	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	1RPLT|25aVULN|3LWND|4aDMG|6RCR|78aDUR|9AART|aBPWR
3	13413 24116	6	   	271.02	DCR|3VULN|2DMG|2DUR|2AART	17LWND|28DMG|36AART|47DUR|579VULN|7BPWR|aRCR
4	21222 25112	8	 * 	270.83	DCR|2VULN|3DUR|2DMG|3ASPD	1RMIN|27aASPD|35aDUR|47ZMB|67DMG|7aBPWR|8RCR|9aVULN
5	21222 25142	9	   	270.83	DCR|2VULN|3DUR|2DMG|3ASPD	1RMIN|27aASPD|35aDUR|47ZMB|67DMG|7aBPWR|8RCR|9aVULN
6	65131 33431	9	 * 	269.87	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	1AART|28aVULN|3aASPD|4ZMB|5RPLT|6DUR|7RCR|9aDMG|aBPWR
7	65131 33521	7	   	269.87	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	1AART|29aVULN|3aASPD|4ZMB|5RPLT|6DUR|7RCR|8aDMG|aBPWR
8	41334 61221	2	 * 	268.30	DCR|4VULN|2DUR|1DMG|1AART	1RPLT|238aVULN|3aBPWR|4DMG|5aLHND|6RCR|7aDUR|9AART
9	23413 35163	4	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	1RMIN|256aVULN|3AART|45DUR|5BPWR|7RCR|8DMG|9DMSP
10	22663 35123	2	   	267.51	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1RMIN|2AART|356VULN|45DUR|5BPWR|7RCR|8DMG|9LIT|aCDMG
11	23413 35123	4	   	267.51	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8DMG|9LIT|aCDMG
12	23463 35123	3	   	267.51	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8DMG|9LIT|aCDMG
13	23413 35124	4	   	267.09	DCR|3VULN|3DUR|1DMG|1AART	1RMIN|256VULN|3AART|45aDUR|5BPWR|7RCR|8DMG|9LIT
14	65113 15134	6	 * 	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	1AART|257VULN|37ASPD|47DUR|6MBVNT|7BPWR|8DMG|9LHND|aRCR
15	61136 33131	2	 * 	264.57	DCR|5VULN|2TLV|2AART	12AART|35678VULN|47TLV|7BPWR|9CGEN|aRCR
16	61536 33131	3	   	264.57	DCR|5VULN|2TLV|2AART	12AART|35678VULN|47TLV|7BPWR|9CGEN|aRCR
17	61552 33131	4	   	264.57	DCR|5VULN|2TLV|2AART	12AART|34678VULN|57TLV|7BPWR|9CGEN|aRCR
18	61116 35111	3	   	264.54	DCR|3VULN|2DMG|2AART|1DUR	12AART|3DUR|48DMG|569VULN|7RCR|aLIT
19	61143 35111	5	   	264.54	DCR|3VULN|2DMG|2AART|1DUR	12AART|3DUR|48DMG|569VULN|7RCR|aLIT
20	61136 33141	2	   	264.47	DCR|5VULN|2TLV|2AART	12AART|35678VULN|47TLV|7BPWR|9ERES|aRCR
21	23413 35363	4	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	1RMIN|256aVULN|3AART|45DUR|5BPWR|7RCR|8TLV|9DMSP
22	13424 35121	3	   	264.11	DCR|3VULN|3DMG|1DUR|1AART	1LWND|258DMG|3AART|469VULN|7RCR|aDUR
23	65113 35122	5	   	263.83	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1AART|256VULN|3ASPD|4DUR|7RCR|8DMG|9LIT|aCDMG
24	22663 35323	2	   	263.70	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RMIN|2AART|356VULN|45DUR|5BPWR|7RCR|8TLV|9LIT|aCDMG
25	23413 35323	4	   	263.70	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8TLV|9LIT|aCDMG
26	23463 35323	3	   	263.70	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8TLV|9LIT|aCDMG
27	23413 35324	4	   	263.28	DCR|3VULN|3DUR|1TLV|1AART	1RMIN|256VULN|3AART|45aDUR|5BPWR|7RCR|8TLV|9LIT
28	41133 61121	3	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|25aVULN|38LWND|4aDMG|6RCR|7aDUR|9AART|aBPWR
