0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35225 33422	8	 * 	303.20	DCR|4VULN|3DUR|2DMG|1CDMG	139DUR|235aVULN|3aBPWR|4CDMG|6RCR|7aCGEN|8aDMG
2	13362 11114	7	   	302.04	DCR|4VULN|2DMG|2DUR|1TLV	18DMG|2AART|35DUR|4569VULN|5BPWR|7TLV|aRCR
3	13362 16423	9	   	295.45	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1DMG|2AART|35DUR|456aVULN|5BPWR|7ASPD|8TLV|9RCR
4	13362 16423	10	   	295.45	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1DMG|2AART|35DUR|456aVULN|5BPWR|7ASPD|8TLV|9RCR
5	13362 16433	8	   	295.45	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1DMG|2AART|35DUR|456aVULN|5BPWR|7ASPD|8TLV|9RCR
6	13241 33662	5	 * 	295.16	DCR|4VULN|3DMG|1TLV	179DMG|2AART|379ERES|4TLV|5LIT|6789VULN|79BPWR|aRCR
7	35232 12622	8	 * 	292.98	DCR|4VULN|3DUR|2ASPD|2CDMG	139DUR|235aVULN|35aBPWR|45ERES|6RCR|7aASPD|8aCDMG
8	35232 12642	9	   	292.98	DCR|4VULN|3DUR|2ASPD|2CDMG	139DUR|235aVULN|35aBPWR|45ERES|6RCR|7aASPD|8aCDMG
9	13122 33626	1	 * 	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1DMG|28DUR|3569aVULN|4CDMG|7RCR
10	16122 33626	2	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1DMG|28DUR|3569aVULN|4CDMG|7RCR
11	35225 31622	8	   	291.58	DCR|4VULN|3DUR|2TLV|2CDMG|1SELL	137DUR|235aVULN|3aBPWR|4aCDMG|6RCR|8aTLV|9SELL
12	13362 42511	10	   	291.43	DCR|3VULN|3DUR|2DMG|2LIT	19DMG|2AART|359DUR|45aVULN|59BPWR|6BEXP|79LIT|8RCR
13	13362 32511	10	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT	19DMG|2AART|359DUR|45aVULN|59BPWR|6DUST|79LIT|8RCR
14	35642 11133	7	   	291.08	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1DUR|256aVULN|3AART|45ASPD|5BPWR|7TLV|8DMG|9RCR
15	56233 11313	3	   	290.88	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG|2LIT	13aVULN|23DUR|3aBPWR|4aLIT|59TLV|6DMG|7RCR|8aCDMG
16	56234 33233	3	   	290.88	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG|2LIT	13aVULN|23DUR|3aBPWR|4aLIT|57CDMG|6DMG|8RCR|9aTLV
17	35225 32251	7	   	290.15	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|235aVULN|3BPWR|4CDMG|6RCR|7AART|8LIT|9DMG
18	35232 14422	8	   	289.11	DCR|4VULN|3DUR|2DMG|1SELL	139DUR|235aVULN|35aBPWR|45aERES|6RCR|7SELL|8aDMG
19	35232 12315	10	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	13DUR|2359aVULN|35BPWR|45ERES|6RCR|7ASPD|8DMG
20	13362 11314	7	   	288.16	DCR|4VULN|2DUR|2TLV|1DMG	1DMG|2AART|35DUR|4569VULN|5BPWR|78TLV|aRCR
21	13365 11114	7	   	287.35	DCR|4VULN|2DMG|1TLV|1DUR	18DMG|2AART|3DUR|4569VULN|7TLV|aRCR
22	16562 21313	6	   	287.23	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	1aDMG|2DUR|34aVULN|59TLV|6LIT|7RCR|8aCDMG|aBPWR
23	13362 11164	7	   	287.17	DCR|3VULN|2DMG|2DUR|2AART|1TLV	18DMG|29AART|35DUR|456VULN|5BPWR|7TLV|aRCR
24	35232 14231	6	   	286.28	DCR|5VULN|2DUR|1DMG	13DUR|23579VULN|35BPWR|45ERES|6RCR|8LIT|aDMG
