0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13213 21436	7	 * 	285.63	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2RPLT|3LIT|58DUR|68DMG|8BPWR|9CDMG|aRCR
2	12333 62531	8	 * 	281.50	DCR|4VULN|3DUR|1TLV|2ASPD	1469VULN|2ERES|389DUR|59ASPD|7RCR|9BPWR|aTLV
3	12333 35133	5	   	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	1469VULN|29ERES|3aDUR|56ASPD|69BPWR|79DMG|8RCR
4	12333 35134	5	   	278.79	DCR|4VULN|2DMG|2ASPD|1DUR|1CDMG	1469VULN|29ERES|3DUR|56ASPD|69BPWR|79DMG|8RCR|aCDMG
5	13213 25177	8	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	148VULN|2RPLT|3LIT|58DUR|68DMG|7MBVNT|8BPWR|9TLV|aRCR
6	12333 35131	5	   	274.80	DCR|4VULN|2DMG|2ASPD|1DUR|1AART	1469VULN|29ERES|3DUR|56ASPD|69BPWR|79DMG|8RCR|aAART
7	12333 62535	8	 * 	273.64	DCR|5VULN|3DUR|2ASPD	1469aVULN|2ERES|389DUR|59ASPD|7RCR|9BPWR
8	12343 35134	5	   	272.32	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	169VULN|29ERES|34DUR|56ASPD|69BPWR|79DMG|8RCR|aCDMG
9	12343 35133	5	 * 	271.90	DCR|3VULN|3DUR|2DMG|2ASPD	169VULN|29ERES|34aDUR|56ASPD|69BPWR|79DMG|8RCR
10	13213 21456	7	   	271.88	DCR|4VULN|2DMG|2DUR	1478VULN|2RPLT|3LIT|58DUR|68DMG|8BPWR|9DUST|aRCR
11	13213 25168	8	   	271.88	DCR|4VULN|2DMG|2DUR	1489VULN|2RPLT|3LIT|58DUR|68DMG|7MBVNT|8BPWR|aRCR
12	42333 15133	5	   	271.78	DCR|4VULN|2DMG|2DUR	19ERES|2469VULN|3aDUR|5ASPD|79DMG|8RCR|9BPWR
13	42333 65133	6	   	271.78	DCR|4VULN|2DMG|2DUR	19ERES|2469VULN|3aDUR|5ASPD|79DMG|8RCR|9BPWR
14	12333 15133	5	   	271.78	DCR|4VULN|2DMG|2DUR	1469VULN|29ERES|3aDUR|5ASPD|79DMG|8RCR|9BPWR
15	12333 65133	6	   	271.78	DCR|4VULN|2DMG|2DUR	1469VULN|29ERES|3aDUR|5ASPD|79DMG|8RCR|9BPWR
16	13213 22436	6	   	271.13	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	148VULN|2RPLT|37LIT|58DUR|68DMG|8BPWR|9CDMG|aRCR
17	42333 15134	5	   	270.84	DCR|4VULN|2DMG|1DUR|1CDMG	19ERES|2469VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aCDMG
18	12333 15134	5	   	270.84	DCR|4VULN|2DMG|1DUR|1CDMG	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aCDMG
19	12333 65134	6	   	270.84	DCR|4VULN|2DMG|1DUR|1CDMG	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aCDMG
20	14433 35133	5	   	270.39	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	149VULN|29LWND|35ASPD|6TLV|79DMG|8RCR|9BPWR|aDUR
21	42333 35131	5	   	270.19	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	169ERES|249VULN|3DUR|56ASPD|69BPWR|79DMG|8RCR|aTLV
22	11231 34523	3	 * 	269.86	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1357VULN|23LIT|3BPWR|4CDMG|6TLV|8DMSP|9DMG|aRCR
23	12343 35131	5	   	268.33	DCR|3VULN|2DMG|2DUR|2ASPD|1AART	169VULN|29ERES|34DUR|56ASPD|69BPWR|79DMG|8RCR|aAART
24	13213 24236	9	 * 	267.52	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|2RPLT|3LIT|59DUR|6DMG|7ERES|89TLV|9BPWR|aRCR
25	13312 66363	9	 * 	267.02	DCR|4VULN|2DMG|2TLV	146aVULN|23RPLT|46aBPWR|56TLV|7RCR|8aERES|9aDMG
26	42333 15131	5	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	19ERES|2469VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
27	42333 65131	6	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	19ERES|2469VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
28	12333 15131	5	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
29	12333 65131	6	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
30	11242 53163	8	   	265.77	DCR|4VULN|1TLV|1DMG|2LIT|1AART	1389VULN|23LIT|3BPWR|4DUST|5AART|6DMG|7RCR|aTLV
31	11333 11243	9	   	265.70	DCR|4VULN|2DMG|1DUR	1469VULN|2LIT|39BEXP|5ASPD|7DUR|89DMG|9BPWR|aRCR
32	12336 62531	8	   	265.25	DCR|4VULN|3DUR|1TLV	1469VULN|29ERES|389DUR|5RMIN|7RCR|9BPWR|aTLV
33	12233 35133	5	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	1469VULN|29ERES|3LWND|56ASPD|69BPWR|79DMG|8RCR|aDUR
34	12333 35132	5	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	1469VULN|29ERES|3DUR|56ASPD|69BPWR|79DMG|8RCR|aMLV
35	12333 35135	5	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	1469VULN|29ERES|3DUR|56ASPD|69BPWR|79DMG|8RCR|aBELT
36	12633 35133	5	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	1469VULN|29ERES|3FEWX|56ASPD|69BPWR|79DMG|8RCR|aDUR
37	12133 35133	5	   	265.04	DCR|4VULN|2DMG|1DUR|2ASPD	1469VULN|29ERES|3DUST|56ASPD|69BPWR|79DMG|8RCR|aDUR
38	13213 22436	7	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	148VULN|27RPLT|3LIT|58DUR|68DMG|8BPWR|9CDMG|aRCR
39	12343 15134	5	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	169VULN|29ERES|34DUR|5ASPD|79DMG|8RCR|9BPWR|aCDMG
40	12343 15133	5	   	263.95	DCR|3VULN|3DUR|2DMG	169VULN|29ERES|34aDUR|5ASPD|79DMG|8RCR|9BPWR
41	12343 65133	6	   	263.95	DCR|3VULN|3DUR|2DMG	169VULN|29ERES|34aDUR|5ASPD|79DMG|8RCR|9BPWR
42	42343 15133	5	   	263.95	DCR|3VULN|3DUR|2DMG	19ERES|269VULN|34aDUR|5ASPD|79DMG|8RCR|9BPWR
43	14433 35131	5	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	149VULN|29LWND|35ASPD|6TLV|79DMG|8RCR|9BPWR|aAART
44	15232 46312	4	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	167VULN|27LHND|3AART|4MBVNT|57DMG|7BPWR|8RCR|9TLV|aDUR
45	14431 35133	5	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	149VULN|29LWND|3ASPD|5DMSP|6TLV|79DMG|8RCR|9BPWR|aDUR
46	12233 35134	5	   	262.54	DCR|4VULN|2DMG|2ASPD|1CDMG	1469VULN|29ERES|3LWND|56ASPD|69BPWR|79DMG|8RCR|aCDMG
47	12633 35134	5	   	262.54	DCR|4VULN|2DMG|2ASPD|1CDMG	1469VULN|29ERES|3FEWX|56ASPD|69BPWR|79DMG|8RCR|aCDMG
48	12133 35134	5	   	262.44	DCR|4VULN|2DMG|2ASPD|1CDMG	1469VULN|29ERES|3DUST|56ASPD|69BPWR|79DMG|8RCR|aCDMG
49	12333 55131	6	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	149VULN|269ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aTLV
50	42333 55131	6	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	169ERES|249VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aTLV
51	12333 35536	5	   	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	1469VULN|2ERES|39DUR|56ASPD|69BPWR|7DMG|89MLV|aRCR
52	12333 35636	5	   	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	1469VULN|2ERES|39DUR|56ASPD|69BPWR|7DMG|89ZMB|aRCR
53	33133 42633	7	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	1NUKE|249VULN|3DUST|59TLV|6RCVC|7RCR|89DMG|9BPWR|aDUR
54	12333 35123	5	   	262.03	DCR|4VULN|2DUR|1DMG|2ASPD	1469VULN|2ERES|3aDUR|56ASPD|6BPWR|7DMG|8RCR
55	31212 21351	10	 * 	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1NUKE|1AART	1NUKE|2RMIN|39DMG|46DUR|59VULN|7AART|89TLV|9BPWR|aRCR
56	11214 53423	4	   	261.15	DCR|3VULN|1TLV|2ASPD|1DUR|2LIT|1CDMG	138VULN|23LIT|38BPWR|48ASPD|5CDMG|6DUR|78DUST|9TLV|aRCR
57	12333 35124	5	   	261.10	DCR|4VULN|1DMG|2ASPD|1DUR|1CDMG	1469VULN|2ERES|3DUR|56ASPD|6BPWR|7DMG|8RCR|aCDMG
58	12332 51113	4	 * 	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	147VULN|2ERES|37DUR|57CDMG|6AART|7BPWR|8LHND|9TLV|aRCR
59	12332 51113	3	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	147VULN|2ERES|37DUR|57CDMG|6AART|7BPWR|8LHND|9TLV|aRCR
60	12332 51313	3	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	147VULN|2ERES|37DUR|57CDMG|6AART|7BPWR|8FEWX|9TLV|aRCR
61	12332 51313	4	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	147VULN|2ERES|37DUR|57CDMG|6AART|7BPWR|8FEWX|9TLV|aRCR
62	12333 42531	8	   	260.45	DCR|3VULN|3DUR|1TLV|2ASPD	149VULN|2ERES|389DUR|59ASPD|6RCVC|7RCR|9BPWR|aTLV
63	12343 62631	7	   	260.45	DCR|3VULN|3DUR|1TLV|2ASPD	169VULN|2ERES|349DUR|59ASPD|7RCR|8RCVC|9BPWR|aTLV
64	12343 15131	5	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	169VULN|29ERES|34DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
65	12343 65131	6	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	169VULN|29ERES|34DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
