0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51121 14233	10	 * 	281.72	DCR|3VULN|2DUR|2ASPD|1DMG|2LIT|1AART	18ASPD|28DUR|3DMG|49LIT|5AART|678VULN|8BPWR|aRCR
2	64123 26112	9	 * 	281.01	DCR|4VULN|3DMG|3LIT	19MLV|2456VULN|369DMG|69BPWR|7RCR|89aLIT
3	64123 26222	9	 * 	280.68	DCR|5VULN|3DMG	1aMLV|24569VULN|36aDMG|6aBPWR|7RCR|8aCGEN
4	64123 22136	7	   	278.68	DCR|5VULN|2DMG|1CDMG	1aMLV|2456aVULN|36DMG|6aBPWR|7CDMG|8RCR|9aBEXP
5	33311 53244	6	 * 	278.40	DCR|4VULN|2DUR|3LIT|2CDMG	169LIT|248aVULN|3aCDMG|5aDUR|7RCR|aBPWR
6	31222 46112	1	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1aLIT|249aVULN|3LWND|5DUR|6RCR|7BBNT|8aDMG|aBPWR
7	33222 46112	2	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1aLIT|249aVULN|3LWND|5DUR|6RCR|7BBNT|8aDMG|aBPWR
8	64123 26111	9	   	276.00	DCR|4VULN|3DMG|2LIT	19MLV|2456VULN|369DMG|69BPWR|7RCR|89LIT|aCGEN
9	64123 26112	10	   	276.00	DCR|4VULN|3DMG|2LIT	19MLV|2456VULN|369DMG|69BPWR|7RCR|89LIT|aRCVC
10	64123 26113	9	   	276.00	DCR|4VULN|3DMG|2LIT	19MLV|2456VULN|369DMG|69BPWR|7RCR|89LIT|aBEXP
11	64123 16111	9	   	275.90	DCR|4VULN|3DMG|2LIT	19MLV|2456VULN|39aDMG|7RCR|89LIT|9BPWR
12	64123 26111	10	   	275.90	DCR|4VULN|3DMG|2LIT	19MLV|2456VULN|369DMG|69BPWR|7RCR|89LIT|aLEGI
13	64123 26113	10	   	275.90	DCR|4VULN|3DMG|2LIT	19MLV|2456VULN|369DMG|69BPWR|7RCR|89LIT|aDUST
14	51121 11254	10	 * 	275.38	DCR|2VULN|2DMG|3ASPD|2DUR|1AART	178ASPD|28DUR|39DMG|4LIT|5AART|68VULN|8BPWR|aRCR
15	64123 22122	7	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9LWND|aDUR
16	64123 22132	7	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9BEXP|aDUR
17	64123 22162	7	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9LHND|aDUR
18	64123 22251	9	   	275.19	DCR|4VULN|2DMG|1TLV|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8BELT|9RCR|aTLV
19	64123 22251	10	   	275.19	DCR|4VULN|2DMG|1TLV|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8BELT|9RCR|aTLV
20	64123 26223	10	   	274.49	DCR|5VULN|2DMG|1AART	1MLV|24569VULN|36DMG|6BPWR|7RCR|8CGEN|aAART
21	64123 26123	8	   	273.14	DCR|5VULN|2DMG	1MLV|2456aVULN|36DMG|6BPWR|7RCR|8LIT|9LHND
22	64123 26133	8	   	273.14	DCR|5VULN|2DMG	1MLV|2456aVULN|36DMG|6BPWR|7RCR|8LIT|9LWND
23	31222 41553	1	   	272.21	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	179LIT|249VULN|37LWND|57DUR|6RCR|79BPWR|89CDMG|aTLV
24	33222 41553	2	   	272.21	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	179LIT|249VULN|37LWND|57DUR|6RCR|79BPWR|89CDMG|aTLV
25	33222 41553	3	   	272.21	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	179LIT|249VULN|37BEXP|57DUR|6RCR|79BPWR|89CDMG|aTLV
26	31322 41553	1	   	272.01	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	179LIT|249VULN|37DUST|57DUR|6RCR|79BPWR|89CDMG|aTLV
27	33122 41553	3	   	272.01	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	179LIT|249VULN|37DUST|57DUR|6RCR|79BPWR|89CDMG|aTLV
28	33322 41553	2	   	272.01	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	179LIT|249VULN|37DUST|57DUR|6RCR|79BPWR|89CDMG|aTLV
29	64123 26313	7	   	271.95	DCR|4VULN|3DMG|1ASPD	1MLV|2456VULN|369DMG|6BPWR|7RCR|8BEXP|aASPD
30	64123 26313	8	   	271.95	DCR|4VULN|3DMG|1ASPD	1MLV|2456VULN|369DMG|6BPWR|7RCR|8FEWX|aASPD
31	33211 26524	10	 * 	271.76	DCR|4VULN|3DUR|3LIT	19aLIT|279aVULN|3BEXP|4FEWX|59aDUR|6LEGI|8RCR|9aBPWR
32	33111 51325	10	   	271.66	DCR|4VULN|3DUR|3LIT	19aLIT|289aVULN|3DUST|4FEWX|59aDUR|6MBVNT|7RCR|9aBPWR
33	51121 11242	10	   	271.44	DCR|2VULN|2DUR|3ASPD|1DMG|1CDMG|1AART	178ASPD|28DUR|3DMG|4LIT|5AART|68VULN|8BPWR|9CDMG|aRCR
34	64123 26211	10	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1MLV|2456VULN|36DMG|6BPWR|7RCR|8CGEN|9DUR|aAART
35	64123 22121	7	   	269.94	DCR|4VULN|2DMG|1CDMG|1ASPD	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9LWND|aASPD
36	64123 22131	7	   	269.94	DCR|4VULN|2DMG|1CDMG|1ASPD	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9BEXP|aASPD
37	64123 22161	7	   	269.94	DCR|4VULN|2DMG|1CDMG|1ASPD	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9LHND|aASPD
38	64123 26213	9	   	269.85	DCR|4VULN|2DMG|1DUR	1MLV|2456VULN|36DMG|6BPWR|7RCR|8CGEN|9DUR|aLIT
39	35261 24133	10	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	18LIT|2ERES|38DUR|4BELT|5678VULN|8BPWR|9TLV|aRCR
40	64123 26131	9	   	269.25	DCR|4VULN|3DMG	19MLV|2456VULN|36aDMG|6BPWR|7RCR|8LIT
41	64123 26311	7	   	269.25	DCR|4VULN|3DMG	1MLV|2456VULN|369DMG|6BPWR|7RCR|8BEXP|aLIT
42	64123 26311	8	   	269.25	DCR|4VULN|3DMG	1MLV|2456VULN|369DMG|6BPWR|7RCR|8FEWX|aLIT
43	33311 33341	7	   	269.08	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1AART	1LIT|248VULN|3CDMG|5DUR|6AART|7RCR|9DMG|aTLV
44	31262 46112	1	 * 	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1aLIT|29aVULN|3LWND|45DUR|6RCR|7BBNT|8aDMG|aBPWR
45	33262 46112	2	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1aLIT|29aVULN|3LWND|45DUR|6RCR|7BBNT|8aDMG|aBPWR
46	35225 23236	3	 * 	268.31	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG	1aLIT|2ERES|39aDUR|45DMG|6CDMG|7RCR|8aVULN|aBPWR
47	33351 31448	10	   	267.41	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	18LIT|28aVULN|3CDMG|4RMIN|5TLV|6MBVNT|78DMG|8BPWR|9RCR
48	64123 22113	7	   	267.25	DCR|4VULN|2DMG|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7CDMG|8RCR|9RPLT|aLIT
49	64123 26111	8	   	267.15	DCR|4VULN|2DMG|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7RCR|8LIT|9CDMG|aLEGI
50	64123 26113	8	   	267.15	DCR|4VULN|2DMG|1CDMG	1MLV|2456VULN|36DMG|6BPWR|7RCR|8LIT|9CDMG|aBBNT
51	31222 41652	1	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|248aVULN|37LWND|57DUR|6RCR|7BPWR|9CDMG
52	31233 41652	2	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|23LWND|47DUR|578aVULN|6RCR|7BPWR|9CDMG
53	33222 41652	2	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|248aVULN|37LWND|57DUR|6RCR|7BPWR|9CDMG
54	64123 26112	8	   	267.00	DCR|4VULN|2DMG|1CDMG|1SELL	1MLV|2456VULN|36DMG|6BPWR|7RCR|8LIT|9CDMG|aSELL
55	64123 16111	10	   	265.25	DCR|4VULN|2DMG|3LIT	19MLV|2456VULN|39DMG|7RCR|89aLIT|9BPWR
56	64123 16112	9	   	265.25	DCR|4VULN|2DMG|3LIT	19MLV|2456VULN|39DMG|7RCR|89aLIT|9BPWR
57	64123 22253	9	 * 	265.25	DCR|4VULN|2DMG|2CDMG	1MLV|2456VULN|36DMG|6BPWR|7aCDMG|8BELT|9RCR
58	64123 16222	9	   	264.93	DCR|5VULN|2DMG	1aMLV|24569VULN|3aDMG|7RCR|8aCGEN|aBPWR
59	64123 21612	6	   	264.83	DCR|5VULN|2DMG	1MLV|2456aVULN|36DMG|6BPWR|7FEWX|8ZMB|9RCR
60	64123 24132	7	   	264.83	DCR|5VULN|2DMG	1MLV|2456aVULN|36DMG|6BPWR|7RMIN|8RCR|9FEWX
61	64123 26221	9	   	264.83	DCR|5VULN|2DMG	1MLV|24569VULN|36DMG|6BPWR|7RCR|8CGEN|aFEWX
62	64123 26222	10	   	264.83	DCR|5VULN|2DMG	1MLV|24569VULN|36DMG|6BPWR|7RCR|8CGEN|aLHND
63	64123 26223	9	   	264.83	DCR|5VULN|2DMG	1aMLV|24569VULN|36DMG|6BPWR|7RCR|8CGEN
64	64123 26312	9	   	264.83	DCR|5VULN|2DMG	1MLV|2456aVULN|36DMG|6BPWR|7RCR|8FEWX|9ZMB
65	64123 26331	10	   	264.83	DCR|5VULN|2DMG	1MLV|2456aVULN|36DMG|6BPWR|7RCR|8FEWX|9RPLT
66	54223 16211	7	 * 	264.44	DCR|5VULN|2ASPD|1DUR	19ASPD|24569VULN|389ERES|7RCR|9BPWR|aDUR
67	54223 16111	9	 * 	263.67	DCR|4VULN|2ASPD|1DMG|2LIT	19ASPD|2456VULN|39ERES|7RCR|89LIT|9BPWR|aDMG
68	61122 23436	5	 * 	263.54	DCR|2VULN|3DMG|2DUR|2ASPD	18MLV|29DUR|356DMG|48VULN|78ASPD|8BPWR|aRCR
69	54223 26111	10	   	263.15	DCR|5VULN|2ASPD|2LIT	19ASPD|2456aVULN|369ERES|69BPWR|7RCR|89LIT
70	64122 32533	8	 * 	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1aMLV|24VULN|3aDMG|5TLV|69DUR|7aCDMG|8RCR|aBPWR
71	33313 56124	8	 * 	262.58	DCR|3VULN|2DMG|3LIT|2CDMG	159LIT|247VULN|39CDMG|6RCVC|89DMG|9BPWR|aRCR
72	54131 23322	9	 * 	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|289VULN|3DMG|47RPLT|5LHND|689CDMG|89BPWR|aRCR
73	54131 23325	10	   	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|289VULN|3DMG|47RPLT|5LHND|689CDMG|89BPWR|aRCR
74	54131 26322	9	   	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|289VULN|3DMG|4RPLT|57LHND|689CDMG|89BPWR|aRCR
75	54131 36322	9	   	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|289VULN|3DMG|4RPLT|56LHND|789CDMG|89BPWR|aRCR
76	54132 21322	9	   	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|289VULN|3DMG|4RPLT|57LWND|689CDMG|89BPWR|aRCR
77	54132 21325	10	   	262.10	DCR|3VULN|3ASPD|3CDMG|1DMG	189ASPD|289VULN|3DMG|4RPLT|57LWND|689CDMG|89BPWR|aRCR
78	54223 12136	7	   	262.04	DCR|5VULN|2ASPD|1CDMG	1aASPD|2456aVULN|3ERES|7CDMG|8RCR|9aBEXP|aBPWR
79	54223 22136	7	   	262.04	DCR|5VULN|2ASPD|1CDMG	1aASPD|2456aVULN|36ERES|6aBPWR|7CDMG|8RCR|9aBEXP
80	61121 31452	7	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1MLV|2DUR|3DMG|467aVULN|5AART|8RCR|9LIT
81	61121 31425	7	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1MLV|29DUR|3DMG|467VULN|5AART|8RCR|aTLV
82	64123 26211	9	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2456VULN|36DMG|6BPWR|7RCR|8CGEN|9DUR|aFEWX
83	64123 26213	10	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2456VULN|36DMG|6BPWR|7RCR|8CGEN|9DUR|aDMSP
84	64123 26332	10	   	261.54	DCR|4VULN|2DMG|1TLV	1MLV|2456VULN|36DMG|6BPWR|7RCR|8FEWX|9RPLT|aTLV
85	64123 26212	10	   	261.44	DCR|4VULN|2DMG|1DUR	1MLV|2456VULN|36DMG|6BPWR|7RCR|8CGEN|9DUR|aERES
86	64123 26212	9	   	261.44	DCR|4VULN|2DMG|1DUR	1MLV|2456VULN|36DMG|6BPWR|7RCR|8CGEN|9DUR|aDUST
87	64123 12136	7	   	260.99	DCR|5VULN|1DMG|1CDMG	1aMLV|2456aVULN|3DMG|7CDMG|8RCR|9aBEXP|aBPWR
88	64123 23163	7	   	260.94	DCR|4VULN|3DMG	1aMLV|2456VULN|36aDMG|6aBPWR|7aERES|8RCR|9RPLT
89	31222 41653	1	   	260.69	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	17LIT|248VULN|37LWND|57DUR|6RCR|7BPWR|9CDMG|aTLV
90	31233 41653	2	   	260.69	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	17LIT|23LWND|47DUR|578VULN|6RCR|7BPWR|9CDMG|aTLV
91	33222 41653	2	   	260.69	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	17LIT|248VULN|37LWND|57DUR|6RCR|7BPWR|9CDMG|aTLV
92	33323 34468	3	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19LIT|269VULN|3CDMG|4BELT|5MBVNT|7TLV|89DUR|9BPWR|aRCR
93	33323 51468	3	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19LIT|279VULN|3CDMG|4BELT|5MBVNT|6TLV|89DUR|9BPWR|aRCR
94	64123 16112	10	   	260.25	DCR|4VULN|2DMG|2LIT	19MLV|2456VULN|39DMG|7RCR|89LIT|9BPWR|aLWND
95	64123 16113	9	   	260.25	DCR|4VULN|2DMG|2LIT	19MLV|2456VULN|39DMG|7RCR|89LIT|9BPWR|aBEXP
96	64123 16113	10	   	260.25	DCR|4VULN|2DMG|2LIT	19MLV|2456VULN|39DMG|7RCR|89LIT|9BPWR|aCGEN
