0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65212 32623	6	 * 	283.29	DCR|4VULN|3DUR|2TLV|1AART	179aVULN|2AART|35TLV|45aDUR|5aBPWR|6aFEWX|8RCR
2	65213 63323	8	 * 	275.52	ACR|4VULN|2DMG|2TLV|2DUR|1AART	179aVULN|2AART|3aTLV|47DUR|5RCR|67ZMB|7aBPWR|8aDMG
3	21313 16513	9	 * 	275.09	DCR|4VULN|2DMG|1TLV|2ASPD	1aASPD|258aVULN|3TLV|4BEXP|6aDMG|7RCR|9DLOT|aBPWR
4	21323 16513	9	   	275.09	DCR|4VULN|2DMG|1TLV|2ASPD	1aASPD|258aVULN|3TLV|4FEWX|6aDMG|7RCR|9DLOT|aBPWR
5	61313 16513	9	   	275.09	DCR|4VULN|2DMG|1TLV|2ASPD	158aVULN|2aASPD|3TLV|4BEXP|6aDMG|7RCR|9DLOT|aBPWR
6	61323 16513	9	   	275.09	DCR|4VULN|2DMG|1TLV|2ASPD	158aVULN|2aASPD|3TLV|4FEWX|6aDMG|7RCR|9DLOT|aBPWR
7	65211 33363	9	 * 	272.41	4VULN|3DMG|3DUR|2TLV|2ASPD|1AART	179aVULN|2AART|37TLV|49aDUR|5LHND|67ASPD|79aBPWR|89aDMG
8	65213 11631	4	 * 	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	169VULN|2AART|39TLV|4DUR|5CGEN|79DMG|8RCR|9BPWR|aBEXP
9	65213 11633	4	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	169VULN|2AART|39TLV|4DUR|5CGEN|79DMG|8RCR|9BPWR|aLWND
10	21166 11263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	1aASPD|26aVULN|3FEWX|47DMG|5AART|8aTLV|9RCR|aBPWR
11	21316 11263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	1aASPD|26aVULN|38TLV|4BEXP|5AART|7aDMG|9RCR|aBPWR
12	21316 62263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	1aASPD|27aVULN|38TLV|4BEXP|5AART|6aDMG|9RCR|aBPWR
13	21326 11263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	1aASPD|26aVULN|38TLV|4FEWX|5AART|7aDMG|9RCR|aBPWR
