0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22431 31145	2	 * 	298.26	DCR|5VULN|2DMG|2DUR|2ASPD	1378aVULN|23ASPD|3aBPWR|4aDUR|5BELT|6aDMG|9RCR
2	22131 31145	3	   	290.32	DCR|5VULN|2DMG|2DUR	1378aVULN|2ASPD|4aDUR|5BELT|6aDMG|9RCR|aBPWR
3	22523 32424	8	 * 	289.46	DCR|4VULN|2TLV|3ASPD|1DMG|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9DUR|aDMG
4	22523 32426	8	 * 	287.74	DCR|5VULN|2TLV|3ASPD|1DUR	1467aVULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9DUR
5	22523 32421	10	   	287.74	DCR|5VULN|2TLV|3ASPD|1DUR	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aDUR
6	22523 32424	9	   	287.74	DCR|5VULN|2TLV|3ASPD|1DUR	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aDUR
7	24113 56331	9	 * 	287.28	DCR|4VULN|3DUR|2TLV|1CDMG	1679VULN|2LWND|3RPLT|47TLV|567DUR|67BPWR|8CDMG|aRCR
8	21431 62162	1	 * 	285.51	DCR|4VULN|3DUR|1TLV|1DMG	189aVULN|2aLHND|3DMG|4TLV|57aDUR|6RCR|aBPWR
9	21131 31145	2	 * 	285.36	DCR|5VULN|2DMG|2TLV	1378aVULN|2DUST|4aTLV|5BELT|6aDMG|9RCR|aBPWR
10	22523 32422	8	 * 	283.98	DCR|4VULN|2TLV|2DUR|3ASPD	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9aDUR
11	22523 61224	10	   	283.98	DCR|4VULN|2TLV|2DUR|3ASPD	149aVULN|247ASPD|3RPLT|49BPWR|59TLV|6RCR|89DUR
12	22523 61226	9	   	283.98	DCR|4VULN|2TLV|2DUR|3ASPD	149aVULN|247ASPD|3RPLT|49BPWR|59TLV|6RCR|89DUR
13	22523 61224	9	 * 	282.99	DCR|3VULN|2TLV|2DUR|3ASPD|1DMG	149VULN|247ASPD|3RPLT|49BPWR|59TLV|6RCR|89DUR|aDMG
14	23431 31145	1	   	282.11	DCR|5VULN|2DMG|2DUR	1378aVULN|23ZMB|3aBPWR|4aDUR|5BELT|6aDMG|9RCR
15	22523 61343	6	 * 	281.93	DCR|4VULN|2TLV|2CDMG|2ASPD|1DUR	1479VULN|24ASPD|3RPLT|49BPWR|59TLV|6RCR|89CDMG|aDUR
16	23151 31145	3	   	281.91	DCR|5VULN|2DMG|2DUR	1378aVULN|2ERES|4aDUR|5BELT|6aDMG|9RCR|aBPWR
17	23221 31145	3	   	281.91	DCR|5VULN|2DMG|2DUR	1478aVULN|2ERES|3aDUR|5BELT|6aDMG|9RCR|aBPWR
18	23261 31145	4	   	281.91	DCR|5VULN|2DMG|2DUR	1478aVULN|2ERES|3aDUR|5BELT|6aDMG|9RCR|aBPWR
19	22523 32426	10	   	281.15	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aAART
20	21441 62111	1	   	280.59	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27LHND|3DMG|4ASPD|57DUR|6RCR|7BPWR|9TLV
21	22441 62111	1	   	280.59	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27FEWX|3DMG|4ASPD|57DUR|6RCR|7BPWR|9TLV
