0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31421 24352	7	 * 	285.40	DCR|3VULN|3DMG|2TLV|3ASPD	179ASPD|2BEXP|379VULN|4DUST|58TLV|679DMG|79BPWR|aRCR
2	32311 23453	8	 * 	284.87	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2DUST|39DUR|4TLV|578VULN|69DMG|9BPWR|aRCR
3	32311 24443	8	   	284.87	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|2DUST|37DUR|4TLV|589VULN|67DMG|7BPWR|aRCR
4	31414 11353	4	   	278.47	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	19ASPD|2BEXP|379VULN|48TLV|5DUR|69DMG|9BPWR|aRCR
5	31421 24152	7	   	277.32	DCR|3VULN|3DMG|1TLV|3ASPD	179ASPD|2BEXP|379VULN|4DUST|5TLV|679DMG|79BPWR|8DMSP|aRCR
6	31421 24252	7	   	277.32	DCR|3VULN|3DMG|1TLV|3ASPD	179ASPD|28BEXP|379VULN|4DUST|5TLV|679DMG|79BPWR|aRCR
7	31421 24352	8	   	277.32	DCR|3VULN|3DMG|1TLV|3ASPD	179ASPD|2BEXP|379VULN|4DUST|5TLV|679DMG|79BPWR|8RCVC|aRCR
8	46234 21321	8	 * 	275.47	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3ASPD|4DUR|578aVULN|6DMG|9RCR
9	62625 21223	8	 * 	273.99	DCR|4VULN|2TLV|1DMG|1DUR	1BELT|2ASPD|35TLV|458aVULN|5BPWR|6DUR|7RCR|9DMG
10	12431 24262	7	 * 	273.33	DCR|4VULN|3DUR|3TLV	157TLV|28DUST|378aVULN|4LEGI|678DUR|78BPWR|9RCR
11	11453 11153	3	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2BEXP|379VULN|4DUR|5ASPD|69DMG|8DMSP|9BPWR|aRCR
12	11453 11253	3	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|28BEXP|379VULN|4DUR|5ASPD|69DMG|9BPWR|aRCR
13	11463 11153	4	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2BEXP|379VULN|4DUR|5ASPD|69DMG|8DMSP|9BPWR|aRCR
14	11463 11253	4	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|28BEXP|379VULN|4DUR|5ASPD|69DMG|9BPWR|aRCR
15	31414 11153	4	   	270.39	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2BEXP|379VULN|4TLV|5DUR|69DMG|8DMSP|9BPWR|aRCR
16	31414 11253	4	   	270.39	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|28BEXP|379VULN|4TLV|5DUR|69DMG|9BPWR|aRCR
17	32414 11153	4	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2DUST|379VULN|4TLV|5DUR|69DMG|8DMSP|9BPWR|aRCR
18	32461 11153	5	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2DUST|379VULN|4DUR|5TLV|69DMG|8DMSP|9BPWR|aRCR
19	32461 21153	6	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2DUST|379VULN|4DUR|5TLV|69DMG|8DMSP|9BPWR|aRCR
20	32461 23153	7	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2DUST|379VULN|4DUR|5TLV|69DMG|8DMSP|9BPWR|aRCR
21	32461 23353	8	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2DUST|379VULN|4DUR|5TLV|69DMG|8RCVC|9BPWR|aRCR
22	33223 14353	3	 * 	268.36	DCR|2VULN|2DMG|2TLV|2DUR|2ASPD	19ASPD|2LWND|39DUR|46DMG|57VULN|89TLV|9BPWR|aRCR
