0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21362 11525	5	 * 	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	147DUR|28DMG|38ASPD|5LEGI|689VULN|8BPWR|aRCR
2	51366 11231	3	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	156VULN|2DMG|38ASPD|45DUR|5BPWR|7RCR|9TLV|aCDMG
3	51366 11231	4	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	156VULN|2DMG|38ASPD|45DUR|5BPWR|7RCR|9TLV|aCDMG
4	51262 11211	5	 * 	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1569VULN|2DMG|3TLV|4DUR|7RCR|8ASPD|aCDMG
5	51445 43433	9	 * 	284.43	DCR|4VULN|2DMG|2DUR	156aVULN|2aDMG|3MBVNT|4LHND|7LIT|8aDUR|9RCR|aBPWR
6	23252 41126	3	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	156DUR|2MLV|3TLV|46aVULN|6BPWR|79DMG|8RCR
7	23262 41126	4	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	146DUR|2MLV|3TLV|56aVULN|6BPWR|79DMG|8RCR
8	44481 36333	9	 * 	282.53	DCR|5VULN|2DUR|2LIT|1AART	1MBVNT|27DUR|3478aVULN|57LIT|6AART|7BPWR|9RCR
9	43423 88441	8	 * 	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	1MBVNT|289CDMG|389VULN|4DUST|5ZMB|689DMG|7RCR|89BPWR|aDUR
10	44481 36333	10	   	279.24	DCR|4VULN|2DUR|1TLV|2LIT|1AART	1MBVNT|27DUR|3478VULN|57LIT|6AART|7BPWR|9RCR|aTLV
11	51513 33325	8	 * 	278.33	DCR|3VULN|3DMG|3LIT|2CDMG	189VULN|289DMG|3LEGI|47CDMG|5LHND|689LIT|89BPWR|aRCR
12	21332 11525	3	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	157DUR|28DMG|3ASPD|48LHND|689VULN|8BPWR|aRCR
13	21333 61525	3	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	167DUR|28DMG|3ASPD|48LHND|589VULN|8BPWR|aRCR
14	21352 11525	4	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	157DUR|28DMG|3ASPD|48LHND|689VULN|8BPWR|aRCR
