0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62313 32355	1	 * 	263.47	DCR|4VULN|2DMG|2DUR	1LEGI|235aVULN|4CGEN|6aDUR|7aDMG|8DLOT|9RCR|aBPWR
2	43212 51144	5	 * 	260.60	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1AART|23aVULN|4aERES|5MBVNT|6RCR|7DMG|8TLV|9aDUR|aBPWR
3	26221 35323	7	 * 	258.05	DCR|3VULN|2DMG|1TLV|2CDMG	158BEXP|28CDMG|3TLV|456VULN|58BPWR|78DMG|9RPLT|aRCR
4	25233 32612	9	   	257.82	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1BEXP|2aDMG|3BELT|4ASPD|5DUR|6aVULN|7TLV|8aCDMG|9RCR|aBPWR
5	33522 46232	10	 * 	257.51	DCR|3VULN|2DMG|1TLV|3LIT|1SELL	17DUST|257VULN|3SELL|457LIT|57BPWR|6RCR|89DMG|aTLV
6	44323 12212	3	 * 	257.41	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1AART|279DUR|3BELT|4DMG|59TLV|6BBNT|89VULN|9BPWR|aRCR
7	44353 12212	4	   	257.41	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1AART|279DUR|3BELT|4DMG|59TLV|6BBNT|89VULN|9BPWR|aRCR
8	62352 36111	1	 * 	253.44	ACR|4VULN|2DUR|1TLV|1DMG|1CDMG	1LEGI|2367VULN|46DUR|5RCR|6BPWR|8TLV|9CDMG|aDMG
9	23252 33673	3	 * 	253.22	ACR|4VULN|3DUR|1TLV|1DMG	18BEXP|2368VULN|468DUR|5RCR|68BPWR|7MBVNT|9TLV|aDMG
10	43252 42382	6	 * 	252.71	DCR|4VULN|1TLV|1CDMG|1AART	1AART|237aVULN|4ASPD|5MBVNT|6CDMG|8RCR|9TLV
11	25332 51312	2	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1aBEXP|27DMG|3AART|46aVULN|5aDUR|8RCR|9BBNT|aBPWR
12	25332 51332	2	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1aBEXP|27DMG|3AART|46aVULN|5aDUR|8RCR|9TBNT|aBPWR
