0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23332 31265	3	 * 	286.68	DCR|3VULN|3DUR|2ASPD|1DMG|1TLV	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMG|aTLV
2	23212 51653	1	 * 	281.52	DCR|4VULN|3DUR|2CDMG|1AART	179DUR|27LHND|3679VULN|4BBNT|5AART|79BPWR|89CDMG|aRCR
3	65213 36413	8	 * 	281.50	DCR|4VULN|2DMG|2TLV|1DUR	18TLV|2789VULN|3LWND|4DUR|5MBVNT|68DMG|8BPWR|aRCR
4	65323 36413	8	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	18TLV|2789VULN|3DUR|4LWND|5MBVNT|68DMG|8BPWR|aRCR
5	23332 31266	3	   	278.74	DCR|3VULN|3DUR|2ASPD|1DMG	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMG|aLIT
6	24432 14114	7	 * 	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|2CGEN|349aVULN|5RCVC|6MBVNT|7RCR|8aDMG|aBPWR
7	65113 36413	8	 * 	273.35	DCR|3VULN|2DMG|2DUR|2TLV	18TLV|279VULN|3LEGI|48DUR|5MBVNT|68DMG|8BPWR|aRCR
8	23332 31261	3	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMG|aLHND
9	23332 31552	3	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8DMG|9LHND|aRCR
10	23332 31262	3	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMG|aDUST
11	23332 31263	3	   	270.19	DCR|3VULN|3DUR|2ASPD|1DMG|1SELL	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMG|aSELL
12	24432 14184	7	 * 	269.14	DCR|3VULN|3DMG|2DUR	1aDUR|2CGEN|34aVULN|5RCVC|6MBVNT|7RCR|89aDMG|aBPWR
13	25114 12243	9	 * 	268.77	ACR|5VULN|3DUR|3LIT|1AART	19aDUR|2LHND|3RCR|49aLIT|5679aVULN|8AART|9aBPWR
14	23232 62442	1	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1DUR|2LHND|3468VULN|5LIT|7DMG|9RCR|aTLV
15	23232 62431	1	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1DUR|2LHND|3468VULN|5LIT|7DMG|9TLV|aRCR
16	25232 62431	2	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1DUR|2LHND|3468VULN|5LIT|7DMG|9TLV|aRCR
17	62423 34213	10	 * 	267.13	DCR|3VULN|3TLV|1DMG|1DUR|2LIT|1ASPD	127TLV|37LIT|4DUR|5DMG|679VULN|7BPWR|8ASPD|aRCR
18	23232 43242	9	 * 	266.81	DCR|3VULN|3DUR|2DMG	157DUR|27FEWX|3CGEN|489VULN|67DMG|7BPWR|aRCR
19	24332 43242	9	   	266.81	DCR|3VULN|3DUR|2DMG	157DUR|27CGEN|3FEWX|489VULN|67DMG|7BPWR|aRCR
20	24412 14114	7	   	266.71	DCR|3VULN|3DUR|2DMG	14aDUR|2CGEN|39aVULN|5RCVC|6MBVNT|7RCR|8aDMG|aBPWR
21	24432 14454	8	   	266.71	DCR|3VULN|3DUR|2DMG	18aDUR|2CGEN|34aVULN|5RCVC|6MBVNT|7RCR|9aDMG|aBPWR
22	23332 31225	3	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9MLV|aTLV
23	15112 43242	9	   	266.51	DCR|3VULN|3DUR|2DMG	17ERES|289VULN|3LEGI|457DUR|67DMG|7BPWR|aRCR
24	23332 31213	3	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMSP|aCDMG
25	15436 13132	3	 * 	263.29	DCR|5VULN|1DMG|1DUR	1ERES|23456VULN|7DUR|8LWND|9DMG|aRCR
26	15436 13332	3	   	263.19	DCR|5VULN|1DMG|1DUR	1ERES|23456VULN|7DUR|8DUST|9DMG|aRCR
27	23232 62441	1	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1DUR|2LHND|3468VULN|5LIT|7DMG|9RCR|aAART
28	25332 62431	3	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	13DUR|2LHND|468VULN|5LIT|7DMG|9TLV|aRCR
