0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63416 12221	10	 * 	295.76	DCR|5VULN|2DMG|2DUR	1RCVC|2369aVULN|4CGEN|5aDUR|7RCR|8aDMG|aBPWR
2	43238 41126	8	 * 	292.62	DCR|3VULN|3DUR|2DMG|1TLV|1AART	17aDUR|2AART|3MBVNT|4TLV|56aVULN|8aDMG|9RCR|aBPWR
3	26432 24331	9	 * 	292.43	DCR|4VULN|3DUR|2TLV|1ASPD|1AART	19TLV|2ASPD|369aVULN|479DUR|5AART|8RCR|9BPWR
4	26432 24333	10	   	292.43	DCR|4VULN|3DUR|2TLV|1ASPD|1AART	19TLV|2ASPD|369aVULN|479DUR|5AART|8RCR|9BPWR
5	43423 24332	9	 * 	292.23	DCR|3VULN|3DMG|3DUR|1AART	179DUR|2AART|35aVULN|459DMG|59BPWR|69MLV|8RCR
6	43423 14332	9	   	292.02	DCR|3VULN|3DMG|3DUR|1AART	179DUR|2AART|35aVULN|459DMG|59BPWR|69ERES|8RCR
7	13532 22121	7	 * 	290.50	DCR|3VULN|3DUR|2ASPD|3LIT|1DMG	149LIT|29aDUR|3DMG|5RPLT|6aASPD|7RCR|89aVULN|9aBPWR
8	13532 22421	8	   	290.50	DCR|3VULN|3DUR|2ASPD|3LIT|1DMG	149LIT|29aDUR|3DMG|5RPLT|6aASPD|7RCR|89aVULN|9aBPWR
9	13532 22451	9	   	290.50	DCR|3VULN|3DUR|2ASPD|3LIT|1DMG	149LIT|29aDUR|3DMG|5RPLT|6aASPD|7RCR|89aVULN|9aBPWR
10	26432 21331	10	 * 	289.41	DCR|4VULN|2DUR|2ASPD|2TLV|1AART	19TLV|2aASPD|3679VULN|49DUR|5AART|8RCR|9BPWR
11	21236 11333	3	   	288.06	DCR|4VULN|2DUR|2ASPD|2TLV	1aTLV|245aVULN|35ASPD|5aBPWR|6LIT|7aDUR|8LEGI|9RCR
12	26432 21335	10	   	287.51	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	19TLV|2ASPD|3679VULN|49DUR|5AART|8RCR|9BPWR|aLIT
13	43423 21315	8	   	285.99	DCR|4VULN|2DMG|2DUR|1AART	1aDUR|2AART|357aVULN|45DMG|5aBPWR|6MLV|8RCR|9aBEXP
14	43423 21325	9	   	285.99	DCR|4VULN|2DMG|2DUR|1AART	1aDUR|2AART|357aVULN|45DMG|5aBPWR|6MLV|8RCR|9aBEXP
15	43423 21533	9	   	285.99	DCR|4VULN|2DMG|2DUR|1AART	19DUR|2AART|3579VULN|45DMG|59BPWR|6MLV|89FEWX|aRCR
16	63422 33133	10	 * 	284.89	DCR|5VULN|2DMG|2TLV	1RCVC|23789VULN|47TLV|5DMSP|67DMG|7BPWR|aRCR
17	24621 21315	9	 * 	283.21	DCR|3VULN|2DMG|2DUR|2TLV|1AART	1aTLV|2AART|3aDMG|4BEXP|567VULN|8RCR|9aDUR|aBPWR
18	63123 16512	10	 * 	280.91	DCR|4VULN|3DMG|2TLV	1RCVC|267aVULN|3ERES|478DMG|57TLV|7BPWR|9RCR
19	21232 24331	9	 * 	280.00	DCR|3VULN|3DUR|2ASPD|2TLV|1AART	19TLV|26aVULN|39ASPD|479DUR|5AART|8RCR|9BPWR
20	21232 24333	10	   	280.00	DCR|3VULN|3DUR|2ASPD|2TLV|1AART	19TLV|26aVULN|39ASPD|479DUR|5AART|8RCR|9BPWR
21	43432 26133	9	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19DUR|2AART|369VULN|45FEWX|7TLV|89DMG|9BPWR|aRCR
22	21242 21315	9	   	279.20	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	1aTLV|267aVULN|3ASPD|4FEWX|5AART|8RCR|9aDUR|aBPWR
23	21242 21355	8	   	279.20	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	1aTLV|267aVULN|3ASPD|4FEWX|5AART|8RCR|9aDUR|aBPWR
24	21252 21315	9	   	279.20	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	1aTLV|267aVULN|3ASPD|4BEXP|5AART|8RCR|9aDUR|aBPWR
25	26432 21331	9	   	279.20	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	19TLV|2ASPD|3679VULN|49DUR|5AART|8RCR|9BPWR|aBELT
26	26432 21332	9	   	279.20	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	19TLV|2ASPD|3679VULN|49DUR|5AART|8RCR|9BPWR|aFEWX
27	26432 21333	10	   	279.20	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	19TLV|2ASPD|3679VULN|49DUR|5AART|8RCR|9BPWR|aRCVC
