0	Index      	 *	Score 	Summary	Detail	
1	33173 83251	 * 	274.24	紫2基础对甲2攻速2伤害1易伤1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a易伤
2	33273 83251	   	274.24	紫2基础对甲2攻速2伤害1易伤1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a易伤
3	31335 51124	 * 	268.99	紫3攻速1基础对甲2伤害2基地爆炸	1核259策反37基地爆炸49伤害689攻速9序列升级a基础对甲
4	45332 32126	 * 	262.18	紫2基础对甲2易伤2伤害1攻速1基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸89易伤a攻速
5	45332 32212	 * 	261.41	紫2基础对甲2伤害2基地爆炸1易伤1攻速1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸8攻速9易伤
6	45332 32123	 * 	259.88	紫2基础对甲2易伤2伤害1基础对冰1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸89易伤a基础对冰
7	33173 83252	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a敌人爆炸
8	33173 83253	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a随机矿
9	33173 83254	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一39攻速4全技能5立即金币6策反79基础对甲89伤害9序列升级a最后敌人
10	33273 83252	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a敌人爆炸
11	33273 83253	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a随机矿
12	33273 83254	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一39伤害4全技能5立即金币6策反79基础对甲89攻速9序列升级a最后敌人
13	33273 83813	   	255.44	紫2基础对甲2攻速2伤害1全技能	1核2加一3a伤害4全技能5立即金币6策反7a基础对甲8额外掉落9a攻速a序列升级
14	45332 32125	 * 	254.65	紫2基础对甲2易伤2伤害2基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7a基地爆炸89易伤
15	33614 64262	 * 	251.70	紫3易伤3攻速3基础对冰1全技能	1核2加一39a易伤4金币生成5全技能69a攻速79a基础对冰8双倍秒伤9a序列升级
16	33632 43583	 * 	251.04	紫3易伤2伤害2基地爆炸2暴击1全技能	1核2加一38a易伤4a掉矿58基地爆炸6全技能78暴击8a序列升级9a伤害
17	33634 43583	   	251.04	紫3易伤2伤害2基地爆炸2暴击1全技能	1核2加一38a易伤4a掉矿5全技能68基地爆炸78暴击8a序列升级9a伤害
18	45312 32126	   	247.50	紫1基础对甲2易伤2伤害1攻速1基地爆炸1全技能	1金币生成24伤害3基础对甲5核6全技能7基地爆炸89易伤a攻速
19	33127 74813	 * 	247.26	紫3攻速3伤害3基地爆炸	1核2加一37a攻速4a火球减费579基地爆炸67a伤害7a序列升级8技能
20	33115 72521	 * 	246.93	紫3攻速2易伤1基础对甲1暴击	1核2加一37a攻速4技能点58易伤6暴击9基础对甲
21	45312 32212	   	246.73	紫1基础对甲2伤害2基地爆炸1易伤1攻速1全技能	1金币生成24伤害3基础对甲5核6全技能7a基地爆炸8攻速9易伤
22	45332 31136	   	246.63	紫2基础对甲2攻速2伤害1全技能1暴击	1金币生成24伤害34基础对甲4序列升级5核6全技能7a攻速8暴击9策反
23	45332 31333	   	246.63	紫2基础对甲2攻速2伤害1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9策反a基地爆炸
24	45332 31512	   	246.57	紫2基础对甲2伤害1易伤1攻速1基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7攻速8低血量敌人9易伤a基地爆炸
25	45332 32214	   	246.57	紫2基础对甲2伤害1易伤1攻速1基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸8攻速9易伤a低血量敌人
26	45332 32215	   	246.57	紫2基础对甲2伤害1易伤1攻速1基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸8攻速9易伤a平台
27	45332 32216	   	246.57	紫2基础对甲2伤害1易伤1攻速1基地爆炸1全技能	1a金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸8攻速9易伤
28	45332 34212	   	246.57	紫2基础对甲2伤害1易伤1攻速1基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7最后敌人8攻速9易伤a基地爆炸
29	45332 31323	   	246.53	紫2基础对甲2攻速2伤害1全技能1基地爆炸	1金币生成24伤害34基础对甲4序列升级5核6全技能78攻速9掉矿a基地爆炸
30	45332 32213	   	246.47	紫2基础对甲2伤害1易伤1攻速1基地爆炸1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7基地爆炸8攻速9易伤a双倍秒伤
31	45332 34123	   	246.23	紫2基础对甲2易伤2伤害1基础对冰1全技能	1金币生成24伤害34基础对甲4序列升级5核6全技能7最后敌人89易伤a基础对冰
32	45312 32123	   	245.19	紫1基础对甲2易伤2伤害1基础对冰1全技能1基地爆炸	1金币生成24伤害3基础对甲5核6全技能7基地爆炸89易伤a基础对冰
