0	Index      	 *	Score 	Summary	Detail	
1	36321 52722	 * 	315.73	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUR|2LIT|3DMG|4BBNT|5VULN|6MBVNT|7aRCR|8TBNT|9TLV
2	31134 22346	 * 	310.80	DCR|3VULN|2TLV|2MLV|1LIT	1DUR|29aVULN|36MLV|4LIT|58TLV|7RCR
3	31234 22346	   	310.80	DCR|3VULN|2TLV|2MLV|1LIT	1DUR|29aVULN|3LIT|46MLV|58TLV|7RCR
4	31133 22364	 * 	308.70	DCR|3MLV|2VULN|2TLV|1LIT|2DUR	1aDUR|2aVULN|369MLV|4LIT|5CGEN|7RCR|8aTLV|aBPWR
5	31233 22364	   	308.70	DCR|3MLV|2VULN|2TLV|1LIT|2DUR	1aDUR|2aVULN|3LIT|469MLV|5CGEN|7RCR|8aTLV|aBPWR
6	31134 22365	   	302.31	DCR|2VULN|2TLV|2MLV|1LIT|1ASPD	1DUR|2aVULN|36MLV|4LIT|58TLV|7RCR|9ASPD
7	31234 22365	   	302.31	DCR|2VULN|2TLV|2MLV|1LIT|1ASPD	1DUR|2aVULN|3LIT|46MLV|58TLV|7RCR|9ASPD
8	31134 22336	   	296.43	DCR|2VULN|2TLV|2MLV|1LIT|2DUR	19DUR|2aVULN|36MLV|4LIT|58TLV|7RCR
9	31234 22336	   	296.43	DCR|2VULN|2TLV|2MLV|1LIT|2DUR	19DUR|2aVULN|3LIT|46MLV|58TLV|7RCR
10	43112 74327	 * 	294.44	DCR|3VULN|2TLV|2LIT|1RPLT	1RPLT|278VULN|3MBVNT|45LIT|6aTLV|9RCR
11	43111 74221	 * 	293.49	DCR|4VULN|2TLV|1LIT|1RPLT	1RPLT|2789VULN|3MBVNT|4LIT|58CGEN|68TLV|8BPWR|aRCR
12	43112 74321	 * 	289.27	DCR|3VULN|2LIT|1TLV|1MLV|1RPLT	1RPLT|278VULN|3MBVNT|45LIT|6TLV|9RCR|aMLV
13	31134 22356	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|2aVULN|36MLV|4LIT|58TLV|7RCR|9RCVC
14	31234 22356	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|2aVULN|3LIT|46MLV|58TLV|7RCR|9RCVC
15	31134 22341	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|36MLV|4LIT|58TLV|7RCR|aFEWX
16	31134 22343	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|36MLV|4LIT|58TLV|7RCR|aBEXP
17	31134 22344	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|36MLV|4LIT|58TLV|7RCR|aLWND
18	31134 22345	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|36MLV|4LIT|58TLV|7RCR|aAAC
19	31234 22341	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|3LIT|46MLV|58TLV|7RCR|aFEWX
20	31234 22343	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|3LIT|46MLV|58TLV|7RCR|aBEXP
21	31234 22344	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|3LIT|46MLV|58TLV|7RCR|aLWND
22	31234 22345	   	288.66	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|3LIT|46MLV|58TLV|7RCR|aAAC
23	31134 22342	   	288.56	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|36MLV|4LIT|58TLV|7RCR|aDUST
24	31234 22342	   	288.56	DCR|2VULN|2TLV|2MLV|1LIT	1DUR|29VULN|3LIT|46MLV|58TLV|7RCR|aDUST
25	31134 22364	   	288.17	DCR|3MLV|2TLV|1LIT|1VULN|1ASPD	1DUR|2VULN|36aMLV|4LIT|58TLV|7RCR|9ASPD
26	31234 22364	   	288.17	DCR|3MLV|2TLV|1LIT|1VULN|1ASPD	1DUR|2VULN|3LIT|46aMLV|58TLV|7RCR|9ASPD
27	43112 74328	   	287.54	DCR|3VULN|2LIT|1TLV|1RPLT|1CDMG	1RPLT|278VULN|3MBVNT|45LIT|6TLV|9RCR|aCDMG
28	31624 53132	 * 	286.06	DCR|DCR|5VULN|2DUR	14DUR|23579VULN|68RCR|aCGEN
29	31624 53133	   	286.06	DCR|DCR|5VULN|2DUR	14DUR|23579VULN|68RCR|aLWND
30	31624 53131	   	285.96	DCR|DCR|5VULN|2DUR	14DUR|23579VULN|68RCR|aAEFBLL
31	31321 13532	 * 	285.78	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1DUR|2VULN|3CDMG|4BEXP|5LWND|6AART|7TLV|8MLV|9aRCR
