0	Index      	 *	Score 	Summary	Detail	
1	26112 22251	 * 	299.90	DCR|3LIT|2VULN|2MLV|1TLV|1DMG	168LIT|28VULN|3MSLREG|4RCVC|5TLV|78MLV|8BPWR|9RCR|aDMG
2	22523 21531	 * 	298.74	DCR|3LIT|2TLV|2DMG|1VULN	158LIT|2RCVC|3TBNT|4VULN|68TLV|78DMG|8BPWR|9RCR|aDUR
3	26112 22253	   	289.49	DCR|3LIT|2VULN|2MLV|1TLV	168LIT|28VULN|3MSLREG|4RCVC|5TLV|78MLV|8BPWR|9RCR|aDUR
4	24544 44243	 * 	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1ASPD	1LIT|2BBNT|3aVULN|4MBVNT|5MLV|68TLV|7ASPD|9RCR
5	22523 21532	   	289.08	DCR|3LIT|2TLV|2DMG|1VULN	158LIT|2RCVC|3TBNT|4VULN|68TLV|78DMG|8BPWR|9RCR|aFEWX
6	22523 21534	   	288.98	DCR|3LIT|2TLV|2DMG|1VULN	158LIT|2RCVC|3TBNT|4VULN|68TLV|78DMG|8BPWR|9RCR|aERES
7	22523 21536	   	288.98	DCR|3LIT|2TLV|2DMG|1VULN	158LIT|2RCVC|3TBNT|4VULN|68TLV|78DMG|8BPWR|9RCR|aDUST
8	26112 22254	   	288.14	DCR|3LIT|2VULN|2MLV|1TLV	168LIT|28VULN|3MSLREG|4RCVC|5TLV|78MLV|8BPWR|9RCR|aAART
9	26344 22223	   	286.66	DCR|3LIT|2VULN|1TLV|1MLV|1DMG	136LIT|2aVULN|4AIRHEL|5MLV|7RCR|8DMG|9TLV
10	26364 22223	   	286.66	DCR|3LIT|2VULN|1TLV|1MLV|1DMG	136LIT|2aVULN|4TSLFST|5MLV|7RCR|8DMG|9TLV
11	26346 32321	 * 	285.62	DCR|3LIT|2VULN|2TLV|1ASPD	137LIT|27VULN|4AIRHEL|5ASPD|67CGEN|7BPWR|8RCR|9aTLV
12	26366 32321	   	285.62	DCR|3LIT|2VULN|2TLV|1ASPD	137LIT|27VULN|4TSLFST|5ASPD|67CGEN|7BPWR|8RCR|9aTLV
13	26346 22223	   	284.94	DCR|3LIT|2VULN|1TLV|1DMG|1ASPD	136LIT|2aVULN|4AIRHEL|5ASPD|7RCR|8DMG|9TLV
14	26366 22223	   	284.94	DCR|3LIT|2VULN|1TLV|1DMG|1ASPD	136LIT|2aVULN|4TSLFST|5ASPD|7RCR|8DMG|9TLV
15	21632 35252	 * 	283.26	DCR|2LIT|2MLV|1TLV|2DMG|1VULN	1aLIT|2AAC|3BBNT|4CGEN|5aDMG|6RCR|7VULN|8TLV|9aMLV|aBPWR
16	26342 22221	   	283.22	DCR|3LIT|2TLV|2DMG|1VULN	136LIT|2VULN|4AIRHEL|59TLV|7RCR|8aDMG
17	26362 22221	   	283.22	DCR|3LIT|2TLV|2DMG|1VULN	136LIT|2VULN|4TSLFST|59TLV|7RCR|8aDMG
18	26342 22612	   	281.43	DCR|3LIT|2VULN|2TLV	136LIT|29VULN|4AIRHEL|5aTLV|7RCR|8BBNT
19	26362 22612	   	281.43	DCR|3LIT|2VULN|2TLV	136LIT|29VULN|4TSLFST|5aTLV|7RCR|8BBNT
20	26112 22252	   	279.83	DCR|3LIT|2VULN|2MLV|1TLV	168LIT|28VULN|3MSLREG|4RCVC|5TLV|78MLV|8BPWR|9RCR|aLWND
21	26112 22255	   	279.83	DCR|3LIT|2VULN|2MLV|1TLV	168LIT|28VULN|3MSLREG|4RCVC|5TLV|78MLV|8BPWR|9RCR|aLHND
22	26112 22263	   	279.73	DCR|3LIT|2VULN|2MLV|1TLV	168LIT|28VULN|3MSLREG|4RCVC|5TLV|78MLV|8BPWR|9FLTFST|aRCR
23	21166 33261	 * 	279.42	DCR|DCR|1TLV|1LIT|1DMG|2RPLT	1LIT|2AAC|3DUR|4BEXP|5DMG|69RCR|7aRPLT|8TLV
24	21166 33262	   	276.82	DCR|DCR|1TLV|1LIT|1DMG	1LIT|2AAC|3DUR|4aBEXP|5DMG|69RCR|7RPLT|8TLV
25	21166 33263	   	276.82	DCR|DCR|1TLV|1LIT|1DMG	1LIT|2AAC|3DUR|4BEXP|5DMG|69RCR|7RPLT|8TLV|aLWND
26	24544 42243	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	1LIT|2BBNT|3aVULN|4MBVNT|5MLV|68TLV|7ZMB|9RCR
27	26342 22222	   	275.29	DCR|3LIT|2TLV|1VULN|1DMG	136LIT|2VULN|4AIRHEL|59TLV|7RCR|8DMG|aDUR
28	26362 22222	   	275.29	DCR|3LIT|2TLV|1VULN|1DMG	136LIT|2VULN|4TSLFST|59TLV|7RCR|8DMG|aDUR
29	26346 32323	   	274.74	DCR|3LIT|2VULN|1TLV|1ASPD	137LIT|27VULN|4AIRHEL|5ASPD|67CGEN|7BPWR|8RCR|9TLV|aDUR
30	26366 32323	   	274.74	DCR|3LIT|2VULN|1TLV|1ASPD	137LIT|27VULN|4TSLFST|5ASPD|67CGEN|7BPWR|8RCR|9TLV|aDUR
31	26342 22224	   	273.94	DCR|3LIT|2TLV|1VULN|1DMG	136LIT|2VULN|4AIRHEL|59TLV|7RCR|8DMG|aAART
32	26362 22224	   	273.94	DCR|3LIT|2TLV|1VULN|1DMG	136LIT|2VULN|4TSLFST|59TLV|7RCR|8DMG|aAART
33	26342 22263	   	272.34	DCR|3LIT|1TLV|2DMG|1VULN	136LIT|2VULN|4AIRHEL|5TLV|7RCR|8aDMG|9DUR
34	26362 22263	   	272.34	DCR|3LIT|1TLV|2DMG|1VULN	136LIT|2VULN|4TSLFST|5TLV|7RCR|8aDMG|9DUR
35	26316 52213	   	271.87	DCR|3LIT|2VULN|2TLV	136LIT|27VULN|4LWND|56TLV|6BPWR|8BASARM|9RMIN|aRCR
36	26342 22362	   	271.77	DCR|3LIT|2VULN|2TLV	136LIT|29VULN|4AIRHEL|59TLV|7RCR|89AEFBLL|9BPWR|aLHND
37	26342 22363	   	271.77	DCR|3LIT|2VULN|2TLV	136LIT|29VULN|4AIRHEL|59TLV|7RCR|89AEFBLL|9BPWR|aRCVC
38	26362 22362	   	271.77	DCR|3LIT|2VULN|2TLV	136LIT|29VULN|4TSLFST|59TLV|7RCR|89AEFBLL|9BPWR|aLHND
39	26362 22363	   	271.77	DCR|3LIT|2VULN|2TLV	136LIT|29VULN|4TSLFST|59TLV|7RCR|89AEFBLL|9BPWR|aRCVC
40	21515 21433	   	271.39	DCR|3LIT|2VULN|1TLV|1DMG	15aLIT|2AAC|35VULN|4MDPS|5BPWR|6LHND|7DMG|8RCR|9TLV
41	21515 32433	   	271.39	DCR|3LIT|2VULN|1TLV|1DMG	15aLIT|2AAC|35VULN|4MDPS|5BPWR|6DMG|7FEWX|8RCR|9TLV
42	26215 21433	   	271.39	DCR|3LIT|2VULN|1TLV|1DMG	15aLIT|25VULN|3AAC|4MDPS|5BPWR|6LHND|7DMG|8RCR|9TLV
43	26215 32433	   	271.39	DCR|3LIT|2VULN|1TLV|1DMG	15aLIT|25VULN|3AAC|4MDPS|5BPWR|6DMG|7FEWX|8RCR|9TLV
