0	Index      	 *	Score 	Summary	Detail	
1	21432 23652	 * 	301.48	DCR|2TLV|2LIT|2MLV|1VULN|2CDMG	1AART|2aCDMG|3VULN|4aTLV|58LIT|6GSSTOX|7RCR|9aMLV|aBPWR
2	33541 22633	 * 	297.34	DCR|3VULN|2TLV|2DMG|2ASPD	12ASPD|35TLV|45DMG|5BPWR|69aVULN|7RCR|8BBNT
3	33541 22333	   	293.24	DCR|3VULN|2TLV|2DMG|2ASPD	12ASPD|35TLV|45DMG|5BPWR|69aVULN|7RCR|8TBNT
4	13321 64313	 * 	291.97	DCR|3VULN|2TLV|2ASPD|1MLV	19aVULN|2CGEN|39ASPD|4LHND|5BBNT|6RCR|7MLV|89TLV|9BPWR
5	13331 64313	   	291.97	DCR|3VULN|2TLV|2ASPD|1MLV	19aVULN|2CGEN|39ASPD|4FEWX|5BBNT|6RCR|7MLV|89TLV|9BPWR
6	13351 64313	   	291.97	DCR|3VULN|2TLV|2ASPD|1MLV	19aVULN|2CGEN|39ASPD|4BEXP|5BBNT|6RCR|7MLV|89TLV|9BPWR
7	15321 64313	   	291.87	DCR|3VULN|2TLV|2ASPD|1MLV	19aVULN|2ERES|39ASPD|4LHND|5BBNT|6RCR|7MLV|89TLV|9BPWR
8	15331 64313	   	291.87	DCR|3VULN|2TLV|2ASPD|1MLV	19aVULN|2ERES|39ASPD|4FEWX|5BBNT|6RCR|7MLV|89TLV|9BPWR
9	33541 22343	 * 	290.64	DCR|2TLV|2DMG|1LIT|1VULN|2ASPD|1CDMG	12ASPD|35TLV|45DMG|5BPWR|6VULN|7RCR|8TBNT|9CDMG|aLIT
10	22252 35611	 * 	289.67	DCR|2VULN|2LIT|2MLV|1TLV|1CDMG	1AART|2BELT|3TBNT|49LIT|5CDMG|69VULN|79MLV|8RCR|9BPWR|aTLV
11	14324 42464	 * 	288.34	DCR|2VULN|2DMG|1TLV|2ASPD|1MLV|1RPLT	1aVULN|2RPLT|3DUR|4aASPD|5MBVNT|6MLV|7TLV|8aDMG|9RCR|aBPWR
12	36653 21213	 * 	284.73	DCR|3LIT|2DMG|1TLV|1VULN|1ASPD	1ASPD|24aLIT|3VULN|5RPLT|67DMG|8TLV|9RCR
13	33541 22243	 * 	284.55	DCR|2TLV|2MLV|2DMG|1VULN|2ASPD	12ASPD|35TLV|45DMG|5BPWR|6VULN|7RCR|8ZMB|9aMLV
14	36221 53522	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1ASPD|23LIT|4DUR|5MDPS|6RCR|79TLV|8VULN|aMLV
15	36653 21211	 * 	282.61	DCR|3DMG|2LIT|1TLV|1VULN|1ASPD	1ASPD|24LIT|3VULN|5RPLT|67aDMG|8TLV|9RCR
16	33541 22112	   	281.18	DCR|2TLV|2DMG|1VULN|2ASPD|1MLV	12ASPD|35TLV|45DMG|5BPWR|6VULN|7RCR|8FEWX|9DUR|aMLV
17	33541 22335	   	280.76	DCR|2VULN|2TLV|2DMG|2ASPD	12ASPD|35TLV|45DMG|5BPWR|69VULN|7RCR|8TBNT|aBBNT
18	36153 25211	 * 	280.60	DCR|3DMG|2LIT|1TLV|2ASPD|2DUR	17ASPD|24LIT|37DUR|5RPLT|67aDMG|7BPWR|8TLV|9RCR
19	36223 25211	   	280.60	DCR|3DMG|2LIT|1TLV|2ASPD|2DUR	17ASPD|23LIT|47DUR|5RPLT|67aDMG|7BPWR|8TLV|9RCR
20	16141 33163	 * 	279.61	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	15VULN|2RCVC|3CDMG|46TLV|7RCR|8CGEN|9LIT|aMLV
21	13321 64311	   	279.50	DCR|2VULN|2TLV|2ASPD|1MLV	19VULN|2CGEN|39ASPD|4LHND|5BBNT|6RCR|7MLV|89TLV|9BPWR|aDUR
22	13331 64311	   	279.50	DCR|2VULN|2TLV|2ASPD|1MLV	19VULN|2CGEN|39ASPD|4FEWX|5BBNT|6RCR|7MLV|89TLV|9BPWR|aDUR
23	13351 64311	   	279.50	DCR|2VULN|2TLV|2ASPD|1MLV	19VULN|2CGEN|39ASPD|4BEXP|5BBNT|6RCR|7MLV|89TLV|9BPWR|aDUR
24	15321 64311	   	279.40	DCR|2VULN|2TLV|2ASPD|1MLV	19VULN|2ERES|39ASPD|4LHND|5BBNT|6RCR|7MLV|89TLV|9BPWR|aDUR
25	15331 64311	   	279.40	DCR|2VULN|2TLV|2ASPD|1MLV	19VULN|2ERES|39ASPD|4FEWX|5BBNT|6RCR|7MLV|89TLV|9BPWR|aDUR
26	14122 33342	 * 	278.35	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	19VULN|2RPLT|3aRCR|4LIT|5FEWX|6TLV|7CGEN|8LHND
27	14123 35412	   	278.25	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	17VULN|2RPLT|3aRCR|4LIT|5LEGI|6TLV|8CGEN|9FEWX
28	14123 35612	   	278.25	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	17VULN|2RPLT|3aRCR|4LIT|5LEGI|6TLV|8RMIN|9FEWX
29	64131 33112	   	278.25	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	1DUST|2RPLT|3aRCR|4LIT|58VULN|6TLV|7CGEN|9FEWX
30	64131 33342	   	278.25	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	1DUST|2RPLT|3aRCR|4LIT|59VULN|6TLV|7CGEN|8LHND
31	14121 63312	   	278.15	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	15VULN|2RPLT|3aRCR|4LIT|6AME|7TLV|8LEGI|9FEWX
32	14123 36112	   	278.15	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	18VULN|2RPLT|3aRCR|4LIT|5LEGI|6TLV|7ERES|9FEWX
33	64131 36112	   	278.15	ACR|DCR|2VULN|1TLV|1LIT|1RPLT	1DUST|2RPLT|3aRCR|4LIT|58VULN|6TLV|7ERES|9FEWX
34	33541 22413	 * 	276.99	DCR|2VULN|2TLV|3ASPD|2DMG	128ASPD|35TLV|45DMG|5BPWR|6aVULN|7RCR|9BEXP
35	36366 23233	 * 	276.89	DCR|2VULN|2DMG|1TLV|1LIT|2ASPD	18ASPD|2LIT|38DMG|4MDPS|58VULN|6NUKE|7RCR|8BPWR|9DUST|aTLV
36	33366 22143	 * 	276.44	DCR|DCR|1TLV|2ASPD|1MLV|1DMG	12ASPD|3AART|4MLV|5TLV|6DLOT|7DMG|8aRCR|9BELT
37	33541 22342	 * 	275.94	DCR|3TLV|3ASPD|2DMG|1VULN|2CDMG	12aASPD|35aTLV|45DMG|5aBPWR|6VULN|7RCR|8TBNT|9aCDMG
38	33621 53522	 * 	275.43	DCR|2TLV|1LIT|1VULN|2ASPD|1MLV	12ASPD|3LIT|4DUR|5MDPS|6RCR|79TLV|8VULN|aMLV
39	14115 11233	 * 	275.22	ACR|3VULN|2LIT|2MLV|1TLV|1RPLT	14aVULN|2RPLT|3RCR|5aMLV|6CGEN|7BBNT|8TLV|9aLIT|aBPWR
40	14115 61233	   	275.12	ACR|3VULN|2LIT|2MLV|1TLV|1RPLT	14aVULN|2RPLT|3RCR|5aMLV|6AME|7BBNT|8TLV|9aLIT|aBPWR
41	33541 22631	   	275.10	DCR|2VULN|2TLV|2DMG|2ASPD	12ASPD|35TLV|45DMG|5BPWR|69VULN|7RCR|8BBNT|aDUST
42	33541 22632	   	275.10	DCR|2VULN|2TLV|2DMG|2ASPD	12ASPD|35TLV|45DMG|5BPWR|69VULN|7RCR|8BBNT|aMDPS
43	14122 33312	 * 	272.70	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1VULN|2RPLT|3aRCR|4LIT|5FEWX|69TLV|7CGEN|8LHND
44	44161 13112	   	272.70	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1LWND|2RPLT|3aRCR|49TLV|5LIT|6FEWX|7CGEN|8VULN
45	14122 34512	   	272.60	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1VULN|2RPLT|3aRCR|4LIT|5FEWX|69TLV|7LWND|8ERES
46	14122 36412	   	272.60	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1VULN|2RPLT|3aRCR|4LIT|5FEWX|69TLV|7ERES|8LHND
47	64131 33312	   	272.60	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1DUST|2RPLT|3aRCR|4LIT|5VULN|69TLV|7CGEN|8LHND
48	64161 13112	   	272.60	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1DUST|2RPLT|3aRCR|49TLV|5LIT|6FEWX|7CGEN|8VULN
49	51322 15612	   	272.40	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1MDPS|2RPLT|39TLV|4aRCR|57AME|6VULN|8LIT
50	64131 33512	 * 	272.36	ACR|DCR|2LIT|1TLV|1VULN|1RPLT	1DUST|2RPLT|3aRCR|48LIT|5VULN|6TLV|7CGEN|9FEWX
