0	Index      	 *	Score 	Summary	Detail	
1	53462 21222	 * 	322.02	DCR|DCR|2VULN|1TLV|1LIT|1MLV	1LWND|2GSSFST|3BBNT|4TLV|5LIT|69VULN|7aRCR|8MLV
2	12246 21224	 * 	318.74	DCR|DCR|3LIT|1TLV|1VULN	1RCVC|25ZMB|3BBNT|457LIT|5BPWR|6TLV|8VULN|9aRCR
3	12246 23224	   	318.74	DCR|DCR|3LIT|1TLV|1VULN	1RCVC|25ZMB|3BBNT|458LIT|5BPWR|6TLV|7VULN|9aRCR
4	21136 22241	 * 	303.68	ACR|DCR|2VULN|2TLV|1MLV|2DUR	18TLV|29RCR|3DUST|4TBNT|58VULN|68DUR|7MDPS|8BPWR|aMLV
5	21331 36532	 * 	301.79	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4LIT|6VULN|7TBNT|8DUR|9MLV
6	21342 16532	   	301.79	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4VULN|6LIT|7TBNT|8DUR|9MLV
7	15252 15213	   	296.99	DCR|DCR|2VULN|1TLV|1LIT	1RCVC|2aVULN|3LIT|4LWND|5AIRARM|6TLV|7CRUSTR|89RCR
8	15252 11213	   	296.89	DCR|DCR|2VULN|1TLV|1LIT	1RCVC|2aVULN|3LIT|4LWND|5AIRARM|6TLV|7SPLARM|89RCR
9	15256 11213	   	296.89	DCR|DCR|2VULN|1TLV|1LIT	1RCVC|2aVULN|3LIT|4LWND|5BASARM|6TLV|7SPLARM|89RCR
10	15632 15213	   	296.89	DCR|DCR|2VULN|1TLV|1LIT	1RCVC|2aVULN|3LEGI|4LIT|5AIRARM|6TLV|7CRUSTR|89RCR
11	15632 11213	   	296.79	DCR|DCR|2VULN|1TLV|1LIT	1RCVC|2aVULN|3LEGI|4LIT|5AIRARM|6TLV|7SPLARM|89RCR
12	15636 11213	   	296.79	DCR|DCR|2VULN|1TLV|1LIT	1RCVC|2aVULN|3LEGI|4LIT|5BASARM|6TLV|7SPLARM|89RCR
13	42531 21213	   	296.79	DCR|DCR|2VULN|1TLV|1LIT	1CGEN|2TLV|3ERES|4aVULN|5LIT|6BASHEA|7AIRARM|89RCR
14	21335 46332	   	296.34	ACR|DCR|2TLV|1LIT|1VULN|1MLV	16TLV|2aRCR|3MGNLIT|4LIT|56LHND|6BPWR|7BBNT|8VULN|9MLV
15	21331 56332	   	296.24	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4LIT|6BEXP|7BBNT|8VULN|9MLV
16	21336 55332	   	296.24	ACR|DCR|2TLV|1LIT|1VULN|1MLV	17TLV|2aRCR|3MGNLIT|4LIT|5BBNT|6BEXP|8VULN|9MLV
17	21352 16332	   	296.24	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4FEWX|6LIT|7BBNT|8VULN|9MLV
18	21362 16332	   	296.24	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4LHND|6LIT|7BBNT|8VULN|9MLV
19	21336 43332	   	296.14	ACR|DCR|2TLV|1LIT|1VULN|1MLV	16TLV|2aRCR|3MGNLIT|4LIT|5BBNT|7DUST|8VULN|9MLV
20	33461 22232	   	296.14	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1BEXP|2GSSFST|3BBNT|46TLV|5aRCR|7VULN|8LIT|9MLV
21	53462 21212	   	295.82	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1LWND|2GSSFST|3BBNT|4TLV|5LIT|6VULN|7aRCR|8MLV|9RCVC
22	21136 22242	 * 	293.63	ACR|DCR|3VULN|2TLV|2DUR	18TLV|29RCR|3DUST|4TBNT|58aVULN|68DUR|7MDPS|8BPWR
23	22212 26246	   	292.80	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1ASPD	12TLV|3BBNT|4DMG|5ASPD|6LIT|7MLV|8RCR|9DUR|aVULN
24	21332 55332	   	292.13	ACR|DCR|2TLV|1LIT|1VULN|1MLV	17TLV|2aRCR|3MGNLIT|4LIT|5TBNT|6BEXP|8VULN|9MLV
25	21335 15332	   	292.13	ACR|DCR|2TLV|1LIT|1VULN|1MLV	17TLV|2aRCR|3MGNLIT|4LIT|5LHND|6TBNT|8VULN|9MLV
26	25151 22232	   	292.13	ACR|DCR|2TLV|1LIT|1VULN|1MLV	16TLV|2BEXP|3FRZARM|4TBNT|5aRCR|7VULN|8LIT|9MLV
27	21331 36632	   	292.03	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4LIT|6VULN|7TBNT|8DUST|9MLV
28	21332 43332	   	292.03	ACR|DCR|2TLV|1LIT|1VULN|1MLV	16TLV|2aRCR|3MGNLIT|4LIT|5TBNT|7DUST|8VULN|9MLV
29	21342 16632	   	292.03	ACR|DCR|2TLV|1LIT|1VULN|1MLV	15TLV|2aRCR|3MGNLIT|4VULN|6LIT|7TBNT|8DUST|9MLV
